key,bin,v_ego,model,read,y_none,x_none,d_left,d_right,set
253912-0006908,5-10,6.556316292987119,cinque,0,-0.07660644531250001,18.761875,0.502397460937499,-1.6370263671875,carla_p6
253912-0006908,5-10,6.556316292987119,cinque,1,-0.02987060546875,21.84375,0.71811279296875,-1.70302001953125,carla_p6
253912-0006908,5-10,6.556316292987119,cinque,5,0.06669921875000001,21.33625,1.39935546875,-1.08328125,carla_p6
253912-0006908,5-10,6.556316292987119,lebowski,0,0.028898315429687002,14.221875,0.642332153320312,-0.431603393554687,carla_p6
253912-0006908,5-10,6.556316292987119,lebowski,1,0.06436279296875,20.77625,0.86344970703125,-0.92338623046875,carla_p6
253912-0006908,5-10,6.556316292987119,lebowski,5,-0.63185546875,11.0953125,1.376015625,-1.55869140625,carla_p6
2586511-0003370,5-10,9.710707495189013,cinque,0,0.9524804687499999,12.4584375,2.427988281249999,-0.35607421875,carla_p6
2586511-0003370,5-10,9.710707495189013,cinque,1,0.1916357421875,7.9246875,1.2530126953125,-0.29180419921875,carla_p6
2586511-0003370,5-10,9.710707495189013,cinque,5,0.03248291015625,4.45734375,0.41339599609375,-0.051523437500000005,carla_p6
2586511-0003370,5-10,9.710707495189013,lebowski,0,-0.35788085937499997,14.566875,1.347099609375,-0.752158203125,carla_p6
2586511-0003370,5-10,9.710707495189013,lebowski,1,0.25406249999999997,3.9348437499999998,1.035117187499999,-0.41433105468750003,carla_p6
2586511-0003370,5-10,9.710707495189013,lebowski,5,-0.007426605224609001,0.355478515625,0.8191258239746091,-0.04531509399414,carla_p6
250912-0005820,5-10,5.593710587358268,cinque,0,-5.4390625,23.0325,-0.09859374999999901,-0.23812499999999903,carla_p6
250912-0005820,5-10,5.593710587358268,cinque,1,-7.13,25.718125,0.040781249999999006,0.07687500000000001,carla_p6
250912-0005820,5-10,5.593710587358268,cinque,5,-0.25287109375,41.265,0.536396484375,-1.19607421875,carla_p6
250912-0005820,5-10,5.593710587358268,lebowski,0,-5.3521875,23.413125,0.8784375000000001,-0.115624999999999,carla_p6
250912-0005820,5-10,5.593710587358268,lebowski,1,-6.10765625,25.70375,0.8037500000000001,-0.39234375000000005,carla_p6
250912-0005820,5-10,5.593710587358268,lebowski,5,0.0681201171875,41.625,1.6850048828125002,-0.065476379394531,carla_p6
266810-0006579,5-10,7.763394240493538,cinque,0,-0.41216796875,14.734375,0.6448632812499999,-0.67537109375,carla_p6
266810-0006579,5-10,7.763394240493538,cinque,1,-0.212705078125,10.33375,0.869599609375,-0.1385546875,carla_p6
