frame,timestamp,raw_speed_mps,desired,native_throttle,native_brake,old_reason,new_reason,old_native_throttle,old_native_brake,new_native_throttle,new_native_brake,old_pi_throttle,old_pi_brake,new_pi_throttle,new_pi_brake
3209,4.700000070035458,5.1307982891339545,7.089181423187256,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3210,4.750000070780516,5.1183820716101724,6.342784563700358,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.6633936624129722,0.0,0.6633936624129722,0.0
3211,4.800000071525574,5.135255833895501,7.112883726755778,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3212,4.850000072270632,5.1323280835858345,7.103817780812582,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3213,4.90000007301569,5.128668417100578,7.18627659479777,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3214,4.950000073760748,5.573431297306952,6.053287506103516,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.29711872346549834,0.0,0.29711872346549834,0.0
3215,5.000000074505806,6.053068022016461,7.578192551930746,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3216,5.050000075250864,6.312247057845713,6.7102699279785165,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.26117734008441557,0.0,0.26117734008441557,0.0
3217,5.100000075995922,6.526599467038344,6.938863913218181,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.27345143376197045,0.0,0.27345143376197045,0.0
3218,5.15000007674098,6.741353511093297,6.60886001586914,0.0,0.0,tracking,tracking,0.0,0.0,0.0,0.0,0.0,0.0005837056550071357,0.0,0.0005837056550071357
3219,5.200000077486038,6.939993894807689,6.785462697347005,0.07051136891047158,0.0,tracking,tracking,0.07051136891047158,0.0,0.07051136891047158,0.0,0.0,0.013534196770312756,0.0,0.013534196770312756
3220,5.250000078231096,7.0483915735549765,5.174137115478516,0.0,1.0,tracking,tracking,0.0,1.0,0.0,1.0,0.0,0.8968240081532641,0.0,0.8968240081532641
3221,5.300000078976154,7.04962404912636,6.703681627909343,0.06426136891047159,0.0,tracking,tracking,0.06426136891047159,0.0,0.06426136891047159,0.0,0.0,0.1369922700531921,0.0,0.1369922700531921
3222,5.350000079721212,6.999526415696943,6.5186136563618975,0.061136368910471584,0.0,tracking,tracking,0.061136368910471584,0.0,0.061136368910471584,0.0,0.0,0.21048884869347106,0.0,0.21048884869347106
3223,5.4000000804662704,6.9310306348672945,6.75732183456421,0.05801136891047158,0.0,tracking,tracking,0.05801136891047158,0.0,0.05801136891047158,0.0,0.0,0.059058229213634975,0.0,0.059058229213634975
3224,5.4500000812113285,6.838432940324818,6.462272485097249,0.054886368910471585,0.0,tracking,tracking,0.054886368910471585,0.0,0.054886368910471585,0.0,0.0,0.1649860624362871,0.0,0.1649860624362871
3225,5.500000081956387,6.731206562479036,7.294362703959148,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.31171168779095093,0.0,0.31171168779095093,0.0
3226,5.550000082701445,6.6147842655644045,6.475586573282877,0.0,0.0,tracking,tracking,0.0,0.0,0.0,0.0,0.0,0.041205200269315595,0.0,0.041205200269315595
3227,5.600000083446503,6.50461367207235,5.9856657187143965,0.05344895919164021,0.0,tracking,tracking,0.05344895919164021,0.0,0.05344895919164021,0.0,0.0,0.23756718032116453,0.0,0.23756718032116453
3228,5.650000084191561,6.385000314053568,5.753103097279867,0.0,1.0,tracking,tracking,0.0,1.0,0.0,1.0,0.0,0.3019405273564095,0.0,0.3019405273564095
3229,5.700000084936619,6.275980543552972,5.022904237111409,0.0,1.0,tracking,tracking,0.0,1.0,0.0,1.0,0.0,0.6281935262542638,0.0,0.6281935262542638
3230,5.750000085681677,6.169953475000647,6.847280343373615,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.34547464713382575,0.0,0.34547464713382575,0.0
3231,5.800000086426735,5.970463547259321,5.785723845163981,0.0,0.0,tracking,tracking,0.0,0.0,0.0,0.0,0.0,0.0878678844109303,0.0,0.0878678844109303
