level,route,seed,arm,context,lag_s,first_error_mps_n,first_error_mps_mean,first_error_mps_median,first_error_mps_p10,first_error_mps_p90,mean8_error_mps_n,mean8_error_mps_mean,mean8_error_mps_median,mean8_error_mps_p10,mean8_error_mps_p90,target_error_mps_n,target_error_mps_mean,target_error_mps_median,target_error_mps_p10,target_error_mps_p90
1,3514,0,A,launch,nan,9,0.5937888926370343,0.5449364194754778,0.31789635630672824,0.8455106620141314,9,3.6829162851488895,3.718958653310368,3.0415934029551708,4.270243396830983,9,5.92004708281619,6.523472952105535,5.261329367170933,6.6441943000556005
1,3514,0,A,target_stop,nan,216,-0.23549739333247185,-0.3521728497176224,-0.7440491169157988,0.33773808684921336,216,-0.5718065390016202,-0.8526711184768203,-1.6019099336621765,1.124256456285293,216,-5.00547991320583,-7.19802138445828,-7.938722024426456,0.0
1,3514,0,A,decelerate,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan
1,3514,0,A,turn,nan,11,1.592482098297303,1.5383728051035266,1.1661544083650182,1.9391124202870995,11,4.142434017624782,4.22666765735276,3.846672352141329,4.359644376904709,11,5.2915105567161005,5.34393522964162,4.5156640964923795,6.037668632339592
1,3514,0,A,cruise,nan,282,0.40829358501694174,0.6254022168551705,-0.5506540763033719,0.9622053302681717,282,0.6601595702315444,0.7879231902137684,-0.20139612135137613,1.1360524654998136,282,0.586656548703352,0.5034258576086894,0.018239223392049028,0.9335756357456441
1,3514,0,D,all,0.4,519,0.47531763521150827,0.0379301268621024,-0.03734192000971887,2.1492697599694517,519,0.4276067086416784,-0.0656495307561169,-0.1557354314715523,1.8758851890687251,519,0.42797494486432414,0.0031319148153059473,-0.03995373472615125,1.4081101229532138
1,3514,0,D,launch,nan,15,2.4319089285462043,2.377356513639597,2.307382049720358,2.6032118815430114,15,3.866168455016654,4.04113021122095,3.1083620114855686,4.480852517835801,15,5.544974934109461,6.4816948486957005,2.9791592613417697,6.67534762344654
1,3514,0,D,target_stop,nan,78,1.531092267809178,2.031066475763919,0.06748617704648746,2.514420481615045,78,0.893200986183989,0.7682803594515109,0.1654113301811878,2.005670989558413,78,-0.1697483269447273,-0.013759486701429829,-0.6332206193250819,-0.00014423203068716613
1,3514,0,D,decelerate,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan
1,3514,0,D,turn,nan,20,1.8458113058968675,1.893475997635068,1.0773024909075588,2.437798788717767,20,3.7131051586724317,3.671246155886812,3.265789842848428,4.372025088109895,20,4.634091297946581,4.802531575299929,3.68979564911738,6.013552335102284
1,3514,0,D,cruise,nan,406,0.13268422595942483,0.021010349353713487,-0.04295365012880925,0.49315938600057674,406,0.04926988882754065,-0.08551375248202975,-0.16195900208322467,0.23561461237426984,406,0.14655890619630396,0.008577717666504725,-0.03526928623238712,0.20128276259650724
1,3255,2,D,all,0.2,560,0.19316132034307643,0.05961977480052946,-0.45448894822245883,1.0095638274069791,560,0.10301031806932223,-0.06721718979326852,-2.9890325655285808,3.9708994956442134,560,-0.03159713372568333,0.01035626590194827,-3.320845155680306,1.390315324642794
1,3255,2,D,launch,nan,42,0.6466353489960577,0.7245967992345597,0.487389679557045,0.7666582019961312,42,4.198411774072214,4.287804299225832,3.850154619867611,4.418534238833245,42,1.261630597030189,1.3257822480702757,1.1081440651607424,1.4000218926616776
1,3255,2,D,target_stop,nan,155,-0.353162322425735,-0.014571309410976063,-1.1607344212357293,0.06852492708561833,155,-1.1092466966935592,-0.6068471084707836,-3.3473438256321697,0.9750007745976372,155,-2.42483800015301,-1.941486160421439,-6.790675457393128,-8.891520554976384e-05
1,3255,2,D,decelerate,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan
