set,row,cmd,n,l2_avg,l2_3s,col_vad_avg,col_bevp_avg,col_bevp_3s
valid,cvv,straight,4437,0.7628423949933423,1.218132345223484,0.3098940725715574,1.0968372023138757,2.704530087897228
valid,cvv,turn,682,1.873438124014715,3.0204043988348492,1.2381883349625284,3.5190615835777126,7.038123167155425
valid,openpilot small,straight,4437,1.0635680960450158,1.5948923217318534,0.37500313024315723,0.8639471114116145,1.4424160468785214
valid,openpilot small,turn,682,1.4165310490678755,2.1553906450445,0.5579993483219289,0.9775171065493647,2.346041055718475
valid,openpilot Cinque,straight,4437,1.0447095737050756,1.6371313615223682,0.23915057721683813,0.601006686199384,1.1268875366238449
valid,openpilot Cinque,turn,682,1.1417006784717365,1.813450379716488,1.0060280221570543,2.248289345063539,4.39882697947214
valid,openpilot Lebowski,straight,4437,1.4180329502064353,2.161123651716508,0.4169483885508226,1.1719630380887986,2.028397565922921
valid,openpilot Lebowski,turn,682,1.6818662669776738,2.6308051645389017,0.9897360703812317,1.710654936461388,3.372434017595308
valid,openpilot small + cmd,straight,4437,1.0582476956422613,1.5871858600215736,0.37625522750607265,0.8714596949891068,1.4649537976109985
valid,openpilot small + cmd,turn,682,1.28247353836993,1.9441691380544295,0.35027696318018897,0.9286412512218966,2.19941348973607
valid,openpilot Cinque + cmd,straight,4437,1.0469183993879214,1.6398966623666222,0.23915057721683813,0.601006686199384,1.1268875366238449
valid,openpilot Cinque + cmd,turn,682,1.1895741394958894,1.8933208375571862,0.8390355164548712,1.857282502443793,3.665689149560117
valid,openpilot Lebowski + cmd,straight,4437,1.4204644860580893,2.1655603856071455,0.42508702075977256,1.2170385395537526,2.1185485688528285
valid,openpilot Lebowski + cmd,turn,682,1.6453061295810643,2.566321017403253,0.8756924079504724,1.906158357771261,3.812316715542522
fullhist,logged future,straight,3092,0.0,0.0,0.0,0.0,0.0
fullhist,logged future,turn,468,0.0,0.0,0.0,0.0,0.0
fullhist,cv,straight,3092,0.5921624283047249,0.9826249390777524,0.2236955584303579,0.8516601983613628,2.263906856403622
