arm,seed,route,attempts,finished,status,DS,RC,success,collisions,scenario,family,group
cl1,0,3086,1,True,Completed,100.0,100.0,True,0.0,CrossingBicycleFlow,vru_crossing,sudden
cl1,0,3090,1,True,Completed,100.0,100.0,True,0.0,CrossingBicycleFlow,vru_crossing,sudden
cl1,0,3093,1,True,Completed,100.0,100.0,True,0.0,CrossingBicycleFlow,vru_crossing,sudden
cl1,0,3099,6,True,Failed - Agent got blocked,97.66,97.66,False,0.0,CrossingBicycleFlow,vru_crossing,sudden
cl1,0,3100,1,True,Completed,100.0,100.0,True,0.0,CrossingBicycleFlow,vru_crossing,sudden
cl1,0,3144,1,True,Completed,70.0,100.0,False,0.0,VanillaSignalizedTurnEncounterRedLight,routine_control,other
cl1,0,3178,1,True,Completed,100.0,100.0,True,0.0,VanillaNonSignalizedTurn,routine_control,other
cl1,0,3184,1,True,Completed,80.0,100.0,False,0.0,VanillaNonSignalizedTurnEncounterStopsign,routine_control,other
cl1,0,3189,1,True,Completed,80.0,100.0,False,0.0,VanillaNonSignalizedTurnEncounterStopsign,routine_control,other
cl1,0,3248,1,True,Completed,100.0,100.0,True,0.0,ParkingCrossingPedestrian,vru_emerging,sudden
cl1,0,3255,1,True,Completed,100.0,100.0,True,0.0,ParkingCrossingPedestrian,vru_emerging,sudden
cl1,0,3307,1,True,Completed,60.0,100.0,False,1.0,Accident,obstacle_bypass,obstacle
cl1,0,3364,1,True,Completed,60.0,100.0,False,1.0,YieldToEmergencyVehicle,emergency_vehicle,yield
cl1,0,3373,1,True,Completed,60.0,100.0,False,1.0,YieldToEmergencyVehicle,emergency_vehicle,yield
cl1,0,3378,1,True,Completed,60.0,100.0,False,1.0,YieldToEmergencyVehicle,emergency_vehicle,yield
cl1,0,3380,1,True,Completed,70.0,100.0,False,0.0,YieldToEmergencyVehicle,emergency_vehicle,yield
cl1,0,3410,1,True,Completed,100.0,100.0,True,0.0,AccidentTwoWays,obstacle_bypass,obstacle
cl1,0,3436,1,True,Completed,100.0,100.0,True,0.0,HazardAtSideLaneTwoWays,obstacle_bypass,obstacle
cl1,0,3457,1,True,Failed - TickRuntime,21.834,36.39,False,1.0,ParkedObstacleTwoWays,obstacle_bypass,obstacle
cl1,0,3464,1,True,Completed,100.0,100.0,True,0.0,VehicleOpensDoorTwoWays,obstacle_bypass,obstacle
cl1,0,3472,1,True,Completed,100.0,100.0,True,0.0,VehicleOpensDoorTwoWays,obstacle_bypass,obstacle
cl1,0,3476,1,True,Failed - TickRuntime,45.14,45.14,False,0.0,VehicleOpensDoorTwoWays,obstacle_bypass,obstacle
cl1,0,3482,1,True,Failed - TickRuntime,33.5,33.5,False,0.0,VehicleOpensDoorTwoWays,obstacle_bypass,obstacle
