arm,route,status,DS,RC,n_collisions,duration_game,t_col,col_type,pinned_s,expert_status,expert_DS,extra_collision,stuck,stuck_vs_expert,n_track,e_lat_med,e_lat_p95,e_lon_med,abs_e_lon_med,abs_e_lon_p95,e_head_med,stuck_cause
p6x1,2390,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,92,0.035,0.317,-15.799,15.799,21.788,0.866,
p6x1,24211,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,275,0.001,0.002,-6.916,6.916,12.657,0.017,
p6x1,24330,Completed,60.0,100,1,,20.5,vehicle.dodge.charger_2020,0.0,Completed,100.0,1,0,0,203,0.002,0.042,-0.886,0.886,6.733,0.082,
p6x1,26458,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,221,0.006,0.186,-0.955,0.955,5.448,0.032,
p6x1,2668,Failed - Agent got blocked,20.4498,48.69,1,,11.9,vehicle.lincoln.mkz_2020,291.0,Completed,100.0,1,1,1,162,0.004,0.089,-3.706,3.706,6.157,0.089,pinned
p6x1,3564,Failed - Agent got blocked,32.964018,52.97,0,,,,0.0,Failed - Agent got blocked,9.806035,0,1,0,177,0.004,0.272,-4.29,4.29,8.654,0.756,other
p6x1,4183,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,196,0.004,0.156,-2.419,2.419,7.379,0.126,
p7x2,11381,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,225,0.008,0.076,-4.425,4.425,11.118,0.214,
p7x2,1711,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,311,0.001,0.006,-4.413,4.413,12.572,0.017,
p7x2,17563,Completed,60.0,100,1,,12.4,vehicle.mini.cooper_s_2021,0.0,Completed,100.0,1,0,0,163,0.001,0.098,-4.711,4.711,9.266,0.021,
p7x2,1825,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,322,0.003,0.192,-5.65,5.65,12.189,0.063,
p7x2,1833,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,311,0.002,0.185,-6.402,6.402,11.591,0.099,
p7x2,1852,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,323,0.004,0.217,-4.617,4.617,14.814,0.084,
p7x2,1956,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,313,0.005,0.307,-1.099,1.099,9.329,0.052,
p7x2,2084,Completed,36.0,100,2,,12.7,vehicle.mini.cooper_s_2021,29.6,Completed,100.0,1,0,0,183,0.003,0.026,-4.182,4.182,10.318,0.131,
p7x2,2086,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,237,0.003,0.118,-5.146,5.146,10.643,0.144,
p7x2,2091,Completed,48.0,100,1,,10.6,vehicle.lincoln.mkz_2017,0.0,Completed,100.0,1,0,0,167,0.001,0.047,-5.028,5.028,9.861,0.036,
p7x2,2115,Completed,80.0,100,0,,,,0.0,Completed,100.0,0,0,0,229,0.002,0.077,-2.423,2.423,10.147,0.1,
p7x2,2286,Completed,60.0,100,1,,9.7,vehicle.mini.cooper_s_2021,0.0,Completed,100.0,1,0,0,157,0.0,0.001,-12.902,12.902,19.012,0.017,
p7x2,2373,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,176,0.019,0.049,-2.855,2.855,6.435,0.159,
p7x2,2390,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,95,0.007,0.17,-16.806,16.806,26.519,0.455,
p7x2,24211,Completed,60.0,100,1,,15.4,vehicle.lincoln.mkz_2020,0.0,Completed,100.0,1,0,0,261,0.0,0.001,-14.493,14.493,24.281,0.013,
p7x2,24330,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,282,0.002,0.011,-1.257,1.257,6.094,0.162,
p7x2,26458,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,221,0.001,0.11,-1.176,1.176,6.63,0.032,
p7x2,2668,Completed,60.0,100,1,,11.7,vehicle.lincoln.mkz_2020,2.6,Completed,100.0,1,0,0,160,0.004,0.076,-4.54,4.54,8.23,0.066,
p7x2,3564,Failed - Agent got blocked,32.964018,52.97,0,,,,0.0,Failed - Agent got blocked,9.806035,0,1,0,187,0.001,0.242,-4.647,4.647,11.039,0.056,other
p7x2,4183,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,211,0.006,0.061,-5.037,5.037,8.944,0.217,
p7x5,11381,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,221,0.009,0.06,-4.541,4.541,12.433,0.234,
p7x5,1711,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,312,0.001,0.005,-4.125,4.125,11.965,0.023,
p7x5,17563,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,285,0.004,0.145,-5.488,5.488,13.556,0.174,
p7x5,1825,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,317,0.003,0.177,-5.435,5.435,11.543,0.106,
p7x5,1833,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,310,0.003,0.174,-6.256,6.256,11.327,0.104,
p7x5,1852,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,323,0.004,0.186,-4.535,4.535,14.202,0.141,
p7x5,1956,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,314,0.001,0.276,-1.022,1.022,9.43,0.038,
p7x5,2084,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,250,0.003,0.09,-4.859,4.859,9.868,0.125,
p7x5,2086,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,235,0.006,0.096,-4.903,4.903,10.279,0.169,
p7x5,2091,Completed,48.0,100,1,,10.6,vehicle.lincoln.mkz_2017,0.0,Completed,100.0,1,0,0,169,0.001,0.058,-4.969,4.969,9.54,0.048,
p7x5,2115,Completed,80.0,100,0,,,,0.0,Completed,100.0,0,0,0,231,0.002,0.043,-2.156,2.156,9.765,0.06,
p7x5,2286,Completed,60.0,100,1,,9.6,vehicle.mini.cooper_s_2021,0.0,Completed,100.0,1,0,0,158,0.0,0.001,-12.198,12.198,18.17,0.017,
p7x5,2373,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,175,0.02,0.07,-2.85,2.85,6.229,0.17,
p7x5,2390,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,95,0.005,0.28,-16.846,16.846,26.551,0.225,
p7x5,24211,Completed,60.0,100,1,,14.8,vehicle.lincoln.mkz_2020,0.0,Completed,100.0,1,0,0,249,0.0,0.003,-14.503,14.503,23.526,0.014,
p7x5,24330,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,278,0.004,0.011,-0.922,0.922,5.615,0.142,
p7x5,26458,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,222,0.001,0.058,-1.136,1.136,6.448,0.038,
p7x5,2668,Completed,60.0,100,1,,11.7,vehicle.lincoln.mkz_2020,2.4,Completed,100.0,1,0,0,161,0.005,0.076,-4.453,4.453,8.432,0.122,
p7x5,3564,Failed - Agent got blocked,32.964018,52.97,0,,,,0.0,Failed - Agent got blocked,9.806035,0,1,0,187,0.001,0.264,-4.294,4.294,11.037,0.034,other
p7x5,4183,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,213,0.001,0.07,-4.366,4.366,8.618,0.076,
p7x1,11381,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,229,0.008,0.118,-4.856,4.856,10.915,0.177,
p7x1,1711,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,310,0.001,0.005,-4.791,4.791,12.821,0.012,
p7x1,17563,Completed,60.0,100,1,,12.4,vehicle.mini.cooper_s_2021,0.0,Completed,100.0,1,0,0,171,0.003,0.094,-5.678,5.678,10.921,0.081,
p7x1,1825,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,323,0.004,0.213,-5.901,5.901,13.406,0.081,
p7x1,1833,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,315,0.004,0.21,-6.734,6.734,12.714,0.161,
p7x1,1852,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,322,0.003,0.279,-6.704,6.704,14.839,0.092,
p7x1,1956,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,314,0.006,0.386,-1.395,1.395,9.158,0.055,
p7x1,2084,Completed,19.627121,100,3,,12.8,vehicle.mini.cooper_s_2021,199.6,Completed,100.0,1,0,0,184,0.002,0.043,-4.682,4.682,11.325,0.071,
p7x1,2086,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,237,0.006,0.173,-5.314,5.314,11.043,0.204,
p7x1,2091,Completed,48.0,100,1,,10.6,vehicle.lincoln.mkz_2017,0.0,Completed,100.0,1,0,0,163,0.001,0.042,-5.148,5.148,10.634,0.039,
p7x1,2115,Completed,80.0,100,0,,,,0.0,Completed,100.0,0,0,0,236,0.001,0.153,-2.434,2.434,10.835,0.051,
p7x1,2286,Completed,60.0,100,1,,9.7,vehicle.mini.cooper_s_2021,0.0,Completed,100.0,1,0,0,154,0.001,0.004,-14.816,14.816,21.068,0.028,
p7x1,2373,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,175,0.013,0.118,-3.058,3.058,6.615,0.258,
p7x1,2390,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,94,0.021,0.253,-17.453,17.453,27.104,0.86,
p7x1,24211,Completed,60.0,100,1,,15.7,vehicle.lincoln.mkz_2020,0.0,Completed,100.0,1,0,0,264,0.0,0.001,-15.058,15.058,24.885,0.016,
p7x1,24330,Completed,36.0,100,2,,18.7,vehicle.dodge.charger_2020,0.0,Completed,100.0,1,0,0,171,0.001,0.012,-2.288,2.288,7.347,0.062,
p7x1,26458,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,221,0.002,0.187,-1.177,1.177,6.626,0.024,
p7x1,2668,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,397,0.002,0.136,-6.61,6.61,11.906,0.093,
p7x1,3564,Failed - Agent got blocked,32.964018,52.97,0,,,,0.0,Failed - Agent got blocked,9.806035,0,1,0,190,0.007,0.251,-5.392,5.392,12.757,0.097,other
p7x1,4183,Completed,60.0,100,1,,10.1,vehicle.lincoln.mkz_2020,0.0,Completed,100.0,1,0,0,154,0.003,0.028,-4.952,4.952,10.15,0.047,
