level,route,seed,contrast,ds_arm,ds_B,ds_diff,rc_arm,rc_B,points_rc,points_collisions_pedestrian,points_collisions_vehicle,points_collisions_layout,points_red_light,points_stop_infraction,points_scenario_timeouts,points_yield_emergency_vehicle_infractions,points_outside_route_lanes,points_min_speed_infractions,points_route_dev,points_vehicle_blocked,points_route_timeout,points_rounding,zero_ds_excluded
1,26405,2,A-B,100.0,23.447149,76.552851,100.0,72.71,16.820440301473393,0.0,53.92248238741929,0.0,0.0,0.0,0.0,0.0,5.807782063015757,0.0,0.0,0.0,0.0,0.0021462480915589977,False
1,26405,2,C-B,100.0,23.447149,76.552851,100.0,72.71,16.820440301473393,0.0,53.92248238741929,0.0,0.0,0.0,0.0,0.0,5.807782063015757,0.0,0.0,0.0,0.0,0.0021462480915589977,False
1,27494,0,A-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,27494,0,C-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,27494,1,A-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,27494,1,C-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,27494,2,A-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,27494,2,C-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,28198,0,A-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,28198,0,C-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,28198,1,A-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,28198,1,C-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,28198,2,A-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,28198,2,C-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,2050,0,A-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,2050,0,C-B,60.0,100.0,-40.0,100.0,100.0,0.0,0.0,-39.99999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.95484625968566e-14,False
2,2050,1,A-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,2050,1,C-B,60.0,100.0,-40.0,100.0,100.0,0.0,0.0,-39.99999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.95484625968566e-14,False
2,2050,2,A-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,2050,2,C-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,2084,0,A-B,100.0,60.0,40.0,100.0,100.0,0.0,0.0,39.99999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.95484625968566e-14,False
2,2084,0,C-B,50.76,60.0,-9.240000000000002,50.76,100.0,-37.46377382330213,0.0,28.223773823302075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9073001952301704e-14,False
2,2084,1,A-B,100.0,60.0,40.0,100.0,100.0,0.0,0.0,39.99999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.95484625968566e-14,False
2,2084,1,C-B,30.456,60.0,-29.544,50.76,100.0,-29.54400000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.869905836280255e-14,False
2,2084,2,A-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,2084,2,C-B,50.76,100.0,-49.24,50.76,100.0,-49.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
