level,route,seed,arm,old_ds,new_ds,ds_change,old_rc,new_rc,old_status,new_status,old_phantom_ticks,old_linked_event,old_linked_event_step,new_same_event_near_old_step_3s,new_same_event_anytime,new_event_types
2,2050,0,D,60.0,60.0,0.0,100.0,100.0,Completed,Completed,1,,,False,False,COLLISION_VEHICLE|MIN_SPEED_INFRACTION|ROUTE_COMPLETION
2,2050,1,C,60.0,60.0,0.0,100.0,100.0,Completed,Completed,0,,,False,False,COLLISION_VEHICLE|MIN_SPEED_INFRACTION|ROUTE_COMPLETION
2,2050,1,D,100.0,100.0,0.0,100.0,100.0,Completed,Completed,10,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
2,2050,2,C,100.0,100.0,0.0,100.0,100.0,Completed,Completed,0,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
2,2050,2,D,60.0,100.0,40.0,100.0,100.0,Completed,Completed,6,COLLISION_VEHICLE,254,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
2,2084,0,C,60.0,50.76,-9.240000000000002,100.0,50.76,Completed,Failed - Agent deviated from the route,27,COLLISION_VEHICLE,227,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
2,2084,0,D,100.0,50.76,-49.24,100.0,50.76,Completed,Failed - Agent deviated from the route,3,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
2,2084,1,C,29.478,30.456,0.977999999999998,49.13,50.76,Failed - TickRuntime,Failed - Agent deviated from the route,198,,,False,False,COLLISION_VEHICLE|MIN_SPEED_INFRACTION|ROUTE_COMPLETION
2,2084,1,D,40.608,50.76,10.152000000000001,50.76,50.76,Failed - Agent deviated from the route,Failed - Agent deviated from the route,17,STOP_INFRACTION,180,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
2,2084,2,C,50.76,50.76,0.0,50.76,50.76,Failed - Agent deviated from the route,Failed - Agent deviated from the route,17,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
2,2084,2,D,98.738592,50.76,-47.978592,100.0,50.76,Completed,Failed - Agent deviated from the route,2,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
2,25318,0,C,20.952,60.0,39.048,34.92,100.0,Failed - TickRuntime,Completed,1712,,,False,False,COLLISION_VEHICLE|MIN_SPEED_INFRACTION|ROUTE_COMPLETION
2,25318,0,D,20.952,60.0,39.048,34.92,100.0,Failed - TickRuntime,Completed,2383,,,False,False,COLLISION_VEHICLE|MIN_SPEED_INFRACTION|ROUTE_COMPLETION
2,25318,1,C,100.0,60.0,-40.0,100.0,100.0,Completed,Completed,0,,,False,False,COLLISION_VEHICLE|MIN_SPEED_INFRACTION|ROUTE_COMPLETION
2,25318,1,D,20.952,60.0,39.048,34.92,100.0,Failed - TickRuntime,Completed,2437,,,False,False,COLLISION_VEHICLE|MIN_SPEED_INFRACTION|ROUTE_COMPLETION
2,25318,2,C,100.0,100.0,0.0,100.0,100.0,Completed,Completed,0,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
2,25318,2,D,20.952,60.0,39.048,34.92,100.0,Failed - TickRuntime,Completed,1402,,,False,False,COLLISION_VEHICLE|MIN_SPEED_INFRACTION|ROUTE_COMPLETION
2,27529,0,C,24.0096,50.02,26.010400000000004,50.02,50.02,Failed - Agent deviated from the route,Failed - Agent deviated from the route,0,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
2,27529,0,D,40.016,24.0096,-16.0064,50.02,50.02,Failed - Agent deviated from the route,Failed - Agent deviated from the route,0,,,False,False,COLLISION_VEHICLE|MIN_SPEED_INFRACTION|ROUTE_COMPLETION|STOP_INFRACTION
2,27529,1,C,32.514352,40.016,7.501647999999996,51.16,50.02,Failed - Agent got blocked,Failed - Agent deviated from the route,0,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION|STOP_INFRACTION
2,27529,1,D,40.016,24.0096,-16.0064,50.02,50.02,Failed - Agent deviated from the route,Failed - Agent deviated from the route,0,,,False,False,COLLISION_VEHICLE|MIN_SPEED_INFRACTION|ROUTE_COMPLETION|STOP_INFRACTION
2,27529,2,C,50.02,40.016,-10.004000000000005,50.02,50.02,Failed - Agent deviated from the route,Failed - Agent deviated from the route,10,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION|STOP_INFRACTION
2,27529,2,D,40.016,50.02,10.004000000000005,50.02,50.02,Failed - Agent deviated from the route,Failed - Agent deviated from the route,4,STOP_INFRACTION,360,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
2,28154,0,C,36.0,100.0,64.0,100.0,100.0,Completed,Completed,31,COLLISION_VEHICLE,235,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
2,28154,0,D,36.0,100.0,64.0,100.0,100.0,Completed,Completed,67,COLLISION_VEHICLE,235,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
2,28154,1,C,36.0,100.0,64.0,100.0,100.0,Completed,Completed,72,COLLISION_VEHICLE,225,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
2,28154,1,D,36.0,100.0,64.0,100.0,100.0,Completed,Completed,60,COLLISION_VEHICLE,225,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
2,28154,2,C,60.0,100.0,40.0,100.0,100.0,Completed,Completed,65,COLLISION_VEHICLE,225,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
2,28154,2,D,36.0,100.0,64.0,100.0,100.0,Completed,Completed,50,COLLISION_VEHICLE,226,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
2,3072,0,C,100.0,100.0,0.0,100.0,100.0,Completed,Completed,0,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
