level,route,seed,arm,speed_band,n,long_delta_median,long_delta_p10,long_delta_p90,steer_delta_median,steer_delta_p10,steer_delta_p90,long_abs_gt_0_05,steer_abs_gt_0_05
1,26405,2,C,3-8,82,-1.9724998474121094,-1.9954641461372375,0.34060076475143575,0.009560122480615975,-0.012191477982948224,0.015902672496106888,75,0
1,26405,2,C,>=8,258,0.4024475635960698,0.017770987749099743,0.4743541670497507,0.01462221075263288,0.00045393834656312095,0.01637975456731187,246,0
1,26405,2,D,<0.5,39,-1.8201463222503662,-2.2523776054382325,-1.5332171380519866,-0.00038223181036300957,-0.0010987915098667144,0.011490854316701495,39,0
1,26405,2,D,0.5-3,40,-1.9724998474121094,-2.0388722121715546,-1.70410825461149,0.006357032643734581,0.002691598800211472,0.01626432314949731,40,0
1,26405,2,D,3-8,92,-1.9724998474121094,-1.9828142821788788,0.1932607173919681,0.0064189820860823,-0.007770965598523617,0.01406797165009711,84,0
1,26405,2,D,>=8,248,0.3975269962102175,0.08622067868709565,0.46759299635887147,0.007503836167355378,-0.004455983618895214,0.008422148078680039,244,0
1,27494,0,C,<0.5,228,1.032210186123848,-1.9290064990520477,1.0822609134018422,-0.5653773844242096,-0.800000011920929,0.0,172,140
1,27494,0,C,0.5-3,42,-1.9724998474121094,-2.1192578852176664,0.21551961302756917,-0.033370881995393176,-0.04310454267925687,-0.015897220969200133,42,2
1,27494,0,C,3-8,260,0.39160922449082136,-1.9724998474121094,1.4001079976558686,-0.0005114854605108121,-0.03671396203835805,0.0873859551416503,257,52
1,27494,0,C,>=8,10,1.3138134330511093,0.9738384857773781,1.3654420882463456,-0.002242264007994284,-0.0039546869619646015,-0.0010358152462479973,10,0
1,27494,0,D,<0.5,214,1.1403934136033058,-1.8608354210853577,1.2395654425024987,-0.07490305230021477,-0.30350384712219236,0.0913977324962616,213,149
1,27494,0,D,0.5-3,58,-1.9724998474121094,-2.1135785400867464,1.1601580351591114,-0.015842705344160397,-0.10796588664253552,0.03978250868784056,58,15
1,27494,0,D,3-8,254,0.39716557785868645,-1.9724998474121094,1.427578118443489,0.00018018451493440404,-0.035147715806961036,0.039234693318605435,250,35
1,27494,0,D,>=8,9,1.3117598593235016,1.0253648154437542,1.3922442138195037,0.002621417657355779,0.0014991092688578648,0.003714710565283895,9,0
