level,route,seed,contrast,ds_diff,diverged,divergence_step,divergence_time_s,distance_m,speed_delta_mps,speed_mps,target_mps,plan_first_mps,plan_mean8_mps,turn_deg,stop_sign,creep,intent,speed_bin,next_event_side,next_event_cause,next_event_step,next_event_delta_s
2,2084,1,A-B,40.0,True,29,1.5000000223517418,0.11853429628375461,1.2488059003806375,5.765,5.875,6.25,4.47,-0.06,True,False,cruise,3-8,B,collisions_vehicle,491,23.1
2,2084,1,C-B,-29.544,True,14,0.7500000111758709,0.0986328125,1.0812116165238075,0.0,1.141,0.65,3.396,-0.05,True,False,launch,<0.5,arm,collisions_vehicle,410,19.8
2,2084,2,A-B,0.0,True,32,1.650000024586916,0.24170365762969387,1.2620754410020716,5.909,6.0,6.24,4.385,-0.02,True,False,cruise,3-8,,,,nan
2,2084,2,C-B,-49.24,True,14,0.7500000111758709,0.10107421875,1.1083272707307417,0.0,1.148,0.667,3.42,-0.06,True,False,launch,<0.5,arm,route_dev,473,22.950000000000003
2,3072,0,A-B,0.0,True,33,1.700000025331974,0.09906487209356094,1.0925389204006821,6.434,0.0,6.49,5.913,0.0,False,False,target_stop,3-8,,,,nan
2,3072,0,C-B,0.0,True,14,0.7500000111758709,0.09991484905890495,1.0690452703551705,0.0,1.102,0.665,3.94,-0.03,False,False,launch,<0.5,,,,nan
2,3072,1,A-B,0.0,True,35,1.8000000268220901,0.1420699298969914,1.0718692199601794,6.832,0.0,6.49,5.777,-0.04,False,False,target_stop,3-8,,,,nan
2,3072,1,C-B,0.0,True,14,0.7500000111758709,0.09857207968461759,1.070374438839865,0.0,1.102,0.667,3.939,-0.03,False,False,launch,<0.5,,,,nan
2,3072,2,A-B,0.0,True,33,1.700000025331974,0.09674349519144147,1.1159449957256617,6.44,0.0,6.469,5.741,-0.01,False,False,target_stop,3-8,,,,nan
2,3072,2,C-B,0.0,True,14,0.7500000111758709,0.09930449932969787,1.0767109680898999,0.0,1.086,0.667,3.919,-0.03,False,False,launch,<0.5,,,,nan
2,25318,0,A-B,40.0,True,34,1.750000026077032,0.13366722320292815,1.0435324424055343,6.671,0.0,6.583,6.09,-0.06,False,False,target_stop,3-8,B,collisions_vehicle,512,23.900000000000002
2,25318,0,C-B,0.0,True,14,0.7500000111758709,0.0983983882834458,1.0652717066126194,0.0,1.148,0.728,4.141,-0.1,False,False,launch,<0.5,arm,collisions_vehicle,213,9.950000000000001
2,25318,1,A-B,0.0,True,41,2.1000000312924385,0.023639613396610783,2.013429219828362,4.33,5.031,4.781,6.107,-0.04,False,False,cruise,3-8,,,,nan
2,25318,1,C-B,-40.0,True,14,0.7500000111758709,0.09823859153218327,1.0551893472788558,0.0,1.18,0.737,4.155,-0.1,False,False,launch,<0.5,arm,collisions_vehicle,214,10.0
2,25318,2,A-B,40.0,True,56,2.8500000424683094,0.1721748933046016,1.3957376319201051,7.926,2.531,8.146,6.991,-0.09,False,False,cruise,3-8,B,collisions_vehicle,255,9.950000000000001
2,25318,2,C-B,40.0,True,14,0.7500000111758709,0.09923760403240817,1.0855964315420035,0.0,1.148,0.729,4.137,-0.1,False,False,launch,<0.5,B,collisions_vehicle,255,12.05
2,27529,0,A-B,0.0,True,29,1.5000000223517418,0.06612048828252087,1.4930644543116083,5.742,5.938,6.333,4.903,0.02,True,False,cruise,3-8,,,,nan
2,27529,0,C-B,-49.98,True,14,0.7500000111758709,0.09674195490392255,1.0080991532073305,0.0,1.086,0.494,3.73,-0.02,True,False,launch,<0.5,arm,route_dev,474,23.0
2,27529,1,A-B,0.0,True,29,1.5000000223517418,0.04211642494707192,1.1504176531041468,5.809,5.969,6.333,4.973,0.02,True,False,cruise,3-8,,,,nan
2,27529,1,C-B,-59.984,True,14,0.7500000111758709,0.09674195490392255,1.008007822030581,0.0,1.055,0.493,3.722,-0.03,True,False,launch,<0.5,arm,stop_infraction,345,16.55
2,27529,2,A-B,0.0,True,29,1.5000000223517418,0.054631374713880604,1.420504077329145,5.809,5.969,6.344,5.078,0.02,True,False,cruise,3-8,,,,nan
2,27529,2,C-B,-59.984,True,14,0.7500000111758709,0.09674195490392255,1.0080374237978678,0.0,1.078,0.492,3.728,-0.02,True,False,launch,<0.5,arm,stop_infraction,375,18.05
2,28154,0,A-B,0.0,True,41,2.1000000312924385,0.003614602298496725,2.0777696987772716,4.388,5.062,4.885,5.974,-0.01,False,False,cruise,3-8,,,,nan
2,28154,0,C-B,0.0,True,14,0.7500000111758709,0.09863479654752748,1.0824139581734256,0.0,0.98,0.588,3.925,0.02,False,False,launch,<0.5,,,,nan
2,28154,1,A-B,0.0,True,41,2.1000000312924385,0.003925961071019139,2.096970738248336,4.367,5.062,4.906,5.962,-0.0,False,False,cruise,3-8,,,,nan
2,28154,1,C-B,0.0,True,14,0.7500000111758709,0.09751283874072149,1.0431235539421697,0.0,0.969,0.594,3.927,0.02,False,False,launch,<0.5,,,,nan
2,28154,2,A-B,0.0,True,41,2.1000000312924385,0.04494726717670471,2.107759650409246,4.373,5.062,4.865,6.03,-0.0,False,False,cruise,3-8,,,,nan
2,28154,2,C-B,0.0,True,14,0.7500000111758709,0.09733782591405138,1.0365045552087593,0.0,0.98,0.585,3.912,0.02,False,False,launch,<0.5,,,,nan
