level,route,seed,arm,ds,rc,completed,sr,wall_s,infra_retries,length_km,official_status,collisions_layout_per_km,collisions_pedestrian_per_km,collisions_vehicle_per_km,red_light_per_km,stop_infraction_per_km,outside_route_lanes_per_km,min_speed_infractions_per_km,yield_emergency_vehicle_infractions_per_km,scenario_timeouts_per_km,route_dev_per_km,vehicle_blocked_per_km,route_timeout_per_km
1,28198,1,D,100.0,100,True,True,62.006351614007144,0,0.08433700000000001,Completed,0.0,0.0,0.0,0.0,0.0,0.0,225.28664761611154,0.0,0.0,0.0,0.0,0.0
1,28198,2,A,100.0,100,True,True,59.089873994998925,0,0.08433700000000001,Completed,0.0,0.0,0.0,0.0,0.0,0.0,225.28664761611154,0.0,0.0,0.0,0.0,0.0
1,28198,2,B,100.0,100,True,True,52.481436291000136,0,0.08433700000000001,Completed,0.0,0.0,0.0,0.0,0.0,0.0,225.28664761611154,0.0,0.0,0.0,0.0,0.0
1,28198,2,C,100.0,100,True,True,63.008225037003285,0,0.08433700000000001,Completed,0.0,0.0,0.0,0.0,0.0,0.0,225.28664761611154,0.0,0.0,0.0,0.0,0.0
1,28198,2,D,100.0,100,True,True,57.005471871991176,0,0.08433700000000001,Completed,0.0,0.0,0.0,0.0,0.0,0.0,225.28664761611154,0.0,0.0,0.0,0.0,0.0
2,2050,0,A,100.0,100,True,True,94.52629470999818,0,0.078623,Completed,0.0,0.0,0.0,0.0,0.0,0.0,267.09741424265167,0.0,0.0,0.0,0.0,0.0
2,2050,0,B,100.0,100,True,True,88.52322630300114,0,0.078623,Completed,0.0,0.0,0.0,0.0,0.0,0.0,267.09741424265167,0.0,0.0,0.0,0.0,0.0
2,2050,0,C,60.0,100,True,False,91.00797119199706,0,0.078623,Completed,0.0,0.0,12.718924487745317,0.0,0.0,0.0,267.09741424265167,0.0,0.0,0.0,0.0,0.0
2,2050,0,D,60.0,100,True,False,97.00844030700682,0,0.078623,Completed,0.0,0.0,12.718924487745317,0.0,0.0,0.0,267.09741424265167,0.0,0.0,0.0,0.0,0.0
2,2050,1,A,100.0,100,True,True,105.14413644099841,0,0.078623,Completed,0.0,0.0,0.0,0.0,0.0,0.0,267.09741424265167,0.0,0.0,0.0,0.0,0.0
2,2050,1,B,100.0,100,True,True,87.72001270399778,0,0.078623,Completed,0.0,0.0,0.0,0.0,0.0,0.0,267.09741424265167,0.0,0.0,0.0,0.0,0.0
