subset,arm,vs,n,value,delta,lo,hi,halfwidth
Interections,cls_late op-cinque temporal +desire,cv,116,7.647103426960209,0.5352488262803052,0.12375448094460709,0.9577652652445995,0.4170053921499962
Interections,native op-lebowski +desire,native op-lebowski,116,7.5657903354652785,0.05851305403125727,-0.09725467036856109,0.23711304967931082,0.16718386002393595
Interections,native op-lebowski +desire,cv,116,7.5657903354652785,0.45393573478537436,-0.07488790082591504,0.9843627428548307,0.5296253218403729
Interections,A ridge_late op-lebowski temporal +desire,A ridge_late op-lebowski temporal,116,7.38394252845263,-0.10405786992250944,-0.26086655270075104,0.03460166496729496,0.147734108834023
Interections,A ridge_late op-lebowski temporal +desire,cv,116,7.38394252845263,0.27208792777272595,-0.23454928678452622,0.7763596458135584,0.5054544662990423
Interections,cls_late op-lebowski temporal +desire,cls_late op-lebowski temporal,116,7.6632593647420855,-0.021642751960319888,-0.22754040275456194,0.18664303660412218,0.20709171967934206
Interections,cls_late op-lebowski temporal +desire,cv,116,7.6632593647420855,0.5514047640621819,0.12369117571971977,1.002836425417294,0.43957262484878706
Interections,cls ego K1024 +desire,cls ego K1024,116,7.376148199996276,0.03589092517350366,-0.002935360051139964,0.1028722169860463,0.052903788518593134
Interections,ridge ego +desire,ridge ego,116,7.040178039758722,1.0181768969351707e-05,-7.979614592978912e-06,2.6930454989346107e-05,1.745503479116251e-05
Multi-Lane Maneuvers,native op-cinque +desire,native op-cinque,42,7.5556664405542975,0.013690381966820566,-0.22581641971416588,0.22376267240269387,0.22478954605842988
Multi-Lane Maneuvers,native op-cinque +desire,cv,42,7.5556664405542975,0.7199744687226322,-0.1344082130037054,1.5178043711813352,0.8261062920925203
Multi-Lane Maneuvers,A ridge_late op-cinque temporal +desire,A ridge_late op-cinque temporal,42,7.1058077845901675,-0.030549038388798945,-0.14721739916528911,0.06920374757283697,0.10821057336906303
Multi-Lane Maneuvers,A ridge_late op-cinque temporal +desire,cv,42,7.1058077845901675,0.2701158127585022,-0.6025768415191651,1.1267816746024553,0.8646792580608103
Multi-Lane Maneuvers,cls_late op-cinque temporal +desire,cls_late op-cinque temporal,42,7.258213747402384,-0.06127096638851835,-0.25663013993680606,0.1284414652132502,0.19253580257502811
Multi-Lane Maneuvers,cls_late op-cinque temporal +desire,cv,42,7.258213747402384,0.42252177557071874,-0.3024645431987054,1.1518010563453067,0.7271327997720061
Multi-Lane Maneuvers,native op-lebowski +desire,native op-lebowski,42,7.190276295105667,-0.1340236299644147,-0.3763164625716191,0.0,0.18815823128580955
Multi-Lane Maneuvers,native op-lebowski +desire,cv,42,7.190276295105667,0.35458432327400285,-0.4958517590468927,1.182669514146819,0.8392606365968559
Multi-Lane Maneuvers,A ridge_late op-lebowski temporal +desire,A ridge_late op-lebowski temporal,42,7.205613391873109,0.05340188084343304,-0.04573966422953071,0.18289222674610445,0.11431594548781758
Multi-Lane Maneuvers,A ridge_late op-lebowski temporal +desire,cv,42,7.205613391873109,0.36992142004144385,-0.521913037403121,1.2363612148317877,0.8791371261174543
Multi-Lane Maneuvers,cls_late op-lebowski temporal +desire,cls_late op-lebowski temporal,42,7.495059085361014,-0.05014179284071515,-0.28207179405922034,0.20240644405594244,0.2422391190575814
Multi-Lane Maneuvers,cls_late op-lebowski temporal +desire,cv,42,7.495059085361014,0.6593671135293492,-0.112994657960755,1.3996717602860018,0.7563332091233784
Multi-Lane Maneuvers,cls ego K1024 +desire,cls ego K1024,42,6.932951232701367,-0.07958573479903071,-0.34752846943549626,0.11780395073954913,0.2326662100875227
Multi-Lane Maneuvers,ridge ego +desire,ridge ego,42,6.899282065197015,-2.2769011882605216e-05,-5.261734308716004e-05,-1.0716938634435362e-06,2.577282461185825e-05
