set,examinee,L_s,window,scope,tau_model,null_ff,null_ff_oos,false_flip_nonreactive,n,unit,routes,flip,lo,hi,sign_agree,abs_over_tau_median
ba,M-C pair [cinque],0.3,(a) gated,pedestrian,1.6276710629463196,0.049251247920133114,0.051031018626554264,0.018957345971563982,364,frame,21,0.4642857142857143,0.3780011675170803,0.5437194420477424,0.8873626373626373,0.8506048321723938
ba,M-C pair [cinque],0.3,(a) gated,cut-in,1.6276710629463196,0.049251247920133114,0.051031018626554264,0.08161548169962138,676,frame,26,0.8002958579881657,0.7005668604651163,0.8839285714285714,0.9704142011834319,1.8430671691894531
ba,M-C pair [cinque],0.3,(b) per pair,pooled,1.6276710629463196,0.5473684210526316,0.5483156028368794,0.06674907292954264,147,pair,49,0.8435374149659864,0.7482993197278912,0.9251700680272109,0.9296947271045328,1.5369198322296143
ba,M-C pair [cinque],0.3,(b) per pair,pedestrian,1.6276710629463196,0.5473684210526316,0.5483156028368794,0.018213572854291416,63,pair,21,0.7619047619047619,0.5873015873015873,0.9047619047619048,0.8645320197044335,0.6805734038352966
ba,M-C pair [cinque],0.3,(b) per pair,cut-in,1.6276710629463196,0.5473684210526316,0.5483156028368794,0.07788036932958652,78,pair,26,0.9743589743589743,0.9230769230769231,1.0,0.9704142011834319,1.8430671691894531
ba,M-C pair (mu=0) [cinque],0.3,per frame,pooled,2.5602736473083496,0.050062972292191435,0.054731809496398276,0.045241038318912234,1081,frame,49,0.5578168362627197,0.46577593261131167,0.6441819995546807,0.9232192414431082,1.147642970085144
ba,M-C pair (mu=0) [cinque],0.3,per frame,pedestrian,2.5602736473083496,0.050062972292191435,0.054731809496398276,0.01472055888223553,406,frame,21,0.37438423645320196,0.2749390087945383,0.4596173600410888,0.8620689655172413,0.5220949649810791
ba,M-C pair (mu=0) [cinque],0.3,per frame,cut-in,2.5602736473083496,0.050062972292191435,0.054731809496398276,0.04937775993576877,676,frame,26,0.6671597633136095,0.5302589277956382,0.7843581812729756,0.9600591715976331,1.3527672290802002
ba,M-C pair (mu=0) [cinque],0.3,(a) gated,pooled,2.5602736473083496,0.04792013311148086,0.0546838188683159,0.04764411687286128,1030,frame,46,0.5805825242718446,0.4900419329751932,0.6758838890093569,0.9310679611650485,1.1932475566864014
ba,M-C pair (mu=0) [cinque],0.3,(a) gated,pedestrian,2.5602736473083496,0.04792013311148086,0.0546838188683159,0.015271195365982097,364,frame,21,0.40384615384615385,0.2976493534750715,0.4984824204631557,0.8791208791208791,0.598547637462616
