group,axis,vlm,best_baseline,baseline_acc,vlm_acc,delta,d_lo,d_hi
pre_onset | route straight,lat,VLM Qwen3-VL-4B text,majority (lane_change_right),0.41156462585034015,0.0391156462585034,-0.37244897959183676,-0.49181822711644824,-0.26208281637717123
pre_onset | route straight,lat,VLM Qwen3-VL-32B-FP8 text,majority (lane_change_right),0.41156462585034015,0.0391156462585034,-0.37244897959183676,-0.49181822711644824,-0.26208281637717123
pre_onset | route straight,lat,VLM Qwen3-VL-32B-FP8 main,majority (lane_change_right),0.41156462585034015,0.04251700680272109,-0.36904761904761907,-0.48938429674260964,-0.25718999274836835
pre_onset | route straight,joint,VLM Qwen3-VL-4B main,majority (keep|right),0.304421768707483,0.030612244897959183,-0.27380952380952384,-0.36979997132205333,-0.170254241399945
pre_onset | route straight,joint,VLM Qwen3-VL-4B text,majority (keep|right),0.304421768707483,0.023809523809523808,-0.28061224489795916,-0.37500985804416404,-0.18332074721780603
pre_onset | route straight,joint,VLM Qwen3-VL-32B-FP8 text,majority (keep|right),0.304421768707483,0.022108843537414966,-0.282312925170068,-0.37623187958158305,-0.18781718746617995
pre_onset | route straight,joint,VLM Qwen3-VL-32B-FP8 main,majority (keep|right),0.304421768707483,0.03231292517006803,-0.272108843537415,-0.3709829681486196,-0.17407110269099918
pre_onset | route turn,long,VLM Qwen3-VL-4B main,"ego kinematic (CTRA extrapolation, same judge)",0.6448275862068965,0.4885057471264368,-0.15632183908045977,-0.27716750852608385,-0.03779030849444878
pre_onset | route turn,long,VLM Qwen3-VL-4B text,"ego kinematic (CTRA extrapolation, same judge)",0.6448275862068965,0.539080459770115,-0.10574712643678161,-0.22471403854280453,-0.003156828988358748
pre_onset | route turn,long,VLM Qwen3-VL-32B-FP8 text,"ego kinematic (CTRA extrapolation, same judge)",0.6448275862068965,0.603448275862069,-0.041379310344827586,-0.10166165179497821,0.01857202600463825
pre_onset | route turn,long,VLM Qwen3-VL-32B-FP8 main,"ego kinematic (CTRA extrapolation, same judge)",0.6448275862068965,0.4793103448275862,-0.16551724137931034,-0.26589007744804843,-0.0643123786407767
pre_onset | route turn,lat3,VLM Qwen3-VL-4B main,route command (CTRA long; lateral = intent),0.9988505747126437,0.964367816091954,-0.034482758620689655,-0.07684154688888838,-0.0021862218282875864
