group,variant,model,n,lat@2s,lon@2s,lat@4s,lon@4s,curv_mae,curv_r,d_lat@2s,d_lat@2s_segmin,d_lat@2s_segmax,d_lon@2s,d_lon@2s_segmin,d_lon@2s_segmax,d_lat@4s,d_lat@4s_segmin,d_lat@4s_segmax
image,bright1.6,small,4400,0.38,1.8204,1.7345,5.1665,0.0015,0.9917,0.0018,-0.0082,0.0075,0.0458,0.0188,0.0649,0.0381,-0.0537,0.0908
image,bright1.6,cinque,8800,0.168,0.9545,0.7256,2.7352,0.0012,0.9763,0.0044,-0.0007,0.013,0.0971,-0.0472,0.5066,0.0117,-0.0519,0.0608
image,bright1.6,lebowski,4400,0.2161,1.1591,1.1021,3.6539,0.0015,0.9936,0.0032,-0.0046,0.0094,0.0803,0.0248,0.1672,0.0227,0.0073,0.0538
image,lowcontrast,small,4400,0.3723,1.8696,1.6727,5.1718,0.0014,0.9927,-0.006,-0.0195,0.0093,0.0949,0.0377,0.1491,-0.0237,-0.1184,0.05
image,lowcontrast,cinque,8800,0.1656,1.2568,0.7258,3.3172,0.0011,0.9773,0.002,-0.0033,0.0161,0.3995,-0.3222,3.3746,0.0118,-0.0357,0.0692
image,lowcontrast,lebowski,4400,0.2248,1.1363,1.0954,3.5601,0.0014,0.9933,0.0119,0.0036,0.0249,0.0575,-0.0787,0.2369,0.016,-0.0312,0.0639
image,gray,small,4400,0.3795,1.9288,1.752,5.6265,0.0014,0.9925,0.0013,-0.0617,0.0525,0.1541,-0.1358,0.6856,0.0555,-0.1476,0.2836
image,gray,cinque,8800,0.1604,1.0911,0.7169,3.1117,0.0012,0.9731,-0.0032,-0.0194,0.014,0.2338,-0.1689,1.6451,0.003,-0.085,0.1291
image,gray,lebowski,4400,0.2154,1.2286,1.0949,3.7545,0.0014,0.9935,0.0026,-0.016,0.0314,0.1498,-0.029,0.3572,0.0155,-0.0786,0.0993
image,fullrange,small,4400,0.3825,1.7993,1.7334,5.1299,0.0015,0.9916,0.0043,-0.0026,0.0129,0.0247,-0.0561,0.0947,0.037,0.0055,0.076
image,fullrange,cinque,8800,0.1648,0.8723,0.7022,2.5502,0.0012,0.9765,0.0012,-0.0042,0.0115,0.015,-0.0792,0.1482,-0.0117,-0.0667,0.035
image,fullrange,lebowski,4400,0.2118,1.109,1.0566,3.5051,0.0014,0.9932,-0.001,-0.0036,0.0013,0.0302,-0.0528,0.1577,-0.0228,-0.0693,0.0005
image,squeeze,small,4400,0.3742,1.796,1.6662,5.0712,0.0015,0.9924,-0.004,-0.0082,-0.0007,0.0213,-0.0015,0.0519,-0.0302,-0.0794,-0.0005
image,squeeze,cinque,8800,0.1634,0.8896,0.7148,2.6138,0.0011,0.9778,-0.0001,-0.0075,0.0092,0.0322,-0.0414,0.1189,0.0008,-0.0554,0.0323
image,squeeze,lebowski,4400,0.2157,1.0969,1.0876,3.5022,0.0015,0.9935,0.0029,-0.0003,0.0069,0.0181,0.0015,0.0507,0.0082,-0.0067,0.0271
image,jpeg75,small,4400,0.3825,1.8112,1.7099,5.1421,0.0015,0.9918,0.0043,-0.0003,0.0075,0.0365,0.0143,0.0656,0.0134,-0.0125,0.0322
image,jpeg75,cinque,8800,0.1638,0.8514,0.705,2.5276,0.0012,0.9768,0.0002,-0.0027,0.0051,-0.0059,-0.17,0.1083,-0.009,-0.0518,0.0413
image,jpeg75,lebowski,4400,0.2129,1.0768,1.0487,3.4623,0.0015,0.993,0.0001,-0.0031,0.0044,-0.002,-0.1079,0.132,-0.0307,-0.0558,0.0107
image,jpeg30,small,4400,0.4087,1.9647,1.7948,5.3677,0.0016,0.991,0.0305,0.0091,0.0555,0.19,0.043,0.4199,0.0984,0.0293,0.1882
image,jpeg30,cinque,8800,0.1742,0.9192,0.7502,2.6588,0.0013,0.9732,0.0106,-0.0107,0.0429,0.0618,-0.1411,0.3569,0.0362,-0.0314,0.2468
image,jpeg30,lebowski,4400,0.2281,1.1255,1.0818,3.4917,0.0015,0.9921,0.0153,0.0056,0.027,0.0467,-0.1553,0.2707,0.0024,-0.066,0.0926
timing,t-10hz,small,4400,0.3821,1.8026,1.7105,5.1303,0.0015,0.9914,0.0039,-0.0021,0.0079,0.028,0.0104,0.0635,0.0141,-0.0153,0.0472
timing,t-10hz,cinque,8800,0.1684,0.8742,0.7277,2.5866,0.0011,0.978,0.0048,-0.0002,0.0134,0.0169,-0.0057,0.0515,0.0137,0.0015,0.0401
timing,t-10hz,lebowski,4400,0.2176,1.1048,1.0993,3.5342,0.0015,0.9933,0.0047,0.002,0.0072,0.026,0.0061,0.0548,0.0199,0.0019,0.0472
timing,t-wide-lag50ms,small,4400,0.3776,1.7751,1.6952,5.0781,0.0015,0.9921,-0.0006,-0.0042,0.0009,0.0004,-0.0034,0.0038,-0.0013,-0.0157,0.0063
timing,t-wide-lag50ms,cinque,8800,0.163,0.8576,0.7138,2.5593,0.0011,0.9782,-0.0006,-0.0034,0.0007,0.0003,-0.0068,0.0107,-0.0001,-0.0099,0.0033
