run,route,scenario,status,RC,DS,length_m,T_s,T_ref_s,dist_m,t_col,v_col,col_type,moving_s,stall_pre_stop_s,stall_pre_go_s,stall_pre_none_s,pinned_s,post_moving_s,v_moving,ep_start_n,ep_start_s,ep_start_stop_s,ep_brake_over_n,ep_brake_over_s,ep_brake_over_stop_s,ep_brake_stop_n,ep_brake_stop_s,ep_brake_stop_stop_s,ep_other_n,ep_other_s,ep_other_stop_s,pinned_throttle_s,pinned_bursts,pinned_burst_v05,pinned_burst_disp1,pinned_go_plan_share,n_moving_windows,efficiency,desired_moving_med,n_brake_over,brake_over_share,brake_over_v1_over_des,brake_over_to_stall,lat_big,lat_big_target,dist_pre_m,pace_pre,T_proj_s,pinned_abs_steer
zoo,2144,VehicleTurningRoute,Failed - Agent got blocked,62.41,23.743307,74.492,92.2,24.25,50.5,22.2,4.5,traffic.traffic_light,17.1,3.1,5.9,0.0,66.2,3.9,2.89,1,0.65,0.0,6,6.9,2.5,2,1.35,0.55,0,0.0,0.0,28.9,31,0.029,0.005,0.446,30,0.813,3.19,9,0.3,0.0,5,6,4,43.1,1.95,38.3,0.09
zoo,2164,VehicleTurningRoutePedestrian,Failed - TickRuntime,73.26,9.563728,74.8,200.0,22.6,57.5,24.4,1.0,static.fence,21.1,3.6,6.4,0.1,168.8,6.9,2.58,1,0.75,0.0,6,4.4,0.5,4,5.0,3.15,0,0.0,0.0,82.2,89,0.05,0.009,0.507,33,0.834,2.42,10,0.303,0.061,6,3,1,44.9,1.85,40.6,0.059
zoo,2201,EnterActorFlow,Completed,100,15.12,82.683,33.3,53.8,85.4,25.8,8.2,vehicle.mercedes.coupe_2020,21.7,6.1,5.0,0.1,0.5,7.0,3.92,1,0.75,0.0,5,5.45,2.5,3,4.95,3.6,0,0.0,0.0,4.6,0,,,1.0,32,0.851,3.37,7,0.219,0.0,5,4,2,43.7,1.7,48.8,0.07
zoo,2204,BlockedIntersection,Failed - Agent got blocked,59.36,33.880533,73.133,92.4,23.1,46.4,32.4,0.9,vehicle.audi.tt,17.9,6.4,7.9,0.1,60.0,0.0,2.5,1,0.75,0.0,10,11.5,5.5,3,2.2,0.95,0,0.0,0.0,26.2,28,0.017,0.014,0.448,39,0.772,2.8,12,0.308,0.0,9,9,0,45.5,1.41,52.0,0.046
zoo,2215,BlockedIntersection,Failed - Agent got blocked,64.12,23.29312,72.462,120.4,61.85,54.5,20.1,2.4,static.building,14.3,2.0,3.8,0.0,100.2,0.0,3.75,1,2.45,1.5,5,3.35,0.5,0,0.0,0.0,0,0.0,0.0,44.8,48,0.019,0.007,0.456,30,0.84,3.69,9,0.3,0.049,5,7,2,53.8,2.68,27.1,0.407
zoo,2273,MergerIntoSlowTraffic,Completed,100,92.662802,136.709,25.5,14.9,136.8,,,,20.6,1.0,3.8,0.1,0.0,0.0,6.64,1,1.65,0.5,5,3.25,0.5,0,0.0,0.0,0,0.0,0.0,0.0,0,,,,42,0.883,8.66,9,0.214,0.067,5,6,0,136.8,5.37,,
zoo,2283,MergerIntoSlowTraffic,Failed - TickRuntime,41.97,27.2805,138.82,200.0,19.25,65.9,9.4,2.0,static.guardrail,7.2,0.4,1.6,0.1,190.6,0.0,8.64,1,0.75,0.0,1,0.45,0.0,1,0.9,0.45,0,0.0,0.0,98.7,100,0.013,0.015,0.525,16,0.888,9.23,2,0.125,0.674,0,6,4,63.1,6.79,20.6,0.998
zoo,2286,HighwayCutIn,Completed,100,100.0,105.07,12.8,9.6,105.1,,,,11.6,0.0,1.1,0.1,0.0,0.0,9.07,1,0.8,0.0,1,0.4,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,,,,23,0.894,10.68,4,0.174,0.979,1,3,0,105.1,8.21,,
zoo,2373,VanillaSignalizedTurnEncounterRedLight,Completed,100,7.874942,65.312,61.5,58.0,81.6,42.3,0.9,vehicle.lincoln.mkz_2020,29.1,8.8,11.5,0.1,12.0,7.2,2.72,1,0.75,0.0,12,14.35,5.5,4,5.3,3.3,0,0.0,0.0,11.9,4,0.378,0.264,0.71,49,0.771,2.29,16,0.327,0.0,11,21,4,53.9,1.28,51.2,0.181
zoo,2390,VanillaNonSignalizedTurn,Failed - Agent got blocked,48.24,14.822761,64.834,94.4,7.35,47.9,17.5,2.6,vehicle.dodge.charger_2020,11.5,4.9,3.2,0.1,74.9,2.2,3.39,1,3.5,2.5,3,1.8,0.5,2,2.8,1.85,0,0.0,0.0,41.2,35,0.018,0.011,0.553,21,0.89,3.21,4,0.19,0.186,2,5,0,35.5,2.04,31.9,0.522
zoo,2397,VanillaNonSignalizedTurn,Failed - Agent got blocked,51.21,26.690524,65.644,88.0,7.0,36.5,24.1,0.4,vehicle.mercedes.coupe_2020,14.6,2.4,6.9,0.1,64.0,0.0,2.43,1,0.75,0.0,10,7.85,2.0,1,0.8,0.4,0,0.0,0.0,32.5,32,0.013,0.007,0.525,31,0.773,3.03,11,0.355,0.0,8,8,2,36.1,1.51,43.7,0.077
zoo,2403,VanillaNonSignalizedTurn,Completed,100,37.326811,67.04,49.2,6.7,74.5,45.8,5.2,vehicle.mini.cooper_s_2021,25.1,10.4,12.0,0.1,1.6,1.8,2.92,1,1.5,0.55,13,14.35,6.2,6,6.65,3.6,0,0.0,0.0,1.0,1,0.415,0.528,0.714,56,0.807,3.09,15,0.268,0.0,10,20,8,69.0,1.51,44.5,0.337
zoo,2416,VanillaNonSignalizedTurnEncounterStopsign,Completed,100,46.574625,57.279,19.6,10.75,61.7,,,,12.6,3.5,3.4,0.1,0.0,0.0,4.89,1,1.55,0.5,4,5.45,3.0,0,0.0,0.0,0,0.0,0.0,0.0,0,,,,26,0.87,3.64,6,0.231,0.368,3,14,2,61.7,3.15,,
zoo,2509,ConstructionObstacle,Failed - TickRuntime,35.4,23.01,134.084,200.0,20.2,48.7,11.0,7.1,static.prop.trafficwarning,8.2,1.5,1.8,0.1,188.5,0.6,5.81,1,2.55,1.5,1,0.8,0.0,0,0.0,0.0,0,0.0,0.0,78.8,90,0.024,0.008,0.424,16,0.836,6.44,4,0.25,0.511,2,2,0,46.7,4.26,31.6,0.045
zoo,2513,ConstructionObstacle,Failed - TickRuntime,36.39,23.6535,132.066,200.0,18.65,51.2,14.6,4.2,static.prop.trafficwarning,12.3,0.5,2.3,0.1,184.8,0.6,4.05,1,0.75,0.0,4,2.15,0.5,0,0.0,0.0,0,0.0,0.0,105.9,89,0.028,0.008,0.578,23,0.852,6.0,5,0.217,0.16,2,8,4,48.6,3.34,39.6,0.041
zoo,2534,Accident,Failed - TickRuntime,34.94,20.964,132.297,200.0,14.65,48.1,16.8,2.1,vehicle.dodge.charger_police_2020,11.2,2.0,3.4,0.1,183.2,0.0,4.05,1,2.55,1.5,5,3.0,0.5,0,0.0,0.0,0,0.0,0.0,82.4,95,0.021,0.016,0.454,23,0.81,5.13,7,0.304,0.0,5,3,1,45.4,2.72,48.8,0.074
zoo,2539,Accident,Failed - TickRuntime,40.04,24.024,133.434,200.0,21.85,56.0,22.3,6.3,vehicle.dodge.charger_police_2020,15.8,2.4,3.8,0.1,177.8,0.0,3.31,1,1.3,0.45,7,5.1,2.0,0,0.0,0.0,0,0.0,0.0,85.3,91,0.022,0.022,0.486,32,0.794,5.3,10,0.312,0.31,4,14,2,52.5,2.36,56.6,0.126
zoo,2554,ParkedObstacle,Failed - TickRuntime,36.39,21.834,132.07,200.0,22.85,51.2,22.0,1.5,vehicle.mercedes.coupe_2020,12.6,5.4,4.0,0.0,178.0,0.0,3.9,1,1.65,1.0,4,6.0,3.5,2,1.75,0.85,0,0.0,0.0,90.1,90,0.025,0.013,0.511,27,0.848,5.23,7,0.259,0.132,4,7,6,49.2,2.24,59.0,0.091
zoo,2606,ConstructionObstacleTwoWays,Failed - TickRuntime,37.91,24.6415,132.061,200.0,31.5,51.2,16.6,5.2,static.prop.trafficwarning,11.7,2.5,2.7,0.0,183.2,0.3,4.24,1,1.95,1.0,3,3.2,1.5,0,0.0,0.0,0,0.0,0.0,89.8,89,0.029,0.01,0.493,24,0.834,5.13,5,0.208,0.0,4,3,1,48.9,2.96,44.8,0.019
zoo,2643,AccidentTwoWays,Failed - TickRuntime,71.88,28.0332,103.128,200.0,49.7,81.0,22.8,1.4,vehicle.dodge.charger_police_2020,19.8,3.0,5.8,0.0,171.4,5.9,3.74,1,1.95,1.0,8,6.85,2.0,0,0.0,0.0,0,0.0,0.0,84.3,84,0.024,0.025,0.485,30,0.801,4.9,10,0.333,0.0,7,4,3,49.3,2.17,47.7,0.103
zoo,2664,ParkedObstacleTwoWays,Failed - TickRuntime,40.63,24.378,133.067,200.0,30.8,56.5,22.2,5.2,vehicle.mercedes.coupe_2020,15.6,1.5,5.0,0.1,177.8,0.0,3.2,1,0.75,0.0,8,5.8,1.5,0,0.0,0.0,0,0.0,0.0,97.8,89,0.044,0.042,0.556,32,0.787,3.96,10,0.312,0.0,9,2,2,50.1,2.26,58.9,0.187
zoo,2668,ParkedObstacleTwoWays,Failed - TickRuntime,44.27,5.737392,112.631,200.0,31.05,84.5,16.4,0.0,vehicle.lincoln.mkz_2020,27.0,1.0,3.3,0.0,168.6,15.1,2.72,1,1.3,0.55,5,3.1,0.5,0,0.0,0.0,0,0.0,0.0,94.4,86,0.055,0.026,0.54,24,0.818,5.38,7,0.292,0.0,5,0,0,51.9,3.17,35.6,0.586
zoo,2709,StaticCutIn,Failed - Agent got blocked,43.97,15.8292,132.642,83.2,13.05,61.2,10.4,5.2,vehicle.ford.mustang,15.1,0.5,1.4,0.0,66.2,6.6,4.0,1,1.15,0.5,2,0.7,0.0,0,0.0,0.0,0,0.0,0.0,30.2,37,0.021,0.007,0.471,16,0.88,6.8,3,0.188,0.137,1,0,0,38.6,3.73,35.7,0.138
zoo,2715,StaticCutIn,Completed,100,100.0,133.117,20.6,17.5,133.0,,,,18.0,1.0,1.6,0.0,0.0,0.0,7.4,1,1.15,0.5,2,1.4,0.5,0,0.0,0.0,0,0.0,0.0,0.0,0,,,,35,0.884,7.68,7,0.2,0.946,2,1,0,133.0,6.47,,
zoo,2790,InvadingTurn,Completed,100,100.0,99.392,10.0,8.95,100.9,,,,8.8,0.5,0.6,0.0,0.0,0.0,11.44,1,1.15,0.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,,,,17,0.923,13.9,0,0.0,,0,0,0,100.9,10.09,,
zoo,2802,InvadingTurn,Completed,100,100.0,112.123,23.9,29.85,112.7,,,,19.6,0.5,3.8,0.0,0.0,0.0,5.76,1,1.2,0.5,5,3.15,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,,,,40,0.835,6.49,12,0.3,0.789,5,2,0,112.7,4.72,,
zoo,2844,OppositeVehicleRunningRedLight,Completed,100,60.0,76.798,17.7,10.9,78.2,6.5,-0.0,vehicle.carlamotors.firetruck,13.8,0.5,0.8,0.0,2.6,8.6,5.63,1,1.15,0.5,1,0.2,0.0,0,0.0,0.0,0,0.0,0.0,6.8,2,0.581,0.802,0.946,10,0.844,8.22,3,0.3,0.754,1,0,0,37.7,5.85,13.2,0.01
zoo,2847,OppositeVehicleRunningRedLight,Failed - Agent got blocked,80.64,31.4496,82.653,144.4,11.4,72.3,7.7,-0.0,vehicle.carlamotors.firetruck,14.6,0.0,1.6,0.1,128.2,8.6,4.58,1,0.8,0.0,2,0.85,0.0,0,0.0,0.0,0,0.0,0.0,70.4,69,0.023,0.018,0.538,12,0.872,5.55,4,0.333,0.409,2,0,0,33.2,4.36,19.1,0.13
zoo,2881,NonSignalizedJunctionLeftTurn,Completed,100,35.285517,78.855,38.2,17.3,79.8,19.5,6.6,vehicle.lincoln.mkz_2020,20.6,2.4,5.1,0.0,10.2,8.6,3.75,1,1.95,1.0,5,3.65,0.5,2,1.85,0.9,0,0.0,0.0,11.8,5,0.572,0.809,0.851,27,0.792,3.1,8,0.296,0.141,4,0,0,33.1,1.7,46.4,0.044
zoo,2903,NonSignalizedJunctionRightTurn,Failed - TickRuntime,58.54,34.491879,82.723,200.0,7.7,53.1,28.0,0.4,traffic.stop,17.0,5.3,5.6,0.1,172.0,0.0,3.03,1,1.8,1.0,7,5.45,1.5,2,3.7,2.8,0,0.0,0.0,80.3,94,0.018,0.007,0.473,36,0.802,3.95,12,0.333,0.265,5,8,1,52.2,1.87,44.4,0.286
zoo,2913,OppositeVehicleTakingPriority,Failed - Agent got blocked,64.32,34.61003,78.478,131.6,14.85,56.1,39.8,2.1,traffic.speed_limit.30,20.2,8.3,11.2,0.0,91.8,0.0,2.63,1,1.15,0.45,13,14.1,5.0,3,4.25,2.85,0,0.0,0.0,44.9,41,0.028,0.033,0.499,48,0.763,2.63,18,0.375,0.0,14,10,3,54.1,1.36,57.6,0.063
zoo,2943,VehicleTurningRoute,Completed,100,57.781771,74.491,33.3,24.0,81.4,,,,20.8,6.0,6.5,0.0,0.0,0.0,3.91,1,1.15,0.5,8,8.9,3.5,1,2.45,2.0,0,0.0,0.0,0.0,0,,,,44,0.86,4.09,12,0.273,0.0,7,15,4,81.4,2.45,,
zoo,2989,BlockedIntersection,Completed,100,38.965564,74.077,37.5,20.3,89.5,8.9,11.2,traffic.traffic_light,23.8,0.0,1.6,0.1,12.0,16.7,3.69,1,0.8,0.0,1,0.9,0.0,0,0.0,0.0,0,0.0,0.0,15.4,8,0.534,0.739,0.815,15,0.832,6.35,3,0.2,0.0,2,3,2,42.2,4.79,15.5,0.208
zoo,3072,HighwayCutIn,Completed,100,100.0,137.052,26.5,12.85,136.1,,,,21.6,1.0,3.8,0.1,0.0,0.0,6.31,1,1.75,1.0,5,3.2,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,,,,44,0.862,7.39,11,0.25,0.377,5,2,2,136.1,5.14,,
zoo,3074,HighwayCutIn,Completed,100,100.0,106.633,12.9,15.3,106.0,,,,11.0,0.5,1.4,0.1,0.0,0.0,9.69,1,0.75,0.0,1,1.2,0.5,0,0.0,0.0,0,0.0,0.0,0.0,0,,,,22,0.901,9.63,4,0.182,0.921,1,4,0,106.0,8.22,,
zoo,3080,HighwayCutIn,Completed,100,100.0,136.052,17.2,12.8,136.7,,,,12.2,3.6,1.4,0.0,0.0,0.0,11.23,1,2.2,1.5,1,2.75,2.1,0,0.0,0.0,0,0.0,0.0,0.0,0,,,,24,0.912,12.8,1,0.042,0.0,1,5,1,136.7,7.97,,
zoo,3086,CrossingBicycleFlow,Failed - Agent got blocked,73.59,47.8335,83.304,135.0,13.85,65.7,25.2,2.4,static.static,18.2,3.0,5.6,0.1,108.0,1.9,3.54,1,1.3,0.5,8,7.45,2.5,0,0.0,0.0,0,0.0,0.0,46.6,59,0.021,0.005,0.433,34,0.81,4.88,11,0.324,0.0,7,6,1,61.8,2.46,33.9,0.049
zoo,3090,CrossingBicycleFlow,Failed - TickRuntime,57.49,37.3685,83.119,200.0,14.25,51.4,18.7,9.2,traffic.traffic_light,12.8,2.4,3.6,0.0,181.2,0.2,3.87,1,1.2,0.45,5,4.85,2.0,0,0.0,0.0,0,0.0,0.0,82.9,95,0.021,0.008,0.462,26,0.818,4.7,7,0.269,0.0,6,5,3,49.0,2.63,31.7,0.942
zoo,3093,CrossingBicycleFlow,Completed,100,28.053122,86.075,37.0,14.7,98.6,17.3,7.4,vehicle.bh.crossbike,26.9,1.0,2.3,0.1,6.7,13.1,3.64,1,1.3,0.5,3,1.15,0.0,1,0.95,0.5,0,0.0,0.0,11.0,5,0.521,0.765,0.857,27,0.862,5.3,6,0.222,0.505,1,10,4,53.5,3.11,27.7,0.285
zoo,3099,CrossingBicycleFlow,Failed - Agent got blocked,61.47,36.616981,85.71,85.4,33.25,54.7,25.3,2.3,static.static,15.8,3.5,6.0,0.0,60.1,0.0,3.41,1,1.2,0.5,9,8.25,3.0,0,0.0,0.0,0,0.0,0.0,24.5,25,0.034,0.006,0.418,32,0.804,4.43,9,0.281,0.0,8,7,4,54.3,2.15,39.9,0.077
zoo,3100,CrossingBicycleFlow,Failed - TickRuntime,62.21,25.173733,80.188,200.0,13.95,57.6,18.1,0.7,traffic.traffic_light,14.2,1.0,4.6,0.0,180.2,1.8,3.79,1,0.7,0.0,6,4.95,1.0,0,0.0,0.0,0,0.0,0.0,83.5,95,0.023,0.018,0.464,26,0.846,4.5,9,0.346,0.0,6,3,2,50.3,2.79,28.8,0.602
zoo,3144,VanillaSignalizedTurnEncounterRedLight,Failed - Agent got blocked,98.17,9.026151,54.586,191.3,51.55,77.3,5.8,12.1,vehicle.mini.cooper_s_2021,15.4,0.5,0.6,0.0,174.6,10.9,4.39,1,1.15,0.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,92.1,82,0.028,0.021,0.518,9,0.881,7.26,0,0.0,,0,7,5,28.4,4.94,11.2,0.572
zoo,3178,VanillaNonSignalizedTurn,Completed,100,19.909598,63.243,102.6,6.8,67.7,13.7,5.2,traffic.stop,19.5,0.5,2.8,0.1,79.7,9.3,3.27,1,0.8,0.0,4,2.65,0.5,0,0.0,0.0,0,0.0,0.0,57.6,35,0.053,0.041,0.691,20,0.808,4.4,4,0.2,0.0,4,10,1,33.5,2.46,25.8,0.201
zoo,3184,VanillaNonSignalizedTurnEncounterStopsign,Failed - Agent got blocked,53.29,27.863569,62.1,85.7,10.7,35.9,25.6,2.0,traffic.speed_limit.30,14.2,5.3,6.0,0.1,60.1,0.0,2.44,1,1.8,1.0,8,5.35,1.0,2,4.2,3.3,0,0.0,0.0,25.4,27,0.014,0.014,0.439,30,0.804,2.43,11,0.367,0.0,7,14,4,35.3,1.38,45.1,0.029
zoo,3189,VanillaNonSignalizedTurnEncounterStopsign,Failed - Agent got blocked,58.8,29.178909,60.73,78.8,10.4,40.0,12.3,12.7,traffic.speed_limit.30,9.5,1.0,2.4,0.1,65.8,0.7,4.07,1,0.8,0.0,3,2.7,1.0,0,0.0,0.0,0,0.0,0.0,30.6,35,0.017,0.006,0.476,18,0.788,5.01,3,0.167,0.0,3,9,2,37.0,3.02,20.2,0.04
zoo,3248,ParkingCrossingPedestrian,Completed,100,50.0,133.137,31.6,17.65,132.2,14.4,6.6,walker.pedestrian.0013,25.9,1.5,1.8,0.1,2.2,15.0,5.09,1,2.5,1.5,3,0.9,0.0,0,0.0,0.0,0,0.0,0.0,10.2,2,0.869,1.079,0.967,22,0.847,5.87,6,0.273,0.223,3,0,0,50.9,3.56,37.5,0.007
zoo,3255,ParkingCrossingPedestrian,Completed,100,60.0,117.121,36.2,35.85,116.5,30.5,7.9,vehicle.dodge.charger_2020,27.4,2.9,5.1,0.1,0.6,5.2,4.23,1,1.3,0.5,7,5.45,1.5,1,1.35,0.9,0,0.0,0.0,3.2,2,1.035,1.202,1.0,45,0.792,5.29,11,0.244,0.0,7,1,1,98.2,3.23,36.3,0.099
zoo,3307,Accident,Completed,100,100.0,133.065,24.6,19.9,132.5,,,,21.5,1.5,1.6,0.1,0.0,0.0,6.18,1,2.55,1.45,3,0.6,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,,,,43,0.889,7.31,8,0.186,0.782,1,3,0,132.5,5.39,,
zoo,3364,YieldToEmergencyVehicle,Completed,100,70.0,103.061,14.9,10.45,102.6,,,,12.1,1.5,1.2,0.1,0.0,0.0,8.49,1,2.55,1.5,1,0.25,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,,,,24,0.894,9.64,3,0.125,1.007,1,0,0,102.6,6.88,,
zoo,3373,YieldToEmergencyVehicle,Completed,100,70.0,103.124,13.4,14.95,103.9,,,,10.2,1.5,1.6,0.1,0.0,0.0,10.22,1,2.55,1.5,1,0.6,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,,,,21,0.909,12.15,1,0.048,0.0,1,2,1,103.9,7.78,,
zoo,3378,YieldToEmergencyVehicle,Completed,100,70.0,102.061,24.4,11.1,102.5,,,,19.7,0.4,4.2,0.1,0.0,0.0,5.21,1,0.75,0.0,5,3.95,0.45,0,0.0,0.0,0,0.0,0.0,0.0,0,,,,41,0.876,6.89,10,0.244,0.17,5,1,1,102.5,4.21,,
zoo,3380,YieldToEmergencyVehicle,Completed,100,70.0,102.566,20.5,14.8,102.1,,,,17.8,0.0,2.6,0.1,0.0,0.0,5.75,1,0.8,0.0,4,1.9,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,,,,36,0.882,7.14,10,0.278,0.895,3,2,0,102.1,4.99,,
zoo,3410,AccidentTwoWays,Failed - TickRuntime,39.9,14.364,132.541,200.0,25.65,55.6,10.6,6.8,vehicle.mini.cooper_s_2021,16.3,0.5,1.9,0.1,181.2,8.2,3.25,1,1.3,0.5,2,1.2,0.0,0,0.0,0.0,0,0.0,0.0,66.6,82,0.024,0.015,0.366,16,0.859,6.03,4,0.25,0.257,1,0,0,35.8,3.4,39.2,0.021
zoo,3436,HazardAtSideLaneTwoWays,Completed,100,100.0,132.071,32.9,18.8,133.4,,,,24.2,4.5,4.0,0.1,0.0,0.0,5.5,1,2.55,1.5,7,6.05,3.0,0,0.0,0.0,0,0.0,0.0,0.0,0,,,,48,0.866,5.4,11,0.229,0.179,5,7,2,133.4,4.06,,
zoo,3457,ParkedObstacleTwoWays,Completed,100,100.0,132.061,36.3,35.35,133.3,,,,28.1,3.5,4.7,0.0,0.0,0.0,4.73,1,2.45,1.5,8,5.75,2.0,0,0.0,0.0,0,0.0,0.0,0.0,0,,,,57,0.834,5.37,13,0.228,0.328,6,1,1,133.3,3.67,,
zoo,3464,VehicleOpensDoorTwoWays,Completed,100,60.0,133.117,35.5,15.95,132.6,9.9,5.3,vehicle.nissan.patrol_2021,29.6,0.0,1.0,0.0,4.7,20.9,4.46,1,0.7,0.0,1,0.4,0.0,0,0.0,0.0,0,0.0,0.0,16.6,7,0.745,0.877,0.979,17,0.886,6.39,3,0.176,1.135,1,0,0,46.9,4.76,28.1,0.012
zoo,3472,VehicleOpensDoorTwoWays,Completed,100,60.0,132.961,37.2,15.5,132.7,22.9,7.8,vehicle.nissan.patrol_2021,27.4,3.8,3.8,0.1,2.1,12.4,4.82,1,3.55,2.5,3,1.9,0.0,2,2.25,1.35,0,0.0,0.0,9.9,3,1.031,1.151,0.96,33,0.894,5.79,7,0.212,0.709,3,1,0,70.6,3.1,43.0,0.012
zoo,3476,VehicleOpensDoorTwoWays,Completed,100,100.0,133.062,40.2,,133.1,,,,30.7,3.0,6.4,0.1,0.0,0.0,4.33,1,0.75,0.0,9,7.75,2.45,1,0.95,0.5,0,0.0,0.0,0.0,0,,,,62,0.836,6.0,14,0.226,0.003,9,2,1,133.1,3.31,,
zoo,3482,VehicleOpensDoorTwoWays,Completed,100,100.0,129.638,25.6,,131.1,,,,22.4,0.6,2.6,0.0,0.0,0.0,5.85,1,1.3,0.55,5,1.85,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,,,,43,0.876,7.04,8,0.186,0.24,3,9,1,131.1,5.13,,
zoo,3514,ParkingExit,Failed - TickRuntime,3.1,1.86,133.154,200.0,21.95,5.1,4.0,5.3,vehicle.nissan.patrol_2021,1.5,1.5,0.9,0.1,196.0,0.1,2.65,1,2.5,1.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,73.4,93,0.033,0.009,0.379,3,1.23,2.97,0,0.0,,0,2,2,3.6,0.93,145.1,0.014
zoo,3520,ParkingExit,Failed - TickRuntime,1.55,0.93,133.063,200.0,24.5,5.0,6.6,1.8,vehicle.nissan.patrol_2021,1.9,3.5,1.2,0.0,193.5,0.0,1.99,1,2.2,1.5,0,0.0,0.0,1,2.45,2.0,0,0.0,0.0,67.2,90,0.026,0.009,0.351,3,0.751,3.18,1,0.333,1.166,0,2,2,3.8,0.58,231.7,0.013
zoo,3540,HardBreakRoute,Completed,100,17.313002,135.327,42.8,28.8,143.1,24.6,10.7,vehicle.dodge.charger_2020,26.1,4.6,3.2,0.1,8.8,9.4,5.45,1,2.5,1.5,5,5.3,3.05,0,0.0,0.0,0,0.0,0.0,8.6,8,0.593,0.699,0.719,33,0.913,7.7,8,0.242,0.128,4,16,1,108.2,4.41,30.8,0.291
zoo,3561,ControlLoss,Failed - Agent got blocked,64.7,35.214211,132.288,87.9,17.7,88.4,20.3,4.2,vehicle.ford.mustang,13.0,4.4,2.8,0.0,67.6,0.0,6.72,1,2.55,1.45,2,2.25,0.95,1,2.4,1.95,0,0.0,0.0,29.8,32,0.018,0.013,0.455,28,0.893,6.94,5,0.179,0.994,2,8,0,87.6,4.34,30.6,0.138
zoo,3564,InvadingTurn,Failed - TickRuntime,64.73,38.838,102.063,200.0,45.6,68.2,14.4,5.8,vehicle.chevrolet.impala,11.7,0.5,2.2,0.0,185.6,0.0,5.66,1,1.15,0.5,3,1.5,0.0,0,0.0,0.0,0,0.0,0.0,95.6,82,0.018,0.006,0.518,23,0.839,6.38,5,0.217,0.152,2,3,2,65.9,4.61,22.2,0.12
zoo,3572,InvadingTurn,Completed,100,100.0,101.164,31.8,45.75,100.4,,,,22.8,4.2,4.9,0.0,0.0,0.0,4.4,1,2.4,1.5,8,6.15,2.5,1,0.5,0.15,0,0.0,0.0,0.0,0,,,,45,0.844,4.93,12,0.267,0.285,7,1,1,100.4,3.16,,
zoo,3575,InvadingTurn,Completed,100,100.0,103.118,20.3,8.1,102.3,,,,15.4,2.0,3.0,0.0,0.0,0.0,6.65,1,2.45,1.5,3,2.5,0.5,0,0.0,0.0,0,0.0,0.0,0.0,0,,,,32,0.848,7.0,9,0.281,1.22,3,0,0,102.3,5.04,,
zoo,3666,NonSignalizedJunctionRightTurn,Failed - TickRuntime,57.41,34.446,74.418,200.0,13.0,46.2,19.2,9.1,vehicle.lincoln.mkz_2017,13.1,2.4,3.8,0.0,180.8,0.1,3.37,1,1.15,0.5,5,4.15,1.5,1,0.85,0.4,0,0.0,0.0,87.8,86,0.018,0.009,0.491,27,0.838,3.38,7,0.259,0.0,6,3,2,43.8,2.29,32.6,0.416
zoo,3670,NonSignalizedJunctionRightTurn,Failed - TickRuntime,54.67,32.802,72.521,200.0,12.2,42.1,24.6,10.4,vehicle.dodge.charger_2020,12.1,8.8,3.7,0.1,175.2,0.2,3.23,1,7.05,6.0,3,2.35,0.5,2,3.25,2.35,0,0.0,0.0,75.4,87,0.014,0.01,0.434,26,0.81,3.55,6,0.231,0.761,1,4,3,38.6,1.57,46.1,0.906
zoo,3676,NonSignalizedJunctionRightTurn,Failed - TickRuntime,63.86,35.093859,71.938,200.0,13.7,50.8,28.6,1.1,static.dynamic,14.4,8.0,6.1,0.1,171.4,0.0,3.34,1,2.55,1.5,4,5.8,3.0,5,5.8,3.5,0,0.0,0.0,83.1,83,0.022,0.01,0.491,34,0.822,2.97,9,0.265,0.832,4,6,3,48.7,1.71,42.3,0.565
zoo,3697,OppositeVehicleTakingPriority,Failed - Agent got blocked,56.75,34.05,76.297,141.0,13.35,48.1,18.6,5.6,vehicle.ford.ambulance,14.4,1.0,4.6,0.1,121.0,1.5,3.02,1,0.75,0.0,5,3.95,0.5,1,0.9,0.45,0,0.0,0.0,58.2,55,0.018,0.008,0.481,28,0.861,3.26,9,0.321,0.0,5,3,2,40.7,2.2,34.8,1.0
zoo,3708,VehicleTurningRoute,Failed - Agent got blocked,60.86,23.169425,66.439,97.5,18.0,44.2,15.5,10.2,traffic.stop,16.0,0.4,3.7,0.1,77.3,4.8,2.58,1,0.8,0.0,5,2.55,0.0,1,0.8,0.35,0,0.0,0.0,31.1,43,0.035,0.011,0.446,23,0.822,3.81,7,0.304,0.007,4,4,2,36.2,2.35,28.4,0.339
