seed,cls,kind,h,src,probe,n_pairs,n_routes,auc,auc_sym,paired_win
1,obstacle,null,5,persist,b,1217,40,0.5302,0.5302,0.5850
1,obstacle,null,5,persist,c,1217,40,0.5446,0.5446,0.5727
1,obstacle,null,5,persist,d_front,1217,40,0.4863,0.5137,0.4626
1,obstacle,null,5,persist,occ,1217,40,0.4704,0.5296,0.4330
1,obstacle,null,5,persist,ped,1217,40,0.4320,0.5680,0.4010
1,obstacle,null,5,pred,a,1217,40,0.4527,0.5473,0.4191
1,obstacle,null,5,pred,b,1217,40,0.5287,0.5287,0.6023
1,obstacle,null,5,pred,c,1217,40,0.5453,0.5453,0.5744
1,obstacle,null,5,pred,d_front,1217,40,0.4766,0.5234,0.4388
1,obstacle,null,5,pred,occ,1217,40,0.4767,0.5233,0.4519
1,obstacle,null,5,pred,ped,1217,40,0.4302,0.5698,0.4059
1,obstacle,null,10,oracle,a,1217,40,0.4552,0.5448,0.4519
1,obstacle,null,10,oracle,b,1217,40,0.5236,0.5236,0.5694
1,obstacle,null,10,oracle,c,1217,40,0.5419,0.5419,0.5735
1,obstacle,null,10,oracle,d_front,1217,40,0.4797,0.5203,0.4470
1,obstacle,null,10,oracle,occ,1217,40,0.4845,0.5155,0.4708
1,obstacle,null,10,oracle,ped,1217,40,0.4272,0.5728,0.3862
1,obstacle,null,10,persist,a,1217,40,0.4497,0.5503,0.4035
1,obstacle,null,10,persist,b,1217,40,0.5302,0.5302,0.5850
