cls,kind,h,src,probe,auc,auc_sym,auc_min,auc_max,paired_win,n_pairs,n_routes,seeds
other,pair,5,pred,c,0.5034,0.5034,0.5014,0.5067,0.5343,277,2,3
other,pair,5,pred,d_front,0.4892,0.5108,0.4847,0.4916,0.4152,277,2,3
other,pair,5,pred,occ,0.5124,0.5124,0.5107,0.5151,0.5860,277,2,3
other,pair,5,pred,ped,0.4971,0.5082,0.4902,0.5079,0.4729,277,2,3
other,pair,10,oracle,a,0.4981,0.5024,0.4956,0.5007,0.4922,277,2,3
other,pair,10,oracle,b,0.4860,0.5140,0.4795,0.4896,0.4428,277,2,3
other,pair,10,oracle,c,0.5010,0.5018,0.4988,0.5036,0.5439,277,2,3
other,pair,10,oracle,d_front,0.4909,0.5091,0.4884,0.4945,0.4452,277,2,3
other,pair,10,oracle,occ,0.5112,0.5112,0.5068,0.5148,0.5523,277,2,3
other,pair,10,oracle,ped,0.5072,0.5083,0.4983,0.5215,0.5030,277,2,3
other,pair,10,persist,a,0.4990,0.5013,0.4976,0.5004,0.5018,277,2,3
other,pair,10,persist,b,0.4901,0.5099,0.4878,0.4933,0.4561,277,2,3
other,pair,10,persist,c,0.4995,0.5018,0.4978,0.5019,0.5211,277,2,3
other,pair,10,persist,d_front,0.4932,0.5068,0.4918,0.4958,0.4452,277,2,3
other,pair,10,persist,occ,0.5112,0.5112,0.5095,0.5138,0.5728,277,2,3
other,pair,10,persist,ped,0.4966,0.5096,0.4870,0.5093,0.4609,277,2,3
other,pair,10,pred,a,0.4994,0.5029,0.4948,0.5034,0.4958,277,2,3
other,pair,10,pred,b,0.4920,0.5080,0.4886,0.4963,0.4850,277,2,3
other,pair,10,pred,c,0.5031,0.5031,0.5010,0.5067,0.5307,277,2,3
other,pair,10,pred,d_front,0.4861,0.5139,0.4799,0.4919,0.4248,277,2,3
other,pair,10,pred,occ,0.5140,0.5140,0.5100,0.5186,0.5848,277,2,3
other,pair,10,pred,ped,0.4993,0.5064,0.4935,0.5085,0.4753,277,2,3
ped,null,5,oracle,a,0.5400,0.5400,0.5017,0.5658,0.5779,2489,33,3
ped,null,5,oracle,b,0.4929,0.5398,0.4405,0.5491,0.5360,2489,33,3
ped,null,5,oracle,c,0.4476,0.5524,0.4312,0.4657,0.4057,2489,33,3
ped,null,5,oracle,d_front,0.4364,0.5636,0.4253,0.4430,0.4039,2489,33,3
ped,null,5,oracle,occ,0.5500,0.5500,0.5371,0.5691,0.5618,2489,33,3
ped,null,5,oracle,ped,0.4204,0.5796,0.4149,0.4258,0.3205,2489,33,3
ped,null,5,persist,a,0.5416,0.5416,0.5036,0.5646,0.5791,2489,33,3
ped,null,5,persist,b,0.4921,0.5404,0.4384,0.5487,0.5370,2489,33,3
ped,null,5,persist,c,0.4454,0.5546,0.4293,0.4628,0.4067,2489,33,3
ped,null,5,persist,d_front,0.4361,0.5639,0.4249,0.4426,0.4046,2489,33,3
ped,null,5,persist,occ,0.5497,0.5497,0.5360,0.5698,0.5614,2489,33,3
ped,null,5,persist,ped,0.4266,0.5734,0.4210,0.4332,0.3248,2489,33,3
ped,null,5,pred,a,0.5387,0.5448,0.4908,0.5632,0.5661,2489,33,3
ped,null,5,pred,b,0.4866,0.5282,0.4416,0.5222,0.5220,2489,33,3
ped,null,5,pred,c,0.4476,0.5524,0.4231,0.4636,0.4330,2489,33,3
ped,null,5,pred,d_front,0.4464,0.5536,0.4419,0.4528,0.4149,2489,33,3
ped,null,5,pred,occ,0.5457,0.5457,0.5337,0.5663,0.5585,2489,33,3
ped,null,5,pred,ped,0.4279,0.5721,0.4109,0.4453,0.3412,2489,33,3
ped,null,10,oracle,a,0.5394,0.5394,0.5018,0.5665,0.5795,2489,33,3
ped,null,10,oracle,b,0.4875,0.5412,0.4341,0.5430,0.5311,2489,33,3
ped,null,10,oracle,c,0.4505,0.5495,0.4336,0.4709,0.4105,2489,33,3
ped,null,10,oracle,d_front,0.4352,0.5648,0.4242,0.4412,0.4000,2489,33,3
ped,null,10,oracle,occ,0.5527,0.5527,0.5402,0.5713,0.5633,2489,33,3
ped,null,10,oracle,ped,0.4159,0.5841,0.4108,0.4198,0.3165,2489,33,3
ped,null,10,persist,a,0.5416,0.5416,0.5036,0.5646,0.5791,2489,33,3
ped,null,10,persist,b,0.4921,0.5404,0.4384,0.5487,0.5370,2489,33,3
ped,null,10,persist,c,0.4454,0.5546,0.4293,0.4628,0.4067,2489,33,3
ped,null,10,persist,d_front,0.4361,0.5639,0.4249,0.4426,0.4046,2489,33,3
ped,null,10,persist,occ,0.5497,0.5497,0.5360,0.5698,0.5614,2489,33,3
ped,null,10,persist,ped,0.4266,0.5734,0.4210,0.4332,0.3248,2489,33,3
ped,null,10,pred,a,0.5406,0.5468,0.4907,0.5694,0.5696,2489,33,3
ped,null,10,pred,b,0.4925,0.5313,0.4417,0.5224,0.5227,2489,33,3
ped,null,10,pred,c,0.4430,0.5570,0.4212,0.4569,0.4265,2489,33,3
ped,null,10,pred,d_front,0.4524,0.5476,0.4492,0.4554,0.4303,2489,33,3
ped,null,10,pred,occ,0.5454,0.5454,0.5318,0.5619,0.5469,2489,33,3
ped,null,10,pred,ped,0.4287,0.5713,0.4144,0.4432,0.3450,2489,33,3
ped,pair,5,oracle,a,0.5022,0.5022,0.5014,0.5032,0.5000,7270,27,3
ped,pair,5,oracle,b,0.5084,0.5084,0.5063,0.5103,0.5129,7270,27,3
ped,pair,5,oracle,c,0.5046,0.5046,0.5036,0.5065,0.5060,7270,27,3
ped,pair,5,oracle,d_front,0.4634,0.5366,0.4611,0.4660,0.4319,7270,27,3
ped,pair,5,oracle,occ,0.5136,0.5136,0.5115,0.5158,0.5499,7270,27,3
ped,pair,5,oracle,ped,0.5405,0.5405,0.5362,0.5437,0.6650,7270,27,3
ped,pair,5,persist,a,0.5021,0.5021,0.5013,0.5032,0.5003,7270,27,3
ped,pair,5,persist,b,0.5082,0.5082,0.5058,0.5100,0.5123,7270,27,3
ped,pair,5,persist,c,0.5042,0.5042,0.5031,0.5062,0.5056,7270,27,3
ped,pair,5,persist,d_front,0.4612,0.5388,0.4592,0.4636,0.4308,7270,27,3
ped,pair,5,persist,occ,0.5147,0.5147,0.5123,0.5174,0.5522,7270,27,3
ped,pair,5,persist,ped,0.5425,0.5425,0.5378,0.5460,0.6659,7270,27,3
ped,pair,5,pred,a,0.5025,0.5025,0.5015,0.5033,0.5031,7270,27,3
ped,pair,5,pred,b,0.5080,0.5080,0.5076,0.5085,0.5149,7270,27,3
ped,pair,5,pred,c,0.5022,0.5022,0.5014,0.5029,0.5037,7270,27,3
ped,pair,5,pred,d_front,0.4615,0.5385,0.4590,0.4637,0.4348,7270,27,3
ped,pair,5,pred,occ,0.5141,0.5141,0.5116,0.5164,0.5540,7270,27,3
ped,pair,5,pred,ped,0.5418,0.5418,0.5362,0.5452,0.6565,7270,27,3
ped,pair,10,oracle,a,0.5022,0.5022,0.5012,0.5036,0.5000,7270,27,3
ped,pair,10,oracle,b,0.5074,0.5074,0.5057,0.5097,0.5089,7270,27,3
ped,pair,10,oracle,c,0.5055,0.5055,0.5045,0.5073,0.5089,7270,27,3
ped,pair,10,oracle,d_front,0.4644,0.5356,0.4621,0.4666,0.4339,7270,27,3
ped,pair,10,oracle,occ,0.5129,0.5129,0.5112,0.5142,0.5485,7270,27,3
ped,pair,10,oracle,ped,0.5402,0.5402,0.5361,0.5433,0.6652,7270,27,3
ped,pair,10,persist,a,0.5021,0.5021,0.5013,0.5032,0.5003,7270,27,3
ped,pair,10,persist,b,0.5082,0.5082,0.5058,0.5100,0.5123,7270,27,3
ped,pair,10,persist,c,0.5042,0.5042,0.5031,0.5062,0.5056,7270,27,3
ped,pair,10,persist,d_front,0.4612,0.5388,0.4592,0.4636,0.4308,7270,27,3
ped,pair,10,persist,occ,0.5147,0.5147,0.5123,0.5174,0.5522,7270,27,3
ped,pair,10,persist,ped,0.5425,0.5425,0.5378,0.5460,0.6659,7270,27,3
ped,pair,10,pred,a,0.5030,0.5030,0.5027,0.5032,0.5067,7270,27,3
ped,pair,10,pred,b,0.5074,0.5074,0.5049,0.5097,0.5138,7270,27,3
ped,pair,10,pred,c,0.5017,0.5017,0.5004,0.5035,0.5067,7270,27,3
ped,pair,10,pred,d_front,0.4617,0.5383,0.4581,0.4642,0.4345,7270,27,3
ped,pair,10,pred,occ,0.5145,0.5145,0.5121,0.5166,0.5523,7270,27,3
ped,pair,10,pred,ped,0.5410,0.5410,0.5342,0.5454,0.6544,7270,27,3
