scope,judge,n,delta,lo,hi,model,gate,source
FOD,ADE pre_onset dec1-9,252,1.1688990592956543,0.7848368167483304,1.5337049993029577,lebowski,g1,mc
Intersections,RFS (rater),116,-0.4556100345247441,-0.8037175633851341,-0.1077919796156902,lebowski,g1,mc
Intersections,ADE dec1-9,4299,0.9953285455703736,0.9030565840064072,1.0911035220344163,lebowski,g1,mc
Intersections,ADE pre_onset dec1-9,301,0.690326988697052,0.3171634621291131,1.1003421975519607,lebowski,g1,mc
all,RFS (rater),478,-0.0139453393664355,-0.0560706450684841,0.0226258460026925,lebowski,g3,mc
all,ADE dec1-9,17389,0.0128104239702224,0.007687146650153,0.0184371150468603,lebowski,g3,mc
all,ADE pre_onset dec1-9,1245,0.0250768922269344,-0.007441662976474,0.063844467385328,lebowski,g3,mc
Pedestrians,RFS (rater),52,0.0167295910023032,-0.0077130499894763,0.0582472621321551,lebowski,g3,mc
Pedestrians,ADE dec1-9,1637,0.0090296082198619,-0.0075557601600665,0.0274201159565294,lebowski,g3,mc
Pedestrians,ADE pre_onset dec1-9,83,-0.0139855174347758,-0.0660258691017487,0.0114360012506183,lebowski,g3,mc
Cyclists,RFS (rater),71,0.0213927027457049,-0.0036061461428077,0.0677842543799225,lebowski,g3,mc
Cyclists,ADE dec1-9,2326,0.0123288575559854,0.0008754710451368,0.0258155421215275,lebowski,g3,mc
Cyclists,ADE pre_onset dec1-9,206,0.0221675802022218,0.0012054276845976,0.0637870990542207,lebowski,g3,mc
Cut_ins,RFS (rater),20,0.0,0.0,0.0,lebowski,g3,mc
Cut_ins,ADE dec1-9,724,0.0161802601069211,0.0004125361212701,0.0443000273626172,lebowski,g3,mc
Cut_ins,ADE pre_onset dec1-9,16,0.1119357943534851,0.0,0.2827851740937483,lebowski,g3,mc
FOD,RFS (rater),78,0.0575154661638819,0.0,0.1655893542050854,lebowski,g3,mc
