examinee,vs,scope,n,delta,lo,hi
student B s2 [cinque] x c2,ridge_late op-cinque temporal,cutin,216,0.0092592592592592,-0.0087719298245614,0.0281756892063279
student B s2 [cinque] x c2,ridge_late op-cinque temporal,oncoming,657,0.0197869101978691,0.0090487546369899,0.0312012480499219
student B s2 [cinque] x c2,ridge_late op-cinque temporal,static,959,-0.0020855057351407,-0.0232349597756548,0.0169137666812085
M-C pair [lebowski],ridge_late op-lebowski temporal,pooled,1832,-0.0311135371179039,-0.0447684740861714,-0.0184517760356175
M-C pair [lebowski],ridge_late op-lebowski temporal,cutin,216,-0.0648148148148148,-0.1029427543549608,-0.0260791125056029
M-C pair [lebowski],ridge_late op-lebowski temporal,oncoming,657,-0.0273972602739726,-0.0507145556503718,-0.0060975609756097
M-C pair [lebowski],ridge_late op-lebowski temporal,static,959,-0.0260688216892596,-0.0441482487903147,-0.010405556841561
student A s0 [lebowski],ridge_late op-lebowski temporal,pooled,1832,-0.0349344978165938,-0.0497207475539368,-0.0206692388657411
student A s0 [lebowski],ridge_late op-lebowski temporal,cutin,216,-0.0231481481481481,-0.0519536984754376,0.004587684437492
student A s0 [lebowski],ridge_late op-lebowski temporal,oncoming,657,-0.0471841704718417,-0.0739037386443046,-0.0238726837095817
student A s0 [lebowski],ridge_late op-lebowski temporal,static,959,-0.0291970802919708,-0.0424446868337502,-0.0164435655934038
student A s1 [lebowski],ridge_late op-lebowski temporal,pooled,1832,-0.0343886462882096,-0.0499426577321952,-0.0185970324989344
student A s1 [lebowski],ridge_late op-lebowski temporal,cutin,216,-0.0185185185185185,-0.0467289719626168,0.0053989361702123
student A s1 [lebowski],ridge_late op-lebowski temporal,oncoming,657,-0.0471841704718417,-0.0758963621605667,-0.0211798454616684
student A s1 [lebowski],ridge_late op-lebowski temporal,static,959,-0.0291970802919708,-0.0431591942820012,-0.015607930472217
student A s2 [lebowski],ridge_late op-lebowski temporal,pooled,1832,-0.0311135371179039,-0.0456048205858116,-0.0172174908424908
student A s2 [lebowski],ridge_late op-lebowski temporal,cutin,216,0.0,-0.0287081339712918,0.0327141196086174
student A s2 [lebowski],ridge_late op-lebowski temporal,oncoming,657,-0.0410958904109589,-0.066360588757227,-0.0178830902703853
