scope,n,activation,lo,hi,delta_mag_median_m,model,gate,source,tau
Pedestrians,1831,0.0,0.0,0.0,0.5050960183143616,lebowski,c2,mc,1.6549868881702423
Cyclists,2830,0.0,0.0,0.0,0.471580445766449,lebowski,c2,mc,1.6549868881702423
Cut_ins,885,0.0,0.0,0.0,0.4182535111904144,lebowski,c2,mc,1.6549868881702423
FOD,3561,0.0,0.0,0.0,0.4930264353752136,lebowski,c2,mc,1.6549868881702423
Intersections,4772,0.0,0.0,0.0,0.4725677371025085,lebowski,c2,mc,1.6549868881702423
straight_yaw,11597,0.0418211606449943,0.0350303033451239,0.0493721905344998,0.2842257618904114,cinque,none,stAs0,1.5485117435455322
pre_onset,1458,0.032235939643347,0.0154295091978104,0.0516528925619834,0.2092014700174331,cinque,none,stAs0,1.5485117435455322
all,19663,0.0321924426588007,0.0272412613664302,0.0372892878571089,0.2067167460918426,cinque,none,stAs0,1.5485117435455322
Pedestrians,1831,0.0229382850901146,0.0121211386771251,0.0354894104178591,0.1747573316097259,cinque,none,stAs0,1.5485117435455322
Cyclists,2830,0.0293286219081272,0.0184658833766704,0.0422798815287482,0.1607829332351684,cinque,none,stAs0,1.5485117435455322
Cut_ins,885,0.0135593220338983,0.0062630480167014,0.0231145310324458,0.1748974323272705,cinque,none,stAs0,1.5485117435455322
FOD,3561,0.0275203594495928,0.0196389930125751,0.0364002533574583,0.2310031950473785,cinque,none,stAs0,1.5485117435455322
Intersections,4772,0.0452640402347024,0.0336365886147781,0.0577921471515471,0.2637393474578857,cinque,none,stAs0,1.5485117435455322
straight_yaw,11597,0.0233681124428731,0.0180586234620086,0.0294934407281427,0.1836512982845306,cinque,g1,stAs0,1.5485117435455322
pre_onset,1458,0.0288065843621399,0.013314413011175,0.0464088753601244,0.1810341477394104,cinque,g1,stAs0,1.5485117435455322
all,19663,0.0199359202563189,0.0159499159704574,0.0242458524630345,0.1549913734197616,cinque,g1,stAs0,1.5485117435455322
Pedestrians,1831,0.0163844893500819,0.0075376520282572,0.0272632022667516,0.1372060626745224,cinque,g1,stAs0,1.5485117435455322
Cyclists,2830,0.0176678445229682,0.0096807755526531,0.0271363367277597,0.1256636381149292,cinque,g1,stAs0,1.5485117435455322
Cut_ins,885,0.0056497175141242,0.0010752688172043,0.0119331742243436,0.1253196597099304,cinque,g1,stAs0,1.5485117435455322
FOD,3561,0.0151642796967144,0.0091564641046602,0.0218232877212245,0.1604503244161605,cinque,g1,stAs0,1.5485117435455322
Intersections,4772,0.0293378038558256,0.018899969845156,0.0414747949318126,0.1951681226491928,cinque,g1,stAs0,1.5485117435455322
straight_yaw,11597,0.0001724583944123,0.0,0.0005343831008975,0.0,cinque,g3,stAs0,1.5485117435455322
pre_onset,1458,0.0,0.0,0.0,0.0,cinque,g3,stAs0,1.5485117435455322
all,19663,0.0001017138788587,0.0,0.0003108333183047,0.0,cinque,g3,stAs0,1.5485117435455322
Pedestrians,1831,0.0,0.0,0.0,0.0,cinque,g3,stAs0,1.5485117435455322
Cyclists,2830,0.0,0.0,0.0,0.0,cinque,g3,stAs0,1.5485117435455322
Cut_ins,885,0.0,0.0,0.0,0.0,cinque,g3,stAs0,1.5485117435455322
FOD,3561,0.0,0.0,0.0,0.0,cinque,g3,stAs0,1.5485117435455322
Intersections,4772,0.0,0.0,0.0,0.0,cinque,g3,stAs0,1.5485117435455322
straight_yaw,11597,0.0004311459860308,8.339570638619392e-05,0.000936784235459,0.0347654595971107,cinque,g2,stAs0,1.5485117435455322
pre_onset,1458,0.0034293552812071,0.0,0.0089718595220937,0.0246716551482677,cinque,g2,stAs0,1.5485117435455322
all,19663,0.001067995728017,0.0003543218407398,0.0020294511197452,0.0272501856088638,cinque,g2,stAs0,1.5485117435455322
Pedestrians,1831,0.0032768978700163,0.0005200140438049,0.0070499074713683,0.0272053889930248,cinque,g2,stAs0,1.5485117435455322
Cyclists,2830,0.001060070671378,0.0,0.003362003765677,0.0282192397862672,cinque,g2,stAs0,1.5485117435455322
Cut_ins,885,0.0,0.0,0.0,0.030561625957489,cinque,g2,stAs0,1.5485117435455322
FOD,3561,0.001404099971918,0.0002759362868234,0.0029875270798369,0.0256311483681201,cinque,g2,stAs0,1.5485117435455322
Intersections,4772,0.0014668901927912,0.0,0.0046022353714661,0.0285587981343269,cinque,g2,stAs0,1.5485117435455322
straight_yaw,11597,0.0001724583944123,0.0,0.0005382686626621,0.0455873608589172,cinque,c2,stAs0,1.5485117435455322
pre_onset,1458,0.0,0.0,0.0,0.0335541069507598,cinque,c2,stAs0,1.5485117435455322
all,19663,0.0001017138788587,0.0,0.0003109944306895,0.033155582845211,cinque,c2,stAs0,1.5485117435455322
Pedestrians,1831,0.0,0.0,0.0,0.028029566630721,cinque,c2,stAs0,1.5485117435455322
Cyclists,2830,0.0,0.0,0.0,0.0257881935685873,cinque,c2,stAs0,1.5485117435455322
Cut_ins,885,0.0,0.0,0.0,0.0280520375818014,cinque,c2,stAs0,1.5485117435455322
