set,examinee,scope,L_s,pairs,null_cases,area_L_10,area_lo,area_hi,null_area_L_10,null_lo,null_hi,area_minus_null,diff_lo,diff_hi,area_L_3_descriptive,A3,A3_lo,A3_hi,A3_null,A3_null_lo,A3_null_hi,A3_minus_null,A3_diff_lo,A3_diff_hi,area_reactive_only_L_10,end_all,end_reactive_only,null_end
ba,ridge_late op-lebowski hidden,pooled,0.1,147,68,0.2942857142857143,0.22048697339246112,0.37478970959595964,0.27794117647058825,0.19205147058823524,0.37122058823529364,0.01634453781512607,-0.0856572440087145,0.12015131016042777,0.04761904761904761,0.04761904761904761,0.01678703703703704,0.08095699520118121,0.16666666666666669,0.09115196078431372,0.2500245098039215,-0.11904761904761907,-0.20647971309736013,-0.03858793691389603,0.2317006802721088,0.5850340136054422,0.5578231292517006,0.38235294117647056
ba,prior [cinque],pooled,0.1,147,68,0.2204081632653061,0.1628509316770186,0.2827282246231824,0.20735294117647057,0.1238088235294118,0.2935294117647057,0.013055222088835527,-0.08905212328833953,0.11371241496598641,0.006802721088435373,0.006802721088435373,0.0,0.02222222222222222,0.12647058823529414,0.06075980392156862,0.20588235294117643,-0.11966786714685877,-0.19707887700534762,-0.050773615001556326,0.18843537414965983,0.5170068027210885,0.5034013605442177,0.27941176470588236
ba,M-C pair [cinque],pooled,0.3,147,68,0.5258919894488407,0.44675801941329896,0.6025069987550127,0.3112244897959183,0.2184648859543817,0.405184573829532,0.21466749965292242,0.09885838950964991,0.32705165504356887,0.2001943634596696,0.2001943634596696,0.11175805487029977,0.2976253799392096,0.17331932773109243,0.1008403361344538,0.25317752100840324,0.026875035728577162,-0.08334208683473393,0.13765251812560356,0.4623073719283632,0.8571428571428571,0.8163265306122449,0.4117647058823529
ba,M-C pair (mu=0) [cinque],pooled,0.3,147,68,0.47938359017076215,0.3937965662455458,0.5665694849368317,0.22418967587034816,0.13174519807923177,0.3199354741896756,0.255193914300414,0.13344587835134056,0.38453473482416234,0.17346938775510204,0.17346938775510204,0.08765763222284961,0.2742894736842105,0.1722689075630252,0.09451155462184874,0.2605304621848737,0.0012004801920768304,-0.10410881744001951,0.11272052090066775,0.4178814382896016,0.8231292517006803,0.7687074829931972,0.2647058823529412
ba,M-C pair qwen [cinque],pooled,0.3,147,68,0.5197834235735111,0.4367316017316016,0.5994476658206258,0.28961584633853543,0.19627851140456185,0.3814675870348137,0.23016757723497572,0.10949129651860756,0.3522236330429608,0.20068027210884357,0.20068027210884357,0.11319426839058605,0.29939647232200417,0.16281512605042017,0.09558823529411764,0.24054621848739496,0.03786514605842339,-0.07530861181681973,0.15305826616360804,0.45342218520061084,0.8571428571428571,0.8095238095238095,0.36764705882352944
ba,M-C pair op [cinque],pooled,0.1,147,68,0.3424489795918367,0.26632773109243696,0.41886698808848555,0.2355882352941176,0.1505882352941177,0.3247058823529409,0.10686074429771908,0.0034867406962786947,0.2106644229573436,0.04716553287981859,0.04716553287981859,0.017388620504562538,0.08217977113325946,0.11372549019607843,0.05490196078431373,0.18431372549019606,-0.06655995731625984,-0.13694229382335155,-0.008063022567517732,0.30095238095238097,0.6598639455782312,0.6462585034013606,0.3382352941176471
ba,M-C hard [cinque],pooled,0.3,147,68,0.22379564070526167,0.1646536257209015,0.28959106369820653,0.1983793517406963,0.11343787515006004,0.28631452581032396,0.02541628896456538,-0.0781621616037721,0.13167545864499636,0.008260447035957238,0.008260447035957238,0.0,0.02698412698412698,0.14600840336134452,0.0703781512605042,0.2279674369747898,-0.13774795632538728,-0.22248569640622204,-0.05975723622782446,0.18992086630570598,0.5102040816326531,0.4965986394557823,0.25
ba,M-C uniform [cinque],pooled,0.3,147,68,0.22282382340691376,0.16405632020249958,0.28834284641500396,0.19147659063625452,0.10954381752701083,0.27701080432172853,0.031347232770659234,-0.07046247070256682,0.13260893745253183,0.007288629737609328,0.007288629737609328,0.0,0.023809523809523808,0.125,0.05777310924369748,0.203781512605042,-0.11771137026239067,-0.1974847004018999,-0.04873615355233003,0.1896432042204637,0.5102040816326531,0.4965986394557823,0.25
ba,prior [lebowski],pooled,0.1,147,68,0.2663945578231292,0.20351060606060614,0.33430357142857126,0.34029411764705875,0.24941176470588247,0.43647794117647076,-0.07389955982392954,-0.17671862206421057,0.031496353328565395,0.0217687074829932,0.0217687074829932,0.005030376930646472,0.04360625824986412,0.19607843137254907,0.1107843137254902,0.28139705882352933,-0.17430972388955587,-0.25921693677470986,-0.0884685301070783,0.21605442176870754,0.564625850340136,0.54421768707483,0.47058823529411764
ba,M-C pair [lebowski],pooled,0.3,147,68,0.5242260169373872,0.44323769507803135,0.6002766439909298,0.29081632653061223,0.19597088835534215,0.38326080432172877,0.233409690406775,0.11077549878605991,0.3563228636125652,0.1827016520894072,0.1827016520894072,0.10056344726340384,0.2768647717484926,0.17121848739495799,0.09348739495798318,0.2563025210084033,0.01148316469444921,-0.10386391026122464,0.12915108720255772,0.4581424406497292,0.8707482993197279,0.8163265306122449,0.4117647058823529
