arm,vs,readout,n,value,delta,lo,hi,halfwidth,cluster_mean,cluster_mean_vs
alp L36_mean,ridge ego,"side: straight, deciles 1-9",10645,1.2562055587768555,-0.18756695091724396,-0.22808054525963609,-0.1489412963781241,0.039569624440756,,
alp L36_mean,ridge ego,"(iii) RFS, rater frames",478,6.892691339535612,-0.2116762740617054,-0.37265201239423157,-0.06240682922105049,0.15512259158659053,6.890415385412868,7.10118790904095
alp L36_last,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.7819774150848389,-0.09593253582715988,-0.1749195758936369,-0.018218074352597202,0.07835075077051985,,
alp L36_last,ridge ego,"(ii) all frames, deciles 1-9",17695,1.3530579805374146,-0.2215358316898346,-0.25558406708048026,-0.188727691240138,0.03342818792017113,,
alp L36_last,ridge ego,"side: straight, deciles 1-9",10645,1.1481146812438965,-0.29565781354904175,-0.3413835316363926,-0.24848301693033512,0.046450257353028754,,
alp L36_last,ridge ego,"(iii) RFS, rater frames",478,7.026472231679131,-0.07789538191818693,-0.24467248457320379,0.07574173860427082,0.1602071115887373,7.004352713526048,7.10118790904095
fusion op-cinque temporal + A,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.7781912088394165,-0.09971871972084045,-0.20695033414556382,0.014900816439966045,0.11092557529276494,,
fusion op-cinque temporal + A,ridge ego,"(ii) all frames, deciles 1-9",17695,1.3268362283706665,-0.24775755405426025,-0.28227911121145843,-0.21558261800498682,0.03334824660323581,,
fusion op-cinque temporal + A,ridge ego,"side: straight, deciles 1-9",10645,1.1473710536956787,-0.2964014708995819,-0.34382181951217394,-0.25324884405764103,0.045286487727266456,,
fusion op-cinque temporal + A,ridge ego,"(iii) RFS, rater frames",478,7.2487752101170555,0.14440759651973759,-0.02359818202943296,0.29624575403655534,0.15992196803299416,7.286687073908017,7.10118790904095
fusion alp L18_mean + A,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.8677858114242554,-0.010124149732291698,-0.10340538736751169,0.09598910217606989,0.09969724477179079,,
fusion alp L18_mean + A,ridge ego,"(ii) all frames, deciles 1-9",17695,1.4768081903457642,-0.09778562188148499,-0.1290645678283606,-0.06935228103177878,0.02985614339829091,,
fusion alp L18_mean + A,ridge ego,"side: straight, deciles 1-9",10645,1.297817587852478,-0.14595475792884827,-0.19006407493177557,-0.10462881655192048,0.042717629189927546,,
fusion alp L18_mean + A,ridge ego,"(iii) RFS, rater frames",478,6.928171322298191,-0.1761962912991271,-0.3284811413083071,-0.04365014826517423,0.14241549652156643,6.975390621108188,7.10118790904095
native op-small (no fit),ridge ego,"(i) pre-onset, deciles 1-9",1265,3.149299383163452,1.271389365196228,0.9127388292851959,1.6051248843624228,0.3461930275386135,,
native op-small (no fit),ridge ego,"(ii) all frames, deciles 1-9",17695,2.459292411804199,0.8846986293792725,0.7749151143633355,0.997390821369122,0.11123785350289328,,
native op-small (no fit),ridge ego,"side: straight, deciles 1-9",10645,2.425485134124756,0.9817126393318176,0.834719186252702,1.1384109287563853,0.15184587125184162,,
native op-small (no fit),ridge ego,"(iii) RFS, rater frames",478,7.6948085275742715,0.5904409139769532,0.3527407941996229,0.8186634542684685,0.23296133003442282,7.6284320809397075,7.10118790904095
native op-cinque (no fit),ridge ego,"(i) pre-onset, deciles 1-9",1265,2.489741563796997,0.611831545829773,0.3625132660009717,0.8778618767240126,0.2576743053615205,,
native op-cinque (no fit),ridge ego,"(ii) all frames, deciles 1-9",17695,1.986434817314148,0.41184112429618835,0.3122338764680049,0.5224344406889366,0.10510028211046588,,
native op-cinque (no fit),ridge ego,"side: straight, deciles 1-9",10645,2.061300039291382,0.6175276637077332,0.48223964138325315,0.764345546383596,0.1410529525001714,,
native op-cinque (no fit),ridge ego,"(iii) RFS, rater frames",478,7.936899100465832,0.8325314868685139,0.6072676885084445,1.034714221933455,0.2137232667125053,7.994670300190397,7.10118790904095
native op-lebowski (no fit),ridge ego,"(i) pre-onset, deciles 1-9",1265,2.7702884674072266,0.892378568649292,0.574834086801013,1.2216377997377235,0.32340185646835523,,
native op-lebowski (no fit),ridge ego,"(ii) all frames, deciles 1-9",17695,2.388371706008911,0.8137782216072083,0.693011688960268,0.9475188602066223,0.12725358562317718,,
native op-lebowski (no fit),ridge ego,"side: straight, deciles 1-9",10645,2.61373233795166,1.1699599027633667,0.9919900237846722,1.348602225932749,0.17830610107403844,,
native op-lebowski (no fit),ridge ego,"(iii) RFS, rater frames",478,7.812645282645684,0.708277669048365,0.48222466430335753,0.9164764696149158,0.21712590265577913,7.902799111008347,7.10118790904095
