direction,arm,scope,decile,n,s_ego_lo,s_ego_hi,ade_base,ade_arm,dade,rel_gain,rel_lo,rel_hi
0,ridge_late concat op-cinque temporal + qwenvid L18_last,straight_yaw,6,1057,1.4989811182022095,1.8430579900741577,1.7040838,1.0591732,-0.64491063,-37.84500700285158,-41.35885651750778,-34.27675259989456
0,ridge_late concat op-cinque temporal + qwenvid L18_last,straight_yaw,7,1014,1.8437312841415405,2.276517629623413,2.094767,1.2206117,-0.8741553,-41.730428438588724,-45.32370840204087,-38.03274525565348
0,ridge_late concat op-cinque temporal + qwenvid L18_last,straight_yaw,8,968,2.2767903804779053,2.8988404273986816,2.6049562,1.4398546,-1.1651016,-44.72634394834037,-48.49618160584987,-40.95745506187764
0,ridge_late concat op-cinque temporal + qwenvid L18_last,straight_yaw,9,895,2.9002561569213867,3.9494285583496094,3.4230225,1.8163215,-1.6067009,-46.938075726062685,-51.10484256056016,-42.507347020845714
0,ridge_late concat op-cinque temporal + qwenvid L18_last,straight_yaw,10,939,3.9630119800567627,27.20889663696289,6.193895,4.376285,-1.8176097,-29.345181149230932,-32.91192544735097,-26.31913478328945
0,ridge_late late op-cinque temporal + qwenvid L18_last,straight_yaw,1,1559,0.04545023292303085,0.45023003220558167,0.33443937,0.4992429,0.16480355,49.27755697486072,42.36361038254486,57.0562216363303
0,ridge_late late op-cinque temporal + qwenvid L18_last,straight_yaw,2,1393,0.4504925608634949,0.6887710690498352,0.5991028,0.61102986,0.011927115,1.990829436398977,-1.9724500457690899,5.877608740999083
0,ridge_late late op-cinque temporal + qwenvid L18_last,straight_yaw,3,1339,0.6887714862823486,0.9295156598091125,0.8403878,0.7243725,-0.116015345,-13.804976932299377,-17.38283393323415,-10.224903830089444
0,ridge_late late op-cinque temporal + qwenvid L18_last,straight_yaw,4,1283,0.9298341870307922,1.2057932615280151,1.0985049,0.84377456,-0.25473034,-23.18882178882155,-26.327128490649997,-20.13403322620602
0,ridge_late late op-cinque temporal + qwenvid L18_last,straight_yaw,5,1150,1.2059979438781738,1.4987386465072632,1.3899498,1.0068537,-0.38309607,-27.561863708156885,-30.61538924290877,-24.34448159549346
0,ridge_late late op-cinque temporal + qwenvid L18_last,straight_yaw,6,1057,1.4989811182022095,1.8430579900741577,1.7040838,1.187637,-0.5164468,-30.306422063658967,-33.3047818324136,-27.449386435005106
0,ridge_late late op-cinque temporal + qwenvid L18_last,straight_yaw,7,1014,1.8437312841415405,2.276517629623413,2.094767,1.4382842,-0.65648293,-31.33918500721026,-34.57525661703176,-27.817147665176975
