clip,config,sample,ade64,ade40,fde40
d6749f9c-512f-486e-a4e3-668b7d816dbd,native,4,1.3160716,0.3427247,0.73019665
d6749f9c-512f-486e-a4e3-668b7d816dbd,native,5,0.99685353,0.09591974,0.26389024
d6749f9c-512f-486e-a4e3-668b7d816dbd,native+ego2hz,0,0.41179445,0.18149456,0.33662373
d6749f9c-512f-486e-a4e3-668b7d816dbd,native+ego2hz,1,2.6719663,1.1678327,3.4996898
d6749f9c-512f-486e-a4e3-668b7d816dbd,native+ego2hz,2,0.3950389,0.16844471,0.39042017
d6749f9c-512f-486e-a4e3-668b7d816dbd,native+ego2hz,3,0.98901844,0.7248038,1.4080398
d6749f9c-512f-486e-a4e3-668b7d816dbd,native+ego2hz,4,1.5309787,0.43952984,0.9754921
d6749f9c-512f-486e-a4e3-668b7d816dbd,native+ego2hz,5,1.1143911,0.097678944,0.42035353
d6749f9c-512f-486e-a4e3-668b7d816dbd,repeat,0,0.5248519,0.24455197,0.97885597
d6749f9c-512f-486e-a4e3-668b7d816dbd,repeat,1,0.6501616,0.3599341,0.90496045
d6749f9c-512f-486e-a4e3-668b7d816dbd,repeat,2,0.9809973,0.6712212,1.3720735
d6749f9c-512f-486e-a4e3-668b7d816dbd,repeat,3,1.1715798,0.38946015,0.18797031
d6749f9c-512f-486e-a4e3-668b7d816dbd,repeat,4,2.4025023,1.0490162,3.2281346
d6749f9c-512f-486e-a4e3-668b7d816dbd,repeat,5,0.483926,0.19853579,0.61190236
d6749f9c-512f-486e-a4e3-668b7d816dbd,2hz,0,2.6130133,2.0990968,3.986897
d6749f9c-512f-486e-a4e3-668b7d816dbd,2hz,1,3.3647819,0.5215171,2.6562233
d6749f9c-512f-486e-a4e3-668b7d816dbd,2hz,2,1.7729242,1.0743904,1.4095472
d6749f9c-512f-486e-a4e3-668b7d816dbd,2hz,3,2.1041174,1.9359198,4.0634475
d6749f9c-512f-486e-a4e3-668b7d816dbd,2hz,4,2.2343092,2.244418,3.8014193
d6749f9c-512f-486e-a4e3-668b7d816dbd,2hz,5,2.661676,1.2452161,0.5219011
d6749f9c-512f-486e-a4e3-668b7d816dbd,native+rt,0,1.0361838,0.3217917,1.3198383
d6749f9c-512f-486e-a4e3-668b7d816dbd,native+rt,1,2.4214916,1.0029271,3.1181042
d6749f9c-512f-486e-a4e3-668b7d816dbd,native+rt,2,0.5612855,0.21325023,0.18683888
d6749f9c-512f-486e-a4e3-668b7d816dbd,native+rt,3,0.86091745,0.73595536,1.4624299
d6749f9c-512f-486e-a4e3-668b7d816dbd,native+rt,4,0.27758515,0.18019123,0.27700406
d6749f9c-512f-486e-a4e3-668b7d816dbd,native+rt,5,0.47556406,0.31686956,0.8991434
d6749f9c-512f-486e-a4e3-668b7d816dbd,repeat+rt+ego2hz,0,0.5506734,0.17661378,0.35953188
d6749f9c-512f-486e-a4e3-668b7d816dbd,repeat+rt+ego2hz,1,1.6769693,1.0957623,2.251625
d6749f9c-512f-486e-a4e3-668b7d816dbd,repeat+rt+ego2hz,2,1.033323,0.4492201,1.6289809
d6749f9c-512f-486e-a4e3-668b7d816dbd,repeat+rt+ego2hz,3,3.6646576,1.5443032,5.021121
d6749f9c-512f-486e-a4e3-668b7d816dbd,repeat+rt+ego2hz,4,2.081137,0.47027427,2.1452377
d6749f9c-512f-486e-a4e3-668b7d816dbd,repeat+rt+ego2hz,5,1.2498945,0.29949313,0.7594254
d6749f9c-512f-486e-a4e3-668b7d816dbd,2hz+rt+ego2hz,0,1.4364748,1.2857267,2.8795822
d6749f9c-512f-486e-a4e3-668b7d816dbd,2hz+rt+ego2hz,1,3.9775853,2.3484523,5.8543816
d6749f9c-512f-486e-a4e3-668b7d816dbd,2hz+rt+ego2hz,2,1.9904417,1.2977822,3.447177
d6749f9c-512f-486e-a4e3-668b7d816dbd,2hz+rt+ego2hz,3,0.6416211,0.18680844,0.30276796
d6749f9c-512f-486e-a4e3-668b7d816dbd,2hz+rt+ego2hz,4,1.4640453,0.633669,1.0328906
d6749f9c-512f-486e-a4e3-668b7d816dbd,2hz+rt+ego2hz,5,1.7623008,1.6455959,3.29958
0ca9938e-ce18-42d8-8052-cf771fc3d926,native,0,0.23262218,0.0048085824,0.007401239
0ca9938e-ce18-42d8-8052-cf771fc3d926,native,1,2.1969266,0.14989282,1.1546233
0ca9938e-ce18-42d8-8052-cf771fc3d926,native,2,2.19803,0.15091106,1.157218
0ca9938e-ce18-42d8-8052-cf771fc3d926,native,3,2.198465,0.15113577,1.1582762
0ca9938e-ce18-42d8-8052-cf771fc3d926,native,4,2.201841,0.15224878,1.1616307
0ca9938e-ce18-42d8-8052-cf771fc3d926,native,5,2.158567,0.14969611,1.1547728
0ca9938e-ce18-42d8-8052-cf771fc3d926,native+ego2hz,0,0.23262218,0.0048085824,0.007401239
0ca9938e-ce18-42d8-8052-cf771fc3d926,native+ego2hz,1,2.1969266,0.14989282,1.1546233
0ca9938e-ce18-42d8-8052-cf771fc3d926,native+ego2hz,2,2.19803,0.15091106,1.157218
0ca9938e-ce18-42d8-8052-cf771fc3d926,native+ego2hz,3,2.198465,0.15113577,1.1582762
0ca9938e-ce18-42d8-8052-cf771fc3d926,native+ego2hz,4,2.201841,0.15224878,1.1616307
0ca9938e-ce18-42d8-8052-cf771fc3d926,native+ego2hz,5,2.158567,0.14969611,1.1547728
0ca9938e-ce18-42d8-8052-cf771fc3d926,repeat,0,2.1300128,0.5129064,2.441313
0ca9938e-ce18-42d8-8052-cf771fc3d926,repeat,1,0.94500375,0.048937194,0.41258347
0ca9938e-ce18-42d8-8052-cf771fc3d926,repeat,2,0.43270212,0.08236519,0.45015183
0ca9938e-ce18-42d8-8052-cf771fc3d926,repeat,3,1.1089048,0.3018086,1.4316901
