scenario,dataset,difficulty,agent,controller,tag,hdscore,rc,nc,dac,ttc,c,pdms,steps,end,wall_s,rc_code,finished,scene,run_dir
scene-3000_3200-medium-00,kitti360,medium,cinque,official,cinque-official,0.0,0.05212909271949862,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.3076923076923077,0.0,13,bg_collision,29.1,0,2026-09-25 13:08:43,0000_3000_3200,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/0000_3000_3200_medium_00
scene-570_770-medium-00,kitti360,medium,cinque,official,cinque-official,0.0,0.03875473787317406,0.35714285714285715,0.0,0.35714285714285715,0.42857142857142855,0.0,14,bg_collision,33.4,0,2026-09-25 13:09:16,0000_570_770,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/0000_570_770_medium_00
scene-0930-hard-00,nuscenes,hard,cinque,fixed,cinque-fixed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39,complete,76.2,0,2026-09-25 13:09:41,scene-0930,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-fixed/zs/scene-0930_hard_00
scene-6580_6780-medium-01,kitti360,medium,cinque,official,cinque-official,0.0026584496405051053,0.02392604676454595,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.1111111111111111,9,bg_collision,23.6,0,2026-09-25 13:09:44,0000_6580_6780,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/0000_6580_6780_medium_01
scene-0013-extreme-00,nuscenes,extreme,cinque,fixed,cinque-fixed,0.013996652974288756,0.06389776357827476,0.26666666666666666,1.0,0.2,0.9333333333333333,0.21904761904761905,15,fg_collision,28.9,0,2026-09-25 13:10:10,scene-0013,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-fixed/zs/scene-0013_extreme_00
scene-250_450-hard-00,kitti360,hard,cinque,official,cinque-official,0.0008120900139679483,0.02728622446932306,0.375,0.041666666666666664,0.25,0.5833333333333334,0.029761904761904764,24,off_route,43.5,0,2026-09-25 13:10:34,0000_250_450,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/0000_250_450_hard_00
scene-2510_2710-hard-00,kitti360,hard,cinque,official,cinque-official,0.0,0.026727758686521573,0.0,1.0,0.0,0.625,0.0,8,bg_collision,23.5,0,2026-09-25 13:11:01,0000_2510_2710,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/0000_2510_2710_hard_00
scene-0138-extreme-00,nuscenes,extreme,cinque,fixed,cinque-fixed,0.10645633475678357,0.13172627280511098,0.8285714285714286,1.0,0.8,1.0,0.8081632653061224,35,fg_collision,55.2,0,2026-09-25 13:11:06,scene-0138,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-fixed/zs/scene-0138_extreme_00
scene-3000_3200-hard-00,kitti360,hard,cinque,official,cinque-official,0.0,0.0550576934340772,0.25,0.08333333333333333,0.08333333333333333,0.4166666666666667,0.0,12,bg_collision,31.7,0,2026-09-25 13:11:33,0000_3000_3200,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/0000_3000_3200_hard_00
scene-3400_3600-hard-00,kitti360,hard,cinque,official,cinque-official,0.0,0.04509881947207852,0.9722222222222222,0.0,0.8055555555555556,0.1388888888888889,0.0,36,bg_collision,63.6,0,2026-09-25 13:12:38,0000_3400_3600,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/0000_3400_3600_hard_00
scene-2510_2710-extreme-00,kitti360,extreme,cinque,official,cinque-official,0.00457033103081213,0.027421986184872783,0.16666666666666666,1.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,6,bg_collision,24.2,0,2026-09-25 13:13:02,0000_2510_2710,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/0000_2510_2710_extreme_00
scene-0254-extreme-00,nuscenes,extreme,cinque,fixed,cinque-fixed,0.8214285714285715,1.0,0.9210526315789473,1.0,0.9078947368421053,0.6578947368421053,0.8214285714285715,76,complete,155.3,0,2026-09-25 13:13:41,scene-0254,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-fixed/zs/scene-0254_extreme_00
scene-3400_3600-extreme-00,kitti360,extreme,cinque,official,cinque-official,0.0,0.04156165716054295,0.6944444444444444,0.0,0.3888888888888889,0.3611111111111111,0.0,36,bg_collision,51.8,0,2026-09-25 13:13:54,0000_3400_3600,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/0000_3400_3600_extreme_00
scene-0528-extreme-00,nuscenes,extreme,cinque,fixed,cinque-fixed,0.12001469962477276,0.23016517736257783,0.7,1.0,0.45,1.0,0.5214285714285716,20,fg_collision,36.0,0,2026-09-25 13:14:17,scene-0528,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-fixed/zs/scene-0528_extreme_00
scene-5980_6180-extreme-00,kitti360,extreme,cinque,official,cinque-official,0.004165039698034622,0.04165039698034622,0.4,0.1,0.3,0.5,0.1,10,bg_collision,23.5,0,2026-09-25 13:14:18,0000_5980_6180,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/0000_5980_6180_extreme_00
scene-770_970-extreme-00,kitti360,extreme,cinque,official,cinque-official,0.00616323417238749,0.05136028476989575,0.48,0.2,0.2,0.2,0.12,25,bg_collision,37.6,0,2026-09-25 13:14:57,0000_770_970,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/0000_770_970_extreme_00
scene-034-easy-00,pandaset,easy,cinque,official,cinque-official,0.035196687370600416,0.07465963987703118,0.7,0.6,0.5,0.4,0.4714285714285714,10,bg_collision,21.7,0,2026-09-25 13:15:24,034,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/034_easy_00
