cls,dbin,n,recall,bev_err_med,bev_err_p90,reading,weather,all
emergency vehicle,20-40 m,19,0.0,,,"recall (ii), <= 40 m, in image",,
emergency vehicle,,20,0.0,,,"recall (ii), <= 40 m, in image",day,
emergency vehicle,,13,0.0,,,"recall (ii), <= 40 m, in image",rain,
emergency vehicle,0-10 m,4,0.0,,,"recall (ii), <= 40 m, in image",day,
emergency vehicle,10-20 m,10,0.0,,,"recall (ii), <= 40 m, in image",day,
emergency vehicle,20-40 m,6,0.0,,,"recall (ii), <= 40 m, in image",day,
emergency vehicle,20-40 m,13,0.0,,,"recall (ii), <= 40 m, in image",rain,
emergency vehicle,,33,0.0,,,"recall (ii), <= 40 m, in image",,all
emergency vehicle,0-10 m,4,0.0,,,side: recall (ii) with the oracle-height lift,,
emergency vehicle,10-20 m,10,0.0,,,side: recall (ii) with the oracle-height lift,,
emergency vehicle,20-40 m,19,0.0,,,side: recall (ii) with the oracle-height lift,,
emergency vehicle,,33,0.0,,,side: recall (ii) with the oracle-height lift,,all
