scope,judge,n,delta,lo,hi,model,arm
Pedestrians,ADE pre_onset dec1-9,83,-0.017945636865036915,-0.2155522183969089,0.2700450701576558,cinque,G3 student A (a) s2
Cyclists,RFS (rater),71,-0.5834714619081263,-0.9689025970235832,-0.23300058289017667,cinque,G3 student A (a) s2
Cyclists,ADE dec1-9,2326,0.19776268649269957,0.14325924845075805,0.25320390122497843,cinque,G3 student A (a) s2
Cyclists,ADE pre_onset dec1-9,206,0.1267727688523985,-0.05243028195145916,0.2979698510512802,cinque,G3 student A (a) s2
Cut_ins,RFS (rater),20,-0.29572518690033484,-0.8802013171796235,0.35085507924523124,cinque,G3 student A (a) s2
Cut_ins,ADE dec1-9,724,0.1801235005247863,0.09864352135089904,0.25758592133063085,cinque,G3 student A (a) s2
Cut_ins,ADE pre_onset dec1-9,16,0.01904200815577556,-0.25193107087279637,0.3146104240488268,cinque,G3 student A (a) s2
FOD,RFS (rater),78,-0.184951623225582,-0.3495083378275215,-0.03080574387667638,cinque,G3 student A (a) s2
FOD,ADE dec1-9,3175,0.25049001540755766,0.2022182290796242,0.2995255168311696,cinque,G3 student A (a) s2
FOD,ADE pre_onset dec1-9,252,0.31420982149200993,0.16739122193305314,0.45733432259161877,cinque,G3 student A (a) s2
Intersections,RFS (rater),116,-0.24642417842167166,-0.505789312269036,-0.007812499326459707,cinque,G3 student A (a) s2
Intersections,ADE dec1-9,4299,0.2070559935568823,0.16744704847523517,0.24689627206725112,cinque,G3 student A (a) s2
Intersections,ADE pre_onset dec1-9,301,0.07948204222526259,-0.08051993261970623,0.23851044179678985,cinque,G3 student A (a) s2
all,RFS (rater),478,-0.9947554237681875,-1.1780570882429386,-0.8094029235321742,cinque,G3 student B (a) s0
all,ADE dec1-9,17389,1.2746773871506454,1.2172047698289097,1.3327010005177373,cinque,G3 student B (a) s0
all,ADE pre_onset dec1-9,1245,1.4347858081459346,1.1657137402440567,1.6943557695674354,cinque,G3 student B (a) s0
Pedestrians,RFS (rater),52,-0.6424662303359233,-1.1720241664981201,-0.13380481148550372,cinque,G3 student B (a) s0
Pedestrians,ADE dec1-9,1637,1.111216557716889,0.9641611402788736,1.2674374950062315,cinque,G3 student B (a) s0
Pedestrians,ADE pre_onset dec1-9,83,1.0921910898420943,0.5114575724694734,1.7822958568593033,cinque,G3 student B (a) s0
Cyclists,RFS (rater),71,-1.481329908949106,-1.9613983489790787,-1.0301376625299308,cinque,G3 student B (a) s0
Cyclists,ADE dec1-9,2326,1.071272690945211,0.9258271673116739,1.220000840937777,cinque,G3 student B (a) s0
Cyclists,ADE pre_onset dec1-9,206,0.8676695187358613,0.5656121118591897,1.213304038165319,cinque,G3 student B (a) s0
Cut_ins,RFS (rater),20,-1.1261125229182234,-1.83739794835416,-0.48653583678833273,cinque,G3 student B (a) s0
Cut_ins,ADE dec1-9,724,1.0032703744801734,0.7580068892405851,1.232338282309612,cinque,G3 student B (a) s0
Cut_ins,ADE pre_onset dec1-9,16,0.19792888940495545,-0.5524409883607028,0.8374121215486195,cinque,G3 student B (a) s0
FOD,RFS (rater),78,-1.2171082680681027,-1.6919171581330499,-0.7501631899430341,cinque,G3 student B (a) s0
FOD,ADE dec1-9,3175,1.53103514107776,1.414408004187582,1.6549174192188099,cinque,G3 student B (a) s0
FOD,ADE pre_onset dec1-9,252,2.2634122551517266,1.6812811952656437,2.865448783638021,cinque,G3 student B (a) s0
Intersections,RFS (rater),116,-0.9722314767070914,-1.3643861900547432,-0.5725457479043894,cinque,G3 student B (a) s0
Intersections,ADE dec1-9,4299,1.3266663794207663,1.201391565504591,1.4545865709037122,cinque,G3 student B (a) s0
Intersections,ADE pre_onset dec1-9,301,1.5156342455495224,0.9399260189713637,2.1584883389682825,cinque,G3 student B (a) s0
all,RFS (rater),478,-0.9896216453465353,-1.172379340074237,-0.8043177098566963,cinque,G3 student B (a) s1
all,ADE dec1-9,17389,1.2396629414769078,1.1835283939450905,1.2968591081427918,cinque,G3 student B (a) s1
all,ADE pre_onset dec1-9,1245,1.4106786017166206,1.1428636761740987,1.671509685317791,cinque,G3 student B (a) s1
Pedestrians,RFS (rater),52,-0.6783253218133445,-1.2027211186901656,-0.16555746956083758,cinque,G3 student B (a) s1
Pedestrians,ADE dec1-9,1637,1.0821866332924364,0.9375862574915531,1.2365290708887489,cinque,G3 student B (a) s1
Pedestrians,ADE pre_onset dec1-9,83,1.053597773329105,0.4837010631163276,1.7424322741655873,cinque,G3 student B (a) s1
Cyclists,RFS (rater),71,-1.4707653854627707,-1.9514073272425978,-1.0216488088682398,cinque,G3 student B (a) s1
Cyclists,ADE dec1-9,2326,1.041299017608865,0.899882675354055,1.1861456017436336,cinque,G3 student B (a) s1
Cyclists,ADE pre_onset dec1-9,206,0.8370150650663372,0.5366010488419963,1.1822062177558204,cinque,G3 student B (a) s1
Cut_ins,RFS (rater),20,-1.1100484287342554,-1.7763997546292614,-0.4959524792834944,cinque,G3 student B (a) s1
Cut_ins,ADE dec1-9,724,0.9885130181726643,0.7444074039691467,1.216762327533738,cinque,G3 student B (a) s1
Cut_ins,ADE pre_onset dec1-9,16,0.1815731850995604,-0.5543951964728645,0.8051414583710843,cinque,G3 student B (a) s1
FOD,RFS (rater),78,-1.225067287379787,-1.6945449015755452,-0.7654743442719238,cinque,G3 student B (a) s1
FOD,ADE dec1-9,3175,1.4859193218295406,1.3700445858558528,1.6093781081540977,cinque,G3 student B (a) s1
FOD,ADE pre_onset dec1-9,252,2.239161474898184,1.652612915013477,2.843841627812708,cinque,G3 student B (a) s1
Intersections,RFS (rater),116,-0.9359187641614523,-1.3363563500641256,-0.5266209194224735,cinque,G3 student B (a) s1
Intersections,ADE dec1-9,4299,1.2944027905569657,1.1717253058053678,1.421235731639437,cinque,G3 student B (a) s1
Intersections,ADE pre_onset dec1-9,301,1.4927565514871906,0.9214774784055236,2.1311442564056313,cinque,G3 student B (a) s1
all,RFS (rater),478,-0.9732901728308553,-1.1574446321056577,-0.7847487523103245,cinque,G3 student B (a) s2
