scope,tap,vs,n_frames,routes,auc,auc_lo,auc_hi,auc_vs,delta,lo,hi
HighwayCutIn,op-lebowski hidden,L18_last,1319,9,0.6803273553091487,0.6077693997544764,0.7509307166109496,0.7166760261898043,-0.03634867088065563,-0.15084538972160236,0.03775386060343169
HighwayCutIn,op-cinque temporal,L18_last,1319,9,0.7647199816526523,0.7206370030657845,0.7956029189320362,0.7166760261898043,0.04804395546284801,-0.057556770860794214,0.10333289657383322
HighwayCutIn,op-lebowski temporal,L18_last,1319,9,0.7443298246138406,0.700984044510983,0.7803985823633283,0.7166760261898043,0.027653798424036258,-0.07950417265494612,0.08814004450217373
OppositeVehicleRunningRedLight,op-cinque vision,op-cinque temporal,58,3,0.5341854934601665,0.3055555555555556,0.6159122085048011,0.5208085612366231,0.013376932223543414,-0.6944444444444444,0.1879286694101509
OppositeVehicleRunningRedLight,op-cinque vision,L18_last,58,3,0.5341854934601665,0.3055555555555556,0.6159122085048011,0.6028537455410227,-0.06866825208085614,-0.6944444444444444,0.0477141454081622
OppositeVehicleRunningRedLight,op-cinque hidden,op-cinque temporal,58,3,0.5407253269916766,0.3333333333333333,0.654320987654321,0.5208085612366231,0.019916765755053523,-0.6666666666666667,0.2263374485596708
OppositeVehicleRunningRedLight,op-cinque hidden,L18_last,58,3,0.5407253269916766,0.3333333333333333,0.654320987654321,0.6028537455410227,-0.06212841854934603,-0.6666666666666667,-0.020337088885141016
OppositeVehicleRunningRedLight,op-lebowski vision,op-lebowski temporal,58,3,0.547859690844233,0.5161078238001315,0.5594535334795075,0.5496432818073721,-0.00178359096313907,-0.07579096938775504,0.22222222222222227
OppositeVehicleRunningRedLight,op-lebowski vision,L18_last,58,3,0.547859690844233,0.5161078238001315,0.5594535334795075,0.6028537455410227,-0.05499405469678964,-0.4444444444444444,0.0705034948979585
OppositeVehicleRunningRedLight,op-lebowski hidden,op-lebowski temporal,58,3,0.5695600475624256,0.44855967078189296,0.6666666666666666,0.5496432818073721,0.019916765755053523,-0.026063100137174278,0.3333333333333333
OppositeVehicleRunningRedLight,op-lebowski hidden,L18_last,58,3,0.5695600475624256,0.44855967078189296,0.6666666666666666,0.6028537455410227,-0.03329369797859705,-0.33333333333333337,0.15857714285714225
OppositeVehicleRunningRedLight,op-cinque temporal,L18_last,58,3,0.5208085612366231,0.4279835390946502,1.0,0.6028537455410227,-0.08204518430439955,-0.34567901234567894,0.07712696428571346
OppositeVehicleRunningRedLight,op-lebowski temporal,L18_last,58,3,0.5496432818073721,0.3333333333333333,0.6304515306122445,0.6028537455410227,-0.05321046373365057,-0.6666666666666667,0.1462944642857132
ParkingCrossingPedestrian,op-cinque vision,op-cinque temporal,310,6,0.4879604578563995,0.41716245400854224,0.552520751953125,0.484630593132154,0.0033298647242455126,-0.009573763319709706,0.01958550347222232
ParkingCrossingPedestrian,op-cinque vision,L18_last,310,6,0.4879604578563995,0.41716245400854224,0.552520751953125,0.49465140478668057,-0.00669094693028105,-0.06403334429582924,0.030112665561850493
ParkingCrossingPedestrian,op-cinque hidden,op-cinque temporal,310,6,0.5028303850156087,0.44060712729008794,0.5605742187499999,0.484630593132154,0.01819979188345472,-0.01350988952373519,0.029357939254132992
ParkingCrossingPedestrian,op-cinque hidden,L18_last,310,6,0.5028303850156087,0.44060712729008794,0.5605742187499999,0.49465140478668057,0.008178980228928157,-0.0651477394090424,0.03832990505656661
