level,route,seed,arm,ds,rc,official_status,ticks,pre_collision_ticks,moving_ticks,collision_step,moving_full_throttle_share,moving_full_brake_share,moving_full_pedal_share,full_pedal_flip_count,full_pedal_flips_per_min,speed_p95_mps,speed_max_mps,target_overshoot_gt2_share,target_undershoot_gt2_share,moving_target_zero_share,moving_target_zero_full_brake_share,target_jump_gt5_count,target_jump_gt5_per_min,stopped_after_2s_share,longest_standstill_after_2s_s,agent_ms_p95,vehicle_collisions,emergency_yield,outside_lane
1,25378,0,B,70.0,100.0,Completed,262,261,244,,0.35655737704918034,0.13114754098360656,0.48770491803278687,8,36.7816091954023,13.348408897388262,14.24200772062391,0.11885245901639344,0.02459016393442623,0.11065573770491803,0.6666666666666666,8,36.7816091954023,0.0,0.0,119.30038499849616,0,1,0
1,25378,0,C,70.0,100.0,Completed,262,261,230,,0.0,0.0,0.0,0,0.0,11.737963671907652,11.846357378817947,0.0782608695652174,0.05217391304347826,0.06521739130434782,0.0,2,9.195402298850574,0.0,0.0,117.54344800283434,0,1,0
1,25378,0,D,70.0,100.0,Completed,261,260,229,,0.0,0.0,0.0,0,0.0,11.844801144623808,11.982979166107821,0.08733624454148471,0.048034934497816595,0.07423580786026202,0.0,2,9.23076923076923,0.0,0.0,122.79738820143389,0,1,0
1,25378,1,A,70.0,100.0,Completed,251,250,233,,0.5107296137339056,0.3218884120171674,0.8326180257510729,23,110.39999999999999,14.147799155953738,14.559275691938364,0.24034334763948498,0.060085836909871244,0.2145922746781116,1.0,17,81.6,0.0,0.0,122.99973610006417,0,1,0
1,25378,1,B,70.0,100.0,Completed,253,252,235,,0.3191489361702128,0.11914893617021277,0.43829787234042555,5,23.809523809523807,13.650809219595116,14.71180007742779,0.11914893617021277,0.03829787234042553,0.10212765957446808,0.6666666666666666,7,33.33333333333333,0.0,0.0,125.41537300057826,0,1,0
1,25378,1,C,70.0,100.0,Completed,266,265,234,,0.0,0.0,0.0,0,0.0,11.65036314698728,11.749517715538486,0.11538461538461539,0.05128205128205128,0.08974358974358974,0.0,4,18.11320754716981,0.0,0.0,117.31538299645763,0,1,0
1,25378,1,D,70.0,100.0,Completed,261,260,229,,0.0,0.0,0.0,0,0.0,11.728117291972543,11.854718811500994,0.07860262008733625,0.048034934497816595,0.06986899563318777,0.0,2,9.23076923076923,0.0,0.0,120.40863494112268,0,1,0
1,25378,2,A,70.0,100.0,Completed,241,240,223,,0.5022421524663677,0.3183856502242152,0.820627802690583,18,90.0,14.726006674083006,14.991596573692252,0.2242152466367713,0.04932735426008968,0.18834080717488788,1.0,11,55.0,0.0,0.0,122.32807745276659,0,1,0
1,25378,2,B,70.0,100.0,Completed,249,248,231,,0.38961038961038963,0.15584415584415584,0.5454545454545454,6,29.032258064516128,14.08603062177507,14.763229733814427,0.18614718614718614,0.04329004329004329,0.17316017316017315,0.65,12,58.064516129032256,0.0,0.0,120.46846710072711,0,1,0
1,25378,2,C,70.0,100.0,Completed,265,264,233,,0.0,0.0,0.0,0,0.0,11.674652503355619,11.78796201858445,0.12446351931330472,0.05150214592274678,0.10300429184549356,0.0,6,27.27272727272727,0.0,0.0,121.23513520054985,0,1,0
