route_id,preset,seed,attempt,selected_attempt,official_status,process_status,completion_pct,full_cte_rms_m,precollision_cte_rms_m,precollision_state,full_cte_samples,precollision_cte_samples,driving_completed,capped,report_source,telemetry_source
25424,tcp,0,1,True,Failed - TickRuntime,finished,47.26,0.09153840051542057,0.08419477920461851,available,4000,157,False,True,/data/runs/b2d/controller/formal-v4/tcp-seed0/controller-report.json,/data/runs/b2d/controller/formal-v4/tcp-seed0/attempts/25424/1/control.jsonl
26405,tcp,0,1,True,Completed,finished,100,0.09475776957374768,0.09475776957374768,available,386,386,True,False,/data/runs/b2d/controller/formal-v4/tcp-seed0/controller-report.json,/data/runs/b2d/controller/formal-v4/tcp-seed0/attempts/26405/1/control.jsonl
27494,tcp,0,1,True,Completed,finished,100,2.2527538928120032,1.184138371410319,available,473,173,True,False,/data/runs/b2d/controller/formal-v4/tcp-seed0/controller-report.json,/data/runs/b2d/controller/formal-v4/tcp-seed0/attempts/27494/1/control.jsonl
28198,tcp,0,1,True,Completed,finished,100,0.7108094323823879,0.7108094323823879,available,259,259,True,False,/data/runs/b2d/controller/formal-v4/tcp-seed0/controller-report.json,/data/runs/b2d/controller/formal-v4/tcp-seed0/attempts/28198/1/control.jsonl
3255,tcp,0,1,True,Completed,finished,100,0.10775086474170462,0.09525965902055779,available,694,170,True,False,/data/runs/b2d/controller/formal-v4/tcp-seed0/controller-report.json,/data/runs/b2d/controller/formal-v4/tcp-seed0/attempts/3255/1/control.jsonl
3514,tcp,0,1,True,Failed - TickRuntime,finished,4.6,1.1731730709579558,3.098929856935761,available,4000,40,False,True,/data/runs/b2d/controller/formal-v4/tcp-seed0/controller-report.json,/data/runs/b2d/controller/formal-v4/tcp-seed0/attempts/3514/1/control.jsonl
17569,tcp,1,1,True,Completed,finished,100,0.5911721844632665,0.6173454053569731,available,334,256,True,False,/data/runs/b2d/controller/formal-v4/tcp-seed1/controller-report.json,/data/runs/b2d/controller/formal-v4/tcp-seed1/attempts/17569/1/control.jsonl
2091,tcp,1,1,True,Completed,finished,100,0.6315270519538191,0.12476611694103396,available,288,112,True,False,/data/runs/b2d/controller/formal-v4/tcp-seed1/controller-report.json,/data/runs/b2d/controller/formal-v4/tcp-seed1/attempts/2091/1/control.jsonl
25378,tcp,1,1,True,Completed,finished,100,0.11152846845862689,0.11152846845862689,available,288,288,True,False,/data/runs/b2d/controller/formal-v4/tcp-seed1/controller-report.json,/data/runs/b2d/controller/formal-v4/tcp-seed1/attempts/25378/1/control.jsonl
25381,tcp,1,1,True,Completed,finished,100,0.108678565431823,0.108678565431823,available,393,393,True,False,/data/runs/b2d/controller/formal-v4/tcp-seed1/controller-report.json,/data/runs/b2d/controller/formal-v4/tcp-seed1/attempts/25381/1/control.jsonl
25424,tcp,1,1,True,Failed - TickRuntime,finished,47.26,0.09153840051542057,0.08419477920461851,available,4000,157,False,True,/data/runs/b2d/controller/formal-v4/tcp-seed1/controller-report.json,/data/runs/b2d/controller/formal-v4/tcp-seed1/attempts/25424/1/control.jsonl
26405,tcp,1,1,True,Completed,finished,100,0.09475776957374768,0.09475776957374768,available,386,386,True,False,/data/runs/b2d/controller/formal-v4/tcp-seed1/controller-report.json,/data/runs/b2d/controller/formal-v4/tcp-seed1/attempts/26405/1/control.jsonl
27494,tcp,1,1,False,,server_died_rc139,,,,missing_telemetry,,,,False,/data/runs/b2d/controller/formal-v4/tcp-seed1/controller-report.json,/data/runs/b2d/controller/formal-v4/tcp-seed1/attempts/27494/1/control.jsonl
27494,tcp,1,2,True,Completed,finished,100,2.2527538928120032,1.184138371410319,available,473,173,True,False,/data/runs/b2d/controller/formal-v4/tcp-seed1/controller-report.json,/data/runs/b2d/controller/formal-v4/tcp-seed1/attempts/27494/2/control.jsonl
28198,tcp,1,1,True,Completed,finished,100,0.7108094323823879,0.7108094323823879,available,259,259,True,False,/data/runs/b2d/controller/formal-v4/tcp-seed1/controller-report.json,/data/runs/b2d/controller/formal-v4/tcp-seed1/attempts/28198/1/control.jsonl
3255,tcp,1,1,True,Completed,finished,100,0.10769643490709306,0.09525965902055779,available,695,170,True,False,/data/runs/b2d/controller/formal-v4/tcp-seed1/controller-report.json,/data/runs/b2d/controller/formal-v4/tcp-seed1/attempts/3255/1/control.jsonl
3514,tcp,1,1,True,Failed - TickRuntime,finished,4.6,1.1731730709579558,3.098929856935761,available,4000,40,False,True,/data/runs/b2d/controller/formal-v4/tcp-seed1/controller-report.json,/data/runs/b2d/controller/formal-v4/tcp-seed1/attempts/3514/1/control.jsonl
