scope,judge,n,delta,lo,hi,model,arm,seed,stats
Intersections,ADE dec1-9,4299,0.3888605237007141,0.31496168594142115,0.46864926083075364,cinque,A,1,carla
Intersections,ADE pre_onset dec1-9,301,0.05805961787700653,-0.02304527246047463,0.16740295144722064,cinque,A,1,carla
all,RFS (rater),478,-0.05725492266299726,-0.11640773187016712,0.00017293520687467043,cinque,A,1,wod-train
all,ADE dec1-9,17389,0.20027822256088257,0.17793818304260528,0.22339195685343455,cinque,A,1,wod-train
all,ADE pre_onset dec1-9,1245,0.21424703299999237,0.12647122310541195,0.31550685466534567,cinque,A,1,wod-train
Pedestrians,RFS (rater),52,-0.11201750626878487,-0.3267981607865921,0.0742562336314523,cinque,A,1,wod-train
Pedestrians,ADE dec1-9,1637,0.15260358154773712,0.08626191447939967,0.23368133370061178,cinque,A,1,wod-train
Pedestrians,ADE pre_onset dec1-9,83,0.3236542046070099,-0.004856668649734354,0.9805279387058247,cinque,A,1,wod-train
Cyclists,RFS (rater),71,-0.05097633926699187,-0.21780142754309637,0.07102223661564416,cinque,A,1,wod-train
Cyclists,ADE dec1-9,2326,0.16813962161540985,0.11371489888989611,0.22844690356124317,cinque,A,1,wod-train
Cyclists,ADE pre_onset dec1-9,206,0.09462979435920715,-0.04127786172284144,0.27738401806747465,cinque,A,1,wod-train
Cut_ins,RFS (rater),20,-0.18902679858185079,-0.641578496178412,0.2691851344639325,cinque,A,1,wod-train
Cut_ins,ADE dec1-9,724,0.1350460797548294,0.07238428726994987,0.21969114949054958,cinque,A,1,wod-train
Cut_ins,ADE pre_onset dec1-9,16,0.10807211697101593,-0.14726721388953073,0.3877544465817903,cinque,A,1,wod-train
FOD,RFS (rater),78,-0.06435132013094277,-0.1794155129523441,0.02236586623999922,cinque,A,1,wod-train
FOD,ADE dec1-9,3175,0.22138020396232605,0.17461926168525715,0.27354262072527374,cinque,A,1,wod-train
FOD,ADE pre_onset dec1-9,252,0.3577481210231781,0.12888686718982317,0.6527672765992257,cinque,A,1,wod-train
Intersections,RFS (rater),116,-0.023594337534409097,-0.15466295800930324,0.08743489679659855,cinque,A,1,wod-train
Intersections,ADE dec1-9,4299,0.26174211502075195,0.2111346157607348,0.31583375170458544,cinque,A,1,wod-train
Intersections,ADE pre_onset dec1-9,301,0.06690027564764023,-0.01476916977542569,0.1972284718386335,cinque,A,1,wod-train
all,RFS (rater),478,-0.08959006788686559,-0.1690557964464276,-0.013131312792921422,cinque,A,2,carla
all,ADE dec1-9,17389,0.29503655433654785,0.2619355813263918,0.3294364235294548,cinque,A,2,carla
all,ADE pre_onset dec1-9,1245,0.30966731905937195,0.1806221220849445,0.462740510705908,cinque,A,2,carla
Pedestrians,RFS (rater),52,-0.09736729297001288,-0.43394448401676666,0.20861668384129717,cinque,A,2,carla
Pedestrians,ADE dec1-9,1637,0.22480352222919464,0.1381151005834161,0.3273999239134867,cinque,A,2,carla
Pedestrians,ADE pre_onset dec1-9,83,0.2650262713432312,0.014678617284282745,0.7180232742739413,cinque,A,2,carla
Cyclists,RFS (rater),71,-0.0829286903763247,-0.2693537350567593,0.04259155836722969,cinque,A,2,carla
Cyclists,ADE dec1-9,2326,0.19055038690567017,0.135669180132981,0.2521778691998536,cinque,A,2,carla
Cyclists,ADE pre_onset dec1-9,206,0.1043156087398529,-0.06770760020545569,0.33286377986564614,cinque,A,2,carla
Cut_ins,RFS (rater),20,-0.13695968961482158,-0.7193113577521484,0.44309584904759064,cinque,A,2,carla
Cut_ins,ADE dec1-9,724,0.18127666413784027,0.09510805031577846,0.3064836309623473,cinque,A,2,carla
