examinee,vs,scope,n,delta,lo,hi
G2 student A s1 x g2 [cinque],CARLA M-C pair [cinque],static,959,0.11157455683003129,0.08082658940194204,0.1427167259943238
G2 M-C pair s2 [cinque],CARLA M-C pair [cinque],pooled,1832,0.03657205240174673,0.0,0.07023752012882445
G2 M-C pair s2 [cinque],CARLA M-C pair [cinque],cutin,216,0.18981481481481483,0.08219012639798821,0.30476785714285715
G2 M-C pair s2 [cinque],CARLA M-C pair [cinque],oncoming,657,0.0700152207001522,0.02228496930562902,0.1201229822197564
G2 M-C pair s2 [cinque],CARLA M-C pair [cinque],static,959,-0.020855057351407715,-0.06230686016873802,0.015739769150052464
G2 M-C hard s2 [cinque],CARLA M-C pair [cinque],pooled,1832,0.048034934497816595,0.015760294581088585,0.0792259586793748
G2 M-C hard s2 [cinque],CARLA M-C pair [cinque],cutin,216,0.22685185185185186,0.12934906805684496,0.3302752293577982
G2 M-C hard s2 [cinque],CARLA M-C pair [cinque],oncoming,657,0.0578386605783866,0.01740486088903102,0.10204163004914885
G2 M-C hard s2 [cinque],CARLA M-C pair [cinque],static,959,0.0010427528675703858,-0.031452810896322875,0.03347439789774466
G2 M-C uniform s2 [cinque],CARLA M-C pair [cinque],pooled,1832,0.09879912663755458,0.07146875199728137,0.12667053426875335
G2 M-C uniform s2 [cinque],CARLA M-C pair [cinque],cutin,216,0.26851851851851855,0.18267045454545452,0.3656413158753467
G2 M-C uniform s2 [cinque],CARLA M-C pair [cinque],oncoming,657,0.0974124809741248,0.05855161787365177,0.1381421314931953
G2 M-C uniform s2 [cinque],CARLA M-C pair [cinque],static,959,0.061522419186652764,0.03714396284829721,0.08696452247062585
G2 student A s2 [cinque],CARLA M-C pair [cinque],pooled,1832,0.07423580786026202,0.0421890350278372,0.10644244457475162
G2 student A s2 [cinque],CARLA M-C pair [cinque],cutin,216,0.16666666666666666,0.06927880288028804,0.275112174992989
G2 student A s2 [cinque],CARLA M-C pair [cinque],oncoming,657,0.076103500761035,0.033793655304952736,0.11877717666093635
G2 student A s2 [cinque],CARLA M-C pair [cinque],static,959,0.05213764337851929,0.012737842483065413,0.0882665822282779
G2 student B s2 [cinque],CARLA M-C pair [cinque],pooled,1832,0.09661572052401747,0.06855517914225032,0.12493612014415814
G2 student B s2 [cinque],CARLA M-C pair [cinque],cutin,216,0.19444444444444445,0.10099626400996264,0.300567360243119
G2 student B s2 [cinque],CARLA M-C pair [cinque],oncoming,657,0.1080669710806697,0.0701219512195122,0.14668985957057087
G2 student B s2 [cinque],CARLA M-C pair [cinque],static,959,0.0667361835245047,0.033124362658755915,0.10132879054146712
G2 M-C pair s2 x g2 [cinque],CARLA M-C pair [cinque],pooled,1832,0.13373362445414846,0.10786738235463496,0.159347458411057
G2 M-C pair s2 x g2 [cinque],CARLA M-C pair [cinque],cutin,216,0.24074074074074073,0.1541765503219248,0.33640885324353065
G2 M-C pair s2 x g2 [cinque],CARLA M-C pair [cinque],oncoming,657,0.1445966514459665,0.10908345752608047,0.18125381097560972
G2 M-C pair s2 x g2 [cinque],CARLA M-C pair [cinque],static,959,0.10218978102189781,0.07539267015706806,0.12959063274938007
G2 student A s2 x g2 [cinque],CARLA M-C pair [cinque],pooled,1832,0.12827510917030568,0.10320965293991412,0.15314037794989194
G2 student A s2 x g2 [cinque],CARLA M-C pair [cinque],cutin,216,0.19444444444444445,0.1117002721425037,0.286364169867691
G2 student A s2 x g2 [cinque],CARLA M-C pair [cinque],oncoming,657,0.1339421613394216,0.10061873018529364,0.16691746754831438
G2 student A s2 x g2 [cinque],CARLA M-C pair [cinque],static,959,0.10948905109489052,0.08088235294117647,0.13857573653182767
G1c g3 x M-C [cinque],CARLA M-C pair [cinque],pooled,1832,0.09661572052401747,0.07310383826959779,0.12070731697576716
G1c g3 x M-C [cinque],CARLA M-C pair [cinque],cutin,216,0.18055555555555555,0.09755557953809627,0.2679485645933014
G1c g3 x M-C [cinque],CARLA M-C pair [cinque],oncoming,657,0.1004566210045662,0.06778929303142378,0.1337386018237082
G1c g3 x M-C [cinque],CARLA M-C pair [cinque],static,959,0.07507820646506778,0.049176560223714395,0.10309726350852778
G1c g3 x const [cinque],CARLA M-C pair [cinque],pooled,1832,0.09770742358078603,0.07477072757367208,0.12050434870168282
G1c g3 x const [cinque],CARLA M-C pair [cinque],cutin,216,0.16666666666666666,0.07446684809500247,0.2644230769230769
G1c g3 x const [cinque],CARLA M-C pair [cinque],oncoming,657,0.0928462709284627,0.05989916646201407,0.12669683257918551
G1c g3 x const [cinque],CARLA M-C pair [cinque],static,959,0.08550573514077164,0.061701198311867225,0.11135168820148367
G1c g3 x const2d [cinque],CARLA M-C pair [cinque],pooled,1832,0.09716157205240175,0.0743227777625031,0.12010843360974292
G1c g3 x const2d [cinque],CARLA M-C pair [cinque],cutin,216,0.16666666666666666,0.07446684809500247,0.2644230769230769
G1c g3 x const2d [cinque],CARLA M-C pair [cinque],oncoming,657,0.0928462709284627,0.05989916646201407,0.12669683257918551
G1c g3 x const2d [cinque],CARLA M-C pair [cinque],static,959,0.08446298227320125,0.06073139608753751,0.11053982987746996
CARLA M-C pair [lebowski],ridge_late op-lebowski temporal,pooled,1832,-0.03111353711790393,-0.044768474086171454,-0.0184517760356175
CARLA M-C pair [lebowski],ridge_late op-lebowski temporal,cutin,216,-0.06481481481481481,-0.10294275435496086,-0.026079112505602912
CARLA M-C pair [lebowski],ridge_late op-lebowski temporal,oncoming,657,-0.0273972602739726,-0.05071455565037182,-0.006097560975609756
CARLA M-C pair [lebowski],ridge_late op-lebowski temporal,static,959,-0.026068821689259645,-0.044148248790314745,-0.010405556841561005
CARLA M-C hard [lebowski],ridge_late op-lebowski temporal,pooled,1832,-0.02019650655021834,-0.03706255003760402,-0.005127695800227017
CARLA M-C hard [lebowski],ridge_late op-lebowski temporal,cutin,216,-0.037037037037037035,-0.06404392823247616,-0.014285714285714285
CARLA M-C hard [lebowski],ridge_late op-lebowski temporal,oncoming,657,0.0091324200913242,-0.008850212075195056,0.026512977779419283
CARLA M-C hard [lebowski],ridge_late op-lebowski temporal,static,959,-0.0364963503649635,-0.06178172368753224,-0.016526802171014085
CARLA M-C uniform [lebowski],ridge_late op-lebowski temporal,pooled,1832,-0.0016375545851528383,-0.006543075245365322,0.0030782472613458457
CARLA M-C uniform [lebowski],ridge_late op-lebowski temporal,cutin,216,-0.004629629629629629,-0.015230368797265099,0.0
CARLA M-C uniform [lebowski],ridge_late op-lebowski temporal,oncoming,657,0.0,-0.0060700333470165265,0.006033182503770739
CARLA M-C uniform [lebowski],ridge_late op-lebowski temporal,static,959,-0.0020855057351407717,-0.010438413361169102,0.005291285832112978
CARLA student A s0 [lebowski],ridge_late op-lebowski temporal,pooled,1832,-0.034934497816593885,-0.04972074755393685,-0.02066923886574118
CARLA student A s0 [lebowski],ridge_late op-lebowski temporal,cutin,216,-0.023148148148148147,-0.051953698475437605,0.00458768443749207
CARLA student A s0 [lebowski],ridge_late op-lebowski temporal,oncoming,657,-0.0471841704718417,-0.07390373864430468,-0.023872683709581736
CARLA student A s0 [lebowski],ridge_late op-lebowski temporal,static,959,-0.029197080291970802,-0.04244468683375027,-0.016443565593403837
CARLA student A s1 [lebowski],ridge_late op-lebowski temporal,pooled,1832,-0.034388646288209604,-0.04994265773219523,-0.018597032498934494
CARLA student A s1 [lebowski],ridge_late op-lebowski temporal,cutin,216,-0.018518518518518517,-0.04672897196261682,0.00539893617021233
CARLA student A s1 [lebowski],ridge_late op-lebowski temporal,oncoming,657,-0.0471841704718417,-0.0758963621605667,-0.02117984546166848
CARLA student A s1 [lebowski],ridge_late op-lebowski temporal,static,959,-0.029197080291970802,-0.043159194282001295,-0.015607930472217093
CARLA student A s2 [lebowski],ridge_late op-lebowski temporal,pooled,1832,-0.03111353711790393,-0.04560482058581167,-0.017217490842490867
CARLA student A s2 [lebowski],ridge_late op-lebowski temporal,cutin,216,0.0,-0.028708133971291867,0.03271411960861741
CARLA student A s2 [lebowski],ridge_late op-lebowski temporal,oncoming,657,-0.0410958904109589,-0.06636058875722708,-0.017883090270385357
CARLA student A s2 [lebowski],ridge_late op-lebowski temporal,static,959,-0.03128258602711158,-0.04465403640779115,-0.01867171543439469
CARLA student B s0 [lebowski],ridge_late op-lebowski temporal,pooled,1832,-0.03329694323144105,-0.047206057454633146,-0.020319128696410654
CARLA student B s0 [lebowski],ridge_late op-lebowski temporal,cutin,216,-0.023148148148148147,-0.05,0.004241488090793675
CARLA student B s0 [lebowski],ridge_late op-lebowski temporal,oncoming,657,-0.0380517503805175,-0.060223278474098425,-0.01649175412293853
CARLA student B s0 [lebowski],ridge_late op-lebowski temporal,static,959,-0.03232533889468196,-0.04554870907463943,-0.02
CARLA student B s1 [lebowski],ridge_late op-lebowski temporal,pooled,1832,-0.027838427947598252,-0.039037636154836616,-0.01729719997020607
CARLA student B s1 [lebowski],ridge_late op-lebowski temporal,cutin,216,-0.013888888888888888,-0.039029172644667626,0.013513513513513514
CARLA student B s1 [lebowski],ridge_late op-lebowski temporal,oncoming,657,-0.030441400304414,-0.04984894259818731,-0.012288315286534169
CARLA student B s1 [lebowski],ridge_late op-lebowski temporal,static,959,-0.029197080291970802,-0.04219409282700422,-0.016753488575872423
CARLA student B s2 [lebowski],ridge_late op-lebowski temporal,pooled,1832,-0.02947598253275109,-0.04338388555064491,-0.01661225696816221
CARLA student B s2 [lebowski],ridge_late op-lebowski temporal,cutin,216,-0.018518518518518517,-0.05194805194805195,0.014285714285714285
CARLA student B s2 [lebowski],ridge_late op-lebowski temporal,oncoming,657,-0.0334855403348554,-0.05477361888224323,-0.013739934369763547
CARLA student B s2 [lebowski],ridge_late op-lebowski temporal,static,959,-0.029197080291970802,-0.04257700150781473,-0.017292682499035334
G2 M-C pair s0 [lebowski],ridge_late op-lebowski temporal,pooled,1832,-0.03056768558951965,-0.06320822303569805,0.0005557432432432422
G2 M-C pair s0 [lebowski],ridge_late op-lebowski temporal,cutin,216,0.0,-0.08035826453697058,0.0769396551724137
G2 M-C pair s0 [lebowski],ridge_late op-lebowski temporal,oncoming,657,0.0228310502283105,-0.019207987987987986,0.0650418987029465
G2 M-C pair s0 [lebowski],ridge_late op-lebowski temporal,static,959,-0.0740354535974974,-0.11272516663870774,-0.03791944413060674
G2 M-C hard s0 [lebowski],ridge_late op-lebowski temporal,pooled,1832,-0.0584061135371179,-0.09091265876980163,-0.02709892662316796
G2 M-C hard s0 [lebowski],ridge_late op-lebowski temporal,cutin,216,0.009259259259259259,-0.06251313025210084,0.07042253521126761
G2 M-C hard s0 [lebowski],ridge_late op-lebowski temporal,oncoming,657,-0.0273972602739726,-0.06422378407961632,0.010691586458679033
G2 M-C hard s0 [lebowski],ridge_late op-lebowski temporal,static,959,-0.0948905109489051,-0.1309303205169768,-0.060286948340745834
G2 M-C uniform s0 [lebowski],ridge_late op-lebowski temporal,pooled,1832,-0.018013100436681223,-0.04310344827586207,0.005926814624116591
G2 M-C uniform s0 [lebowski],ridge_late op-lebowski temporal,cutin,216,0.032407407407407406,-0.018359391824955853,0.0821932633576469
G2 M-C uniform s0 [lebowski],ridge_late op-lebowski temporal,oncoming,657,0.0076103500761035,-0.022049160337258726,0.038524698789211886
G2 M-C uniform s0 [lebowski],ridge_late op-lebowski temporal,static,959,-0.04692387904066736,-0.0773252544707043,-0.02012132287691901
G2 student A s0 [lebowski],ridge_late op-lebowski temporal,pooled,1832,-0.01146288209606987,-0.03888597470935244,0.012634284285705106
G2 student A s0 [lebowski],ridge_late op-lebowski temporal,cutin,216,-0.013888888888888888,-0.07079646017699115,0.0366546432793688
G2 student A s0 [lebowski],ridge_late op-lebowski temporal,oncoming,657,0.0060882800608828,-0.0265210608424337,0.03709836986941908
G2 student A s0 [lebowski],ridge_late op-lebowski temporal,static,959,-0.022940563086548488,-0.056308654848800835,0.005259303306087748
G2 student B s0 [lebowski],ridge_late op-lebowski temporal,pooled,1832,-0.007096069868995633,-0.03388881316991014,0.017643823929124204
G2 student B s0 [lebowski],ridge_late op-lebowski temporal,cutin,216,-0.023148148148148147,-0.07728154836031548,0.028860294117646984
G2 student B s0 [lebowski],ridge_late op-lebowski temporal,oncoming,657,0.0182648401826484,-0.013577239406400859,0.048671377068177396
G2 student B s0 [lebowski],ridge_late op-lebowski temporal,static,959,-0.020855057351407715,-0.05555847338935574,0.009510911598649007
G2 M-C pair s0 x g2 [lebowski],ridge_late op-lebowski temporal,pooled,1832,0.021834061135371178,0.008869179600886918,0.03420077647652396
G2 M-C pair s0 x g2 [lebowski],ridge_late op-lebowski temporal,cutin,216,0.027777777777777776,-0.005025760113699812,0.06172839506172839
G2 M-C pair s0 x g2 [lebowski],ridge_late op-lebowski temporal,oncoming,657,0.0365296803652968,0.018262764632627645,0.05519759575252847
G2 M-C pair s0 x g2 [lebowski],ridge_late op-lebowski temporal,static,959,0.010427528675703858,-0.006250489811912226,0.02556914129500789
G2 student A s0 x g2 [lebowski],ridge_late op-lebowski temporal,pooled,1832,0.01910480349344978,0.00439187951025341,0.03307561030062079
G2 student A s0 x g2 [lebowski],ridge_late op-lebowski temporal,cutin,216,0.027777777777777776,-0.005263854079643553,0.0638322160691732
G2 student A s0 x g2 [lebowski],ridge_late op-lebowski temporal,oncoming,657,0.0243531202435312,0.0031007751937984496,0.04434590814431247
G2 student A s0 x g2 [lebowski],ridge_late op-lebowski temporal,static,959,0.013555787278415016,-0.005252654859412119,0.03176474335753878
G2 M-C pair s1 [lebowski],ridge_late op-lebowski temporal,pooled,1832,-0.024017467248908297,-0.0553271242086048,0.0038218023199892226
G2 M-C pair s1 [lebowski],ridge_late op-lebowski temporal,cutin,216,-0.013888888888888888,-0.0875616460506104,0.059831029185867884
G2 M-C pair s1 [lebowski],ridge_late op-lebowski temporal,oncoming,657,0.0273972602739726,-0.010280902171363033,0.06239756018924654
G2 M-C pair s1 [lebowski],ridge_late op-lebowski temporal,static,959,-0.061522419186652764,-0.09355585869781453,-0.03202314262588396
G2 M-C hard s1 [lebowski],ridge_late op-lebowski temporal,pooled,1832,-0.09716157205240175,-0.12933309423135003,-0.0659811479070909
G2 M-C hard s1 [lebowski],ridge_late op-lebowski temporal,cutin,216,0.023148148148148147,-0.05314654565920923,0.09872105028747262
G2 M-C hard s1 [lebowski],ridge_late op-lebowski temporal,oncoming,657,-0.0730593607305936,-0.11216060920733818,-0.03333201267828844
G2 M-C hard s1 [lebowski],ridge_late op-lebowski temporal,static,959,-0.14077163712200208,-0.1713827896616535,-0.10740354535974973
G2 M-C uniform s1 [lebowski],ridge_late op-lebowski temporal,pooled,1832,-0.043668122270742356,-0.07134898645448517,-0.017611651618929025
G2 M-C uniform s1 [lebowski],ridge_late op-lebowski temporal,cutin,216,0.05092592592592592,-0.013215859030837005,0.12093023255813953
G2 M-C uniform s1 [lebowski],ridge_late op-lebowski temporal,oncoming,657,-0.0273972602739726,-0.058825695226544225,0.004603018748924937
G2 M-C uniform s1 [lebowski],ridge_late op-lebowski temporal,static,959,-0.07612095933263817,-0.10499911005230154,-0.04824742041782919
G2 student A s1 [lebowski],ridge_late op-lebowski temporal,pooled,1832,-0.012554585152838428,-0.03595247160352814,0.008962832344621226
G2 student A s1 [lebowski],ridge_late op-lebowski temporal,cutin,216,0.0,-0.051023967726625534,0.05065816841980137
G2 student A s1 [lebowski],ridge_late op-lebowski temporal,oncoming,657,-0.0091324200913242,-0.04278982925990006,0.021606722329265672
G2 student A s1 [lebowski],ridge_late op-lebowski temporal,static,959,-0.017726798748696558,-0.04253333088914002,0.005149596290356349
G2 student B s1 [lebowski],ridge_late op-lebowski temporal,pooled,1832,0.0016375545851528383,-0.019971366712704677,0.02174001798773993
G2 student B s1 [lebowski],ridge_late op-lebowski temporal,cutin,216,0.013888888888888888,-0.043694648354250534,0.0711371787208607
G2 student B s1 [lebowski],ridge_late op-lebowski temporal,oncoming,657,0.0091324200913242,-0.019513112048413717,0.03709458828423817
G2 student B s1 [lebowski],ridge_late op-lebowski temporal,static,959,-0.006256517205422315,-0.029959175411895873,0.014300671984893393
G2 M-C pair s1 x g2 [lebowski],ridge_late op-lebowski temporal,pooled,1832,0.027838427947598252,0.014755540884533912,0.04008455218592601
G2 M-C pair s1 x g2 [lebowski],ridge_late op-lebowski temporal,cutin,216,0.046296296296296294,0.008723617176128092,0.08629614674665434
G2 M-C pair s1 x g2 [lebowski],ridge_late op-lebowski temporal,oncoming,657,0.0441400304414003,0.0249609984399376,0.06327591753384802
G2 M-C pair s1 x g2 [lebowski],ridge_late op-lebowski temporal,static,959,0.01251303441084463,-0.0031783041831950957,0.027427609923194256
G2 student A s1 x g2 [lebowski],ridge_late op-lebowski temporal,pooled,1832,0.025655021834061136,0.0145303910053475,0.03630462991233044
G2 student A s1 x g2 [lebowski],ridge_late op-lebowski temporal,cutin,216,0.05092592592592592,0.008729973174513333,0.09346139680493529
G2 student A s1 x g2 [lebowski],ridge_late op-lebowski temporal,oncoming,657,0.0273972602739726,0.011039278897975733,0.044381193959414804
G2 student A s1 x g2 [lebowski],ridge_late op-lebowski temporal,static,959,0.018769551616266946,0.004197161781948652,0.03215934774544732
G2 M-C pair s2 [lebowski],ridge_late op-lebowski temporal,pooled,1832,-0.04312227074235808,-0.07537451516407184,-0.014411117347582934
G2 M-C pair s2 [lebowski],ridge_late op-lebowski temporal,cutin,216,-0.009259259259259259,-0.09050802139037432,0.06837606837606838
G2 M-C pair s2 [lebowski],ridge_late op-lebowski temporal,oncoming,657,0.0030441400304414,-0.03534870769639077,0.03816915447075411
G2 M-C pair s2 [lebowski],ridge_late op-lebowski temporal,static,959,-0.08237747653806048,-0.1227330756886359,-0.04776242648172666
G2 M-C hard s2 [lebowski],ridge_late op-lebowski temporal,pooled,1832,-0.06222707423580786,-0.09349105878186968,-0.03393142089872732
G2 M-C hard s2 [lebowski],ridge_late op-lebowski temporal,cutin,216,-0.004629629629629629,-0.06060960067969414,0.050929373522458604
G2 M-C hard s2 [lebowski],ridge_late op-lebowski temporal,oncoming,657,-0.0319634703196347,-0.07067669172932331,0.006316986714301513
G2 M-C hard s2 [lebowski],ridge_late op-lebowski temporal,static,959,-0.09593326381647549,-0.12693579668571464,-0.0657756020057202
G2 M-C uniform s2 [lebowski],ridge_late op-lebowski temporal,pooled,1832,-0.012554585152838428,-0.03809484786974741,0.012074617224610413
G2 M-C uniform s2 [lebowski],ridge_late op-lebowski temporal,cutin,216,0.027777777777777776,-0.024897508167317915,0.08375201621692309
G2 M-C uniform s2 [lebowski],ridge_late op-lebowski temporal,oncoming,657,0.0182648401826484,-0.008786392671581648,0.04655240141948208
G2 M-C uniform s2 [lebowski],ridge_late op-lebowski temporal,static,959,-0.04275286757038582,-0.07090522680480839,-0.015342030710603796
G2 student A s2 [lebowski],ridge_late op-lebowski temporal,pooled,1832,-0.012008733624454149,-0.03418944470169855,0.009780530843320335
G2 student A s2 [lebowski],ridge_late op-lebowski temporal,cutin,216,0.0,-0.04975180657796988,0.04368479359821016
G2 student A s2 [lebowski],ridge_late op-lebowski temporal,oncoming,657,0.0,-0.03167726550079491,0.029141104294478526
G2 student A s2 [lebowski],ridge_late op-lebowski temporal,static,959,-0.022940563086548488,-0.050570565023652994,0.0021008403361344537
G2 student B s2 [lebowski],ridge_late op-lebowski temporal,pooled,1832,-0.04093886462882096,-0.06814836809038342,-0.01353491417784867
G2 student B s2 [lebowski],ridge_late op-lebowski temporal,cutin,216,-0.023148148148148147,-0.06849650819231802,0.01990049751243781
G2 student B s2 [lebowski],ridge_late op-lebowski temporal,oncoming,657,-0.0213089802130898,-0.05671721911912829,0.011765573486031576
G2 student B s2 [lebowski],ridge_late op-lebowski temporal,static,959,-0.058394160583941604,-0.0950464997450589,-0.02531247512140755
G2 M-C pair s2 x g2 [lebowski],ridge_late op-lebowski temporal,pooled,1832,0.019650655021834062,0.005640226431265853,0.03285142783049089
G2 M-C pair s2 x g2 [lebowski],ridge_late op-lebowski temporal,cutin,216,0.018518518518518517,-0.01793923968811861,0.05150214592274678
G2 M-C pair s2 x g2 [lebowski],ridge_late op-lebowski temporal,oncoming,657,0.0365296803652968,0.01648929633543884,0.05589335256020585
G2 M-C pair s2 x g2 [lebowski],ridge_late op-lebowski temporal,static,959,0.008342022940563087,-0.008394763991640727,0.02403532724775404
G2 student A s2 x g2 [lebowski],ridge_late op-lebowski temporal,pooled,1832,0.017467248908296942,0.005241768482087389,0.029740732988086774
G2 student A s2 x g2 [lebowski],ridge_late op-lebowski temporal,cutin,216,0.032407407407407406,0.0,0.06222222222222222
G2 student A s2 x g2 [lebowski],ridge_late op-lebowski temporal,oncoming,657,0.0182648401826484,-0.0015385802469135802,0.036931788347080816
G2 student A s2 x g2 [lebowski],ridge_late op-lebowski temporal,static,959,0.013555787278415016,-0.0020768431983385254,0.028759032084342377
G1c g3 x M-C [lebowski],ridge_late op-lebowski temporal,pooled,1832,-0.003820960698689956,-0.013845023006517129,0.006781480921203371
G1c g3 x M-C [lebowski],ridge_late op-lebowski temporal,cutin,216,-0.009259259259259259,-0.02702702702702703,0.009523809523809525
G1c g3 x M-C [lebowski],ridge_late op-lebowski temporal,oncoming,657,0.0076103500761035,-0.0029199217706340637,0.018378843208858513
G1c g3 x M-C [lebowski],ridge_late op-lebowski temporal,static,959,-0.010427528675703858,-0.02591146819258602,0.004124031173040223
G1c g3 x const [lebowski],ridge_late op-lebowski temporal,pooled,1832,-0.007096069868995633,-0.010544654538027259,-0.0038328383979340207
G1c g3 x const [lebowski],ridge_late op-lebowski temporal,cutin,216,-0.004629629629629629,-0.014634146341463415,0.0
G1c g3 x const [lebowski],ridge_late op-lebowski temporal,oncoming,657,-0.0091324200913242,-0.01651713743819007,-0.0030211480362537764
G1c g3 x const [lebowski],ridge_late op-lebowski temporal,static,959,-0.006256517205422315,-0.01131804152637486,-0.0020618025842207527
G1c g3 x const2d [lebowski],ridge_late op-lebowski temporal,pooled,1832,-0.007096069868995633,-0.010544654538027259,-0.0038328383979340207
G1c g3 x const2d [lebowski],ridge_late op-lebowski temporal,cutin,216,-0.004629629629629629,-0.014634146341463415,0.0
G1c g3 x const2d [lebowski],ridge_late op-lebowski temporal,oncoming,657,-0.0091324200913242,-0.01651713743819007,-0.0030211480362537764
G1c g3 x const2d [lebowski],ridge_late op-lebowski temporal,static,959,-0.006256517205422315,-0.01131804152637486,-0.0020618025842207527
CARLA M-C hard [lebowski],CARLA M-C pair [lebowski],pooled,1832,0.010917030567685589,-0.007452775660087241,0.02992915012815377
CARLA M-C hard [lebowski],CARLA M-C pair [lebowski],cutin,216,0.027777777777777776,-0.01327433628318584,0.07079646017699115
CARLA M-C hard [lebowski],CARLA M-C pair [lebowski],oncoming,657,0.0365296803652968,0.009360009914415268,0.06367848595361551
CARLA M-C hard [lebowski],CARLA M-C pair [lebowski],static,959,-0.010427528675703858,-0.03750033494105037,0.01552875570217262
CARLA M-C uniform [lebowski],CARLA M-C pair [lebowski],pooled,1832,0.02947598253275109,0.016552377615244543,0.04333342361863489
CARLA M-C uniform [lebowski],CARLA M-C pair [lebowski],cutin,216,0.06018518518518518,0.019228468899521532,0.09954751131221719
CARLA M-C uniform [lebowski],CARLA M-C pair [lebowski],oncoming,657,0.0273972602739726,0.007462408523700424,0.04878724143254087
CARLA M-C uniform [lebowski],CARLA M-C pair [lebowski],static,959,0.023983315954118872,0.008347723738584327,0.04132538797305485
CARLA student A s0 [lebowski],CARLA M-C pair [lebowski],pooled,1832,-0.003820960698689956,-0.01962164378659966,0.012481497082420037
CARLA student A s0 [lebowski],CARLA M-C pair [lebowski],cutin,216,0.041666666666666664,0.0,0.08458322228144986
CARLA student A s0 [lebowski],CARLA M-C pair [lebowski],oncoming,657,-0.0197869101978691,-0.04532329634481518,0.0030915501070396556
CARLA student A s0 [lebowski],CARLA M-C pair [lebowski],static,959,-0.0031282586027111575,-0.02203799879919991,0.016824395373291272
CARLA student A s1 [lebowski],CARLA M-C pair [lebowski],pooled,1832,-0.0032751091703056767,-0.020313071465145195,0.015206030164220258
CARLA student A s1 [lebowski],CARLA M-C pair [lebowski],cutin,216,0.046296296296296294,0.004424291450625706,0.08889438943894387
CARLA student A s1 [lebowski],CARLA M-C pair [lebowski],oncoming,657,-0.0197869101978691,-0.045813586097946286,0.004528224333211528
CARLA student A s1 [lebowski],CARLA M-C pair [lebowski],static,959,-0.0031282586027111575,-0.023255813953488372,0.017876783276048774
CARLA student A s2 [lebowski],CARLA M-C pair [lebowski],pooled,1832,0.0,-0.017281028993608283,0.01716550874616327
CARLA student A s2 [lebowski],CARLA M-C pair [lebowski],cutin,216,0.06481481481481481,0.021739130434782608,0.11112351190476183
CARLA student A s2 [lebowski],CARLA M-C pair [lebowski],oncoming,657,-0.0136986301369863,-0.03894289947572373,0.009406245821509744
CARLA student A s2 [lebowski],CARLA M-C pair [lebowski],static,959,-0.005213764337851929,-0.02418634258874525,0.014614926384592676
CARLA student B s0 [lebowski],CARLA M-C pair [lebowski],pooled,1832,-0.002183406113537118,-0.017005170245063535,0.012973851900681163
CARLA student B s0 [lebowski],CARLA M-C pair [lebowski],cutin,216,0.041666666666666664,0.0,0.08258792048929654
CARLA student B s0 [lebowski],CARLA M-C pair [lebowski],oncoming,657,-0.0106544901065449,-0.03259259259259259,0.010656532761856727
CARLA student B s0 [lebowski],CARLA M-C pair [lebowski],static,959,-0.006256517205422315,-0.023958333333333335,0.012475314562997228
CARLA student B s1 [lebowski],CARLA M-C pair [lebowski],pooled,1832,0.0032751091703056767,-0.011961812235475183,0.018444118329690732
CARLA student B s1 [lebowski],CARLA M-C pair [lebowski],cutin,216,0.05092592592592592,0.014423076923076924,0.08636363636363636
CARLA student B s1 [lebowski],CARLA M-C pair [lebowski],oncoming,657,-0.0030441400304414,-0.02666765578635015,0.018191669012102393
CARLA student B s1 [lebowski],CARLA M-C pair [lebowski],static,959,-0.0031282586027111575,-0.021141649048625793,0.01642837355168468
CARLA student B s2 [lebowski],CARLA M-C pair [lebowski],pooled,1832,0.0016375545851528383,-0.013486178086800494,0.016420224223821202
CARLA student B s2 [lebowski],CARLA M-C pair [lebowski],cutin,216,0.046296296296296294,0.004423808414842416,0.08849557522123894
CARLA student B s2 [lebowski],CARLA M-C pair [lebowski],oncoming,657,-0.0060882800608828,-0.030702259681461716,0.016746498210539286
CARLA student B s2 [lebowski],CARLA M-C pair [lebowski],static,959,-0.0031282586027111575,-0.01977158667186958,0.01368457101658255
G2 M-C pair s0 [lebowski],CARLA M-C pair [lebowski],pooled,1832,0.0005458515283842794,-0.027809235949586817,0.029109689320956908
G2 M-C pair s0 [lebowski],CARLA M-C pair [lebowski],cutin,216,0.06481481481481481,-0.014221410916347309,0.15384615384615385
G2 M-C pair s0 [lebowski],CARLA M-C pair [lebowski],oncoming,657,0.0502283105022831,0.013429855162059525,0.08708708708708708
G2 M-C pair s0 [lebowski],CARLA M-C pair [lebowski],static,959,-0.047966631908237745,-0.07895153231179214,-0.017756542638705915
G2 M-C hard s0 [lebowski],CARLA M-C pair [lebowski],pooled,1832,-0.027292576419213975,-0.060640202059970005,0.005098478623812275
G2 M-C hard s0 [lebowski],CARLA M-C pair [lebowski],cutin,216,0.07407407407407407,0.0,0.1363743567753001
G2 M-C hard s0 [lebowski],CARLA M-C pair [lebowski],oncoming,657,0.0,-0.03692893054420732,0.039043455219925784
G2 M-C hard s0 [lebowski],CARLA M-C pair [lebowski],static,959,-0.06882168925964546,-0.10415247578748602,-0.03491239892183293
G2 M-C uniform s0 [lebowski],CARLA M-C pair [lebowski],pooled,1832,0.013100436681222707,-0.012794032009617913,0.03969253168893451
G2 M-C uniform s0 [lebowski],CARLA M-C pair [lebowski],cutin,216,0.09722222222222222,0.03862455564670495,0.15178571428571427
