examinee,scope,tau_model,n_reactive,routes_reactive,pairs_reactive,flip_rate,flip_lo,flip_hi,any_direction_rate,wrong_direction_rate,n_nonreactive,false_flip_nonreactive,false_flip_null_insample,false_flip_null_oos,n_null,flip_rate_family_equal
CARLA student B s1 [cinque],cutin,0.6243110060691832,216,27,27,0.6574074074074074,0.5555555555555556,0.7563451776649747,0.8055555555555556,0.14814814814814814,398,0.15829145728643215,,,,
CARLA student B s1 [cinque],oncoming,0.6243110060691832,657,60,60,0.5814307458143074,0.5206064261366364,0.6415522273425498,0.684931506849315,0.1035007610350076,558,0.05197132616487455,,,,
CARLA student B s1 [cinque],static,0.6243110060691832,959,65,65,0.662148070907195,0.5898221404925891,0.7313841776226747,0.8425443169968717,0.18039624608967675,771,0.25551232166018156,,,,
CARLA student B s2 [cinque],pooled,0.6571053504943846,1832,65,65,0.6260917030567685,0.5654628139403111,0.6817691928158595,0.7745633187772926,0.14847161572052403,1727,0.16039374638100753,0.050505050505050504,0.05176767676767677,792.0,0.6260639588598459
CARLA student B s2 [cinque],cutin,0.6571053504943846,216,27,27,0.6435185185185185,0.5339290424690055,0.7447780785954549,0.7824074074074074,0.1388888888888889,398,0.15326633165829145,,,,
CARLA student B s2 [cinque],oncoming,0.6571053504943846,657,60,60,0.5829528158295282,0.5261537242472266,0.6404224659314494,0.6834094368340944,0.1004566210045662,558,0.04838709677419355,,,,
CARLA student B s2 [cinque],static,0.6571053504943846,959,65,65,0.6517205422314911,0.5787015051468463,0.7228664861763019,0.835245046923879,0.1835245046923879,771,0.245136186770428,,,,
G2 M-C pair s0 [cinque],pooled,1.558912944793701,1832,65,65,0.6282751091703057,0.5760486577181209,0.6759485321352465,0.7210698689956332,0.0927947598253275,1727,0.07527504342790967,0.050505050505050504,0.050505050505050504,792.0,0.6315977088358183
G2 M-C pair s0 [cinque],cutin,1.558912944793701,216,27,27,0.6620370370370371,0.5803459311806916,0.7462755347685536,0.8333333333333334,0.1712962962962963,398,0.17336683417085427,,,,
G2 M-C pair s0 [cinque],oncoming,1.558912944793701,657,60,60,0.5768645357686454,0.5189638550092986,0.6336790646147504,0.665144596651446,0.0882800608828006,558,0.05017921146953405,,,,
G2 M-C pair s0 [cinque],static,1.558912944793701,959,65,65,0.6558915537017727,0.5968552894585948,0.7094754313168815,0.7340980187695516,0.07820646506777894,771,0.042801556420233464,,,,
G2 M-C hard s0 [cinque],pooled,2.09327903985977,1832,65,65,0.6632096069868996,0.6189652939475149,0.7073315203978966,0.6997816593886463,0.03657205240174673,1727,0.10248986682107701,0.050505050505050504,0.04671717171717172,792.0,0.667793846717621
