scope,n,activation,lo,hi,delta_mag_median_m,model,head,seed,stats,gate,tau
straight_yaw,11597,0.0945934293351729,0.07937324153200873,0.11099263683181243,0.38645708560943604,cinque,student B,2,i3,none,0.9977754622697828
pre_onset,1458,0.0541838134430727,0.0282255983171636,0.08604221190921366,0.3450426459312439,cinque,student B,2,i3,none,0.9977754622697828
all,19663,0.0931190560952042,0.08179195733264066,0.10499008544037622,0.42419862747192383,cinque,student B,2,i3,none,0.9977754622697828
Pedestrians,1831,0.09175314036045877,0.0641912191143454,0.12138736839236872,0.4681193232536316,cinque,student B,2,i3,none,0.9977754622697828
Cyclists,2830,0.10777385159010601,0.08178486704900938,0.1356124489269498,0.4898793697357178,cinque,student B,2,i3,none,0.9977754622697828
Cut_ins,885,0.17175141242937852,0.10108503513394818,0.27262051383521574,0.5858337879180908,cinque,student B,2,i3,none,0.9977754622697828
FOD,3561,0.08649255827014883,0.06047275674628803,0.11543994549387027,0.4020540714263916,cinque,student B,2,i3,none,0.9977754622697828
Intersections,4772,0.08005029337803855,0.061587692128797646,0.09997939124920735,0.36567193269729614,cinque,student B,2,i3,none,0.9977754622697828
straight_yaw,11597,0.30344054496852635,0.284182237786179,0.3229561355214829,2.715111494064331,cinque,M-C pair,0,wod-train,none,1.558912944793701
pre_onset,1458,0.3004115226337449,0.24916033989722874,0.3535584036715843,2.798537254333496,cinque,M-C pair,0,wod-train,none,1.558912944793701
all,19663,0.3135330315821594,0.2991132835021456,0.32850600374645833,2.973605155944824,cinque,M-C pair,0,wod-train,none,1.558912944793701
Pedestrians,1831,0.3331512834516658,0.29090837621498,0.37688152194710317,3.155306816101074,cinque,M-C pair,0,wod-train,none,1.558912944793701
Cyclists,2830,0.3102473498233215,0.2694139745312481,0.35198652849740936,2.957886219024658,cinque,M-C pair,0,wod-train,none,1.558912944793701
Cut_ins,885,0.280225988700565,0.22806970584920544,0.33295454545454545,2.483619451522827,cinque,M-C pair,0,wod-train,none,1.558912944793701
FOD,3561,0.30131985397360295,0.2675666383075633,0.3375044645892243,2.9604668617248535,cinque,M-C pair,0,wod-train,none,1.558912944793701
Intersections,4772,0.31517183570829843,0.2859285233587146,0.3462029972121186,2.998220443725586,cinque,M-C pair,0,wod-train,none,1.558912944793701
straight_yaw,11597,0.630852806760369,0.6128624461711635,0.6484565183496509,5.384166717529297,cinque,M-C hard,0,wod-train,none,2.09327903985977
