model,head,seed,scope,n,tau,activation,delta_mag_median_m
lebowski,M-C uniform,1,vehicle_approach,4726,2.011610662937163,0.8958950486669488,11.493371963500977
lebowski,M-C uniform,1,ped_cyc_corridor,897,2.011610662937163,0.802675585284281,11.211344718933105
lebowski,M-C uniform,1,straight,4365,2.011610662937163,0.9312714776632303,12.808307647705078
lebowski,student A,1,all,12146,1.2043639659881586,0.3671990778857237,1.6655142307281494
lebowski,student A,1,vehicle_approach,4726,1.2043639659881586,0.2809987304274228,1.2397562265396118
lebowski,student A,1,ped_cyc_corridor,897,1.2043639659881586,0.25195094760312153,1.3819570541381836
lebowski,student A,1,straight,4365,1.2043639659881586,0.37915234822451316,1.427899718284607
lebowski,student B,1,all,12146,1.0360966324806204,0.38465338383006753,1.6557235717773438
lebowski,student B,1,vehicle_approach,4726,1.0360966324806204,0.3019466779517562,1.489588737487793
lebowski,student B,1,ped_cyc_corridor,897,1.0360966324806204,0.30211817168338906,1.5055469274520874
lebowski,student B,1,straight,4365,1.0360966324806204,0.38098510882016035,1.5307925939559937
lebowski,M-C pair,2,all,12146,1.7365306258201587,0.7881607113452989,15.654754638671875
lebowski,M-C pair,2,vehicle_approach,4726,1.7365306258201587,0.7683030046550995,15.52666187286377
lebowski,M-C pair,2,ped_cyc_corridor,897,1.7365306258201587,0.7547380156075808,15.831576347351074
lebowski,M-C pair,2,straight,4365,1.7365306258201587,0.8034364261168385,15.590802192687988
lebowski,M-C hard,2,all,12146,2.4459464073181145,0.8765848839123992,18.324222564697266
lebowski,M-C hard,2,vehicle_approach,4726,2.4459464073181145,0.9286923402454507,15.739757537841797
lebowski,M-C hard,2,ped_cyc_corridor,897,2.4459464073181145,0.8584169453734671,16.360944747924805
lebowski,M-C hard,2,straight,4365,2.4459464073181145,0.9351660939289805,17.25890350341797
lebowski,M-C uniform,2,all,12146,1.6135656118392945,0.8699983533673638,13.155628204345703
lebowski,M-C uniform,2,vehicle_approach,4726,1.6135656118392945,0.9168429961912823,11.64047622680664
lebowski,M-C uniform,2,ped_cyc_corridor,897,1.6135656118392945,0.8361204013377926,11.350082397460938
lebowski,M-C uniform,2,straight,4365,1.6135656118392945,0.9445589919816724,12.982782363891602
lebowski,student A,2,all,12146,1.2868603587150549,0.2823151654865799,0.8637382984161377
lebowski,student A,2,vehicle_approach,4726,1.2868603587150549,0.17202708421498095,0.5900430679321289
lebowski,student A,2,ped_cyc_corridor,897,1.2868603587150549,0.14715719063545152,0.557777464389801
lebowski,student A,2,straight,4365,1.2868603587150549,0.313631156930126,0.8473727703094482
lebowski,student B,2,all,12146,1.4547305405139903,0.2603326197925243,1.5360267162322998
lebowski,student B,2,vehicle_approach,4726,1.4547305405139903,0.22577232331781633,1.587717056274414
lebowski,student B,2,ped_cyc_corridor,897,1.4547305405139903,0.1806020066889632,1.4451078176498413
lebowski,student B,2,straight,4365,1.4547305405139903,0.26872852233676975,1.6050806045532227
