scope,judge,n,delta,lo,hi,model,arm
all,ADE dec1-9,17389,0.16532664621380666,0.1477138135449348,0.18337429554708642,lebowski,E2 uniform (a)
all,ADE pre_onset dec1-9,1245,0.1342257629507479,0.07680757445572031,0.1951031136353332,lebowski,E2 uniform (a)
Pedestrians,RFS (rater),52,0.013051313359111983,-0.30405139740092413,0.3407486868069781,lebowski,E2 uniform (a)
Pedestrians,ADE dec1-9,1637,0.17656798417743072,0.11749280910738258,0.23698979181107116,lebowski,E2 uniform (a)
Pedestrians,ADE pre_onset dec1-9,83,0.21484263764116407,-0.07795001573244842,0.5226923572748627,lebowski,E2 uniform (a)
Cyclists,RFS (rater),71,-0.1696144933694676,-0.44588305631085773,0.08570988125905497,lebowski,E2 uniform (a)
Cyclists,ADE dec1-9,2326,0.1507148507724697,0.10514331083752017,0.19521806077621803,lebowski,E2 uniform (a)
Cyclists,ADE pre_onset dec1-9,206,0.2063298913977947,0.06924191832482458,0.3390422980691256,lebowski,E2 uniform (a)
Cut_ins,RFS (rater),20,-0.041428203906789876,-0.7146721323151117,0.7116517840039226,lebowski,E2 uniform (a)
Cut_ins,ADE dec1-9,724,0.25598868147399173,0.14009986988786127,0.36652772077296636,lebowski,E2 uniform (a)
Cut_ins,ADE pre_onset dec1-9,16,0.21795086465941027,-0.11598803712983248,0.42721722843260124,lebowski,E2 uniform (a)
FOD,RFS (rater),78,-0.07355790284071734,-0.29452087436425833,0.14987391791851534,lebowski,E2 uniform (a)
FOD,ADE dec1-9,3175,0.17116537665293793,0.12724589012162482,0.21521000788272682,lebowski,E2 uniform (a)
FOD,ADE pre_onset dec1-9,252,0.1570277199688321,0.009115544438243972,0.3065318138003081,lebowski,E2 uniform (a)
Intersections,RFS (rater),116,-0.12044437152723984,-0.37150007978803834,0.12987842579225523,lebowski,E2 uniform (a)
Intersections,ADE dec1-9,4299,0.14883531808165487,0.11418767866859393,0.18533078562907734,lebowski,E2 uniform (a)
Intersections,ADE pre_onset dec1-9,301,0.12388313991006954,0.034123225229670866,0.2389946979206427,lebowski,E2 uniform (a)
all,RFS (rater),478,-2.4089133788285375,-2.624921701600325,-2.199165514509908,lebowski,E2 pair qwen (a)
all,ADE dec1-9,17389,1.7153085435220192,1.6112260199766892,1.8242600809014966,lebowski,E2 pair qwen (a)
all,ADE pre_onset dec1-9,1245,1.5255094939378562,1.2263432448829734,1.8406157937891476,lebowski,E2 pair qwen (a)
Pedestrians,RFS (rater),52,-2.425613107605371,-3.0755119498038677,-1.7500969927988508,lebowski,E2 pair qwen (a)
Pedestrians,ADE dec1-9,1637,1.2663511692849645,1.0115526081475854,1.5778430973814215,lebowski,E2 pair qwen (a)
Pedestrians,ADE pre_onset dec1-9,83,1.5597121406713261,0.4403983574238748,2.548431175763256,lebowski,E2 pair qwen (a)
Cyclists,RFS (rater),71,-2.0809130592437586,-2.6040051124305315,-1.5877320440114822,lebowski,E2 pair qwen (a)
Cyclists,ADE dec1-9,2326,1.3060693612907295,1.1160005669500204,1.5102857141823223,lebowski,E2 pair qwen (a)
Cyclists,ADE pre_onset dec1-9,206,0.9054168393928007,0.4106575700752016,1.4801148139373352,lebowski,E2 pair qwen (a)
Cut_ins,RFS (rater),20,-1.8841012498820728,-2.6148779817097445,-1.1925750726163484,lebowski,E2 pair qwen (a)
Cut_ins,ADE dec1-9,724,1.390872075631257,0.8275313931593137,2.187545147323291,lebowski,E2 pair qwen (a)
Cut_ins,ADE pre_onset dec1-9,16,0.3613993358202172,-0.16895995663748678,1.7207532907092762,lebowski,E2 pair qwen (a)
FOD,RFS (rater),78,-2.5215111130903596,-3.0689335142743808,-1.9844298718180513,lebowski,E2 pair qwen (a)
FOD,ADE dec1-9,3175,1.9689872553334797,1.7085249416484805,2.261024675274408,lebowski,E2 pair qwen (a)
FOD,ADE pre_onset dec1-9,252,1.9759871972413232,1.1791510419244997,2.9322148584951377,lebowski,E2 pair qwen (a)
Intersections,RFS (rater),116,-2.6808076410081525,-3.0946590217985603,-2.2612784371320833,lebowski,E2 pair qwen (a)
Intersections,ADE dec1-9,4299,1.877374999975536,1.6713545796170033,2.08865902258598,lebowski,E2 pair qwen (a)
Intersections,ADE pre_onset dec1-9,301,1.208657822409072,0.7341181377667881,1.6898929495937023,lebowski,E2 pair qwen (a)
all,RFS (rater),478,-0.957856529156789,-1.1468337579168102,-0.7694966691676149,lebowski,E2 pair op (a)
